,0
0,255
1,335
2,486
3,221
4,443
5,419
6,365
7,451
8,219
9,190
10,472
11,308
12,204
13,435
14,469
15,469
16,435
17,444
18,303
19,214
20,346
21,491
22,156
23,357
24,452
25,397
26,483
27,480
28,345
29,296
30,148
31,477
32,446
33,296
34,469
35,463
36,275
37,463
38,318
39,455
40,451
41,215
42,443
43,455
44,349
45,179
46,321
47,121
48,476
49,462
50,472
51,289
52,422
53,334
54,484
55,298
56,387
57,450
58,308
59,441
60,472
61,309
62,366
63,394
64,388
65,384
66,227
67,465
68,413
69,475
70,446
71,428
72,304
73,391
74,471
75,429
76,434
77,496
78,454
79,440
80,490
81,381
82,483
83,390
84,482
85,255
86,341
87,218
88,403
89,441
90,490
91,423
92,234
93,448
94,476
95,442
96,447
97,463
98,341
99,373
100,453
101,458
102,209
103,274
104,348
105,272
106,432
107,431
108,406
109,299
110,365
111,330
112,221
113,438
114,175
115,217
116,461
117,435
118,480
119,392
120,482
121,410
122,333
123,281
124,466
125,210
126,486
127,340
128,363
129,447
130,246
131,434
132,440
133,449
134,458
135,235
136,479
137,442
138,450
139,426
140,307
141,250
142,204
143,481
144,268
145,266
146,186
147,339
148,382
149,399
150,446
151,382
152,497
153,331
154,476
155,453
156,188
157,472
158,332
159,425
160,349
161,436
162,395
163,395
164,492
165,449
166,469
167,428
168,441
169,475
170,496
171,288
172,412
173,385
174,277
175,171
176,318
177,497
178,163
179,427
180,363
181,416
182,445
183,473
184,453
185,322
186,475
187,180
188,431
189,425
190,221
191,370
192,381
193,465
194,491
195,384
196,236
197,333
198,428
199,433
200,397
201,384
202,203
203,442
204,470
205,491
206,446
207,285
208,257
209,218
210,476
211,234
212,439
213,338
214,187
215,290
216,389
217,482
218,245
219,489
220,488
221,449
222,218
223,334
224,478
225,417
226,477
227,402
228,210
229,377
230,445
231,404
232,443
233,443
234,413
235,408
236,181
237,252
238,484
239,470
240,455
241,485
242,433
243,231
244,297
245,430
246,387
247,471
248,329
249,483
250,190
251,382
252,252
253,426
254,482
255,489
256,234
257,402
258,168
259,484
260,409
261,410
262,369
263,290
264,300
265,273
266,334
267,442
268,393
269,372
270,450
271,437
272,465
273,221
274,357
275,472
276,439
277,456
278,216
279,416
280,479
281,463
282,448
283,371
284,454
285,391
286,473
287,314
288,199
289,456
290,475
291,451
292,464
293,491
294,476
295,157
296,222
297,245
298,404
299,451
300,276
301,449
302,192
303,299
304,416
305,477
306,412
307,473
308,466
309,284
310,450
311,465
312,421
313,487
314,165
315,263
316,464
317,421
318,483
319,486
320,178
321,474
322,255
323,364
324,273
325,214
326,449
327,191
328,483
329,359
330,465
331,343
332,392
333,326
334,438
335,366
336,402
337,464
338,459
339,494
340,479
341,487
342,388
343,449
344,387
345,485
346,494
347,465
348,423
349,397
350,420
351,221
352,395
353,461
354,377
355,289
356,494
357,304
358,472
359,175
360,446
361,263
362,439
363,471
364,464
365,428
366,323
367,339
368,487
369,415
370,479
371,397
372,417
373,354
374,344
375,374
376,309
377,256
378,498
379,433
380,470
381,437
382,243
383,434
384,358
385,478
386,493
387,208
388,487
389,450
390,475
391,442
392,490
393,447
394,479
395,438
396,475
397,441
398,378
399,425
400,421
401,449
402,489
403,255
404,460
405,457
406,399
407,488
408,344
409,476
410,318
411,342
412,317
413,271
414,459
415,444
416,460
417,430
418,493
419,317
420,380
421,446
422,474
423,188
424,353
425,202
426,292
427,482
428,466
429,234
430,494
431,282
432,490
433,452
434,372
435,436
436,480
437,231
438,309
439,408
440,241
441,373
442,451
443,429
444,375
445,316
446,448
447,415
448,478
449,412
450,447
451,460
452,433
453,288
454,356
455,347
456,406
457,470
458,421
459,290
460,373
461,357
462,482
463,264
464,484
465,426
466,480
467,423
468,468
469,448
470,267
471,419
472,479
473,299
474,462
475,496
476,458
477,418
478,438
479,480
480,448
481,481
482,164
483,416
484,426
485,279
486,354
487,194
488,337
489,214
490,494
491,478
492,202
493,487
494,469
495,460
496,397
497,225
498,465
499,186
500,456
501,466
502,469
503,346
504,394
505,185
506,401
507,488
508,210
509,406
510,407
511,443
