,0
0,261
1,333
2,466
3,245
4,425
5,420
6,368
7,452
8,229
9,222
10,471
11,319
12,243
13,425
14,465
15,456
16,422
17,439
18,296
19,250
20,334
21,484
22,203
23,352
24,443
25,383
26,472
27,466
28,305
29,313
30,160
31,458
32,414
33,308
34,439
35,447
36,277
37,451
38,339
39,457
40,435
41,259
42,446
43,448
44,343
45,210
46,306
47,167
48,449
49,450
50,463
51,315
52,425
53,320
54,474
55,302
56,364
57,425
58,311
59,423
60,453
61,315
62,361
63,386
64,371
65,376
66,274
67,457
68,413
69,459
70,430
71,406
72,315
73,379
74,462
75,413
76,419
77,489
78,457
79,414
80,479
81,350
82,467
83,366
84,477
85,292
86,314
87,233
88,415
89,424
90,477
91,414
92,268
93,443
94,463
95,426
96,429
97,451
98,343
99,354
100,452
101,417
102,223
103,270
104,309
105,281
106,395
107,426
108,398
109,321
110,343
111,354
112,265
113,412
114,195
115,254
116,445
117,403
118,460
119,363
120,476
121,418
122,353
123,304
124,459
125,250
126,483
127,362
128,341
129,434
130,269
131,410
132,431
133,429
134,431
135,243
136,472
137,432
138,421
139,405
140,323
141,263
142,236
143,475
144,278
145,277
146,222
147,337
148,377
149,386
150,426
151,369
152,489
153,321
154,467
155,438
156,233
157,457
158,367
159,403
160,346
161,422
162,379
163,370
164,486
165,441
166,462
167,429
168,384
169,470
170,489
171,286
172,423
173,401
174,293
175,216
176,335
177,485
178,207
179,415
180,344
181,378
182,445
183,430
184,417
185,323
186,452
187,219
188,430
189,405
190,265
191,353
192,386
193,438
194,478
195,381
196,243
197,342
198,422
199,416
200,369
201,386
202,225
203,421
204,459
205,484
206,430
207,297
208,235
209,240
210,463
211,277
212,402
213,332
214,223
215,306
216,385
217,470
218,290
219,477
220,472
221,418
222,237
223,311
224,463
225,388
226,452
227,362
228,245
229,357
230,390
231,385
232,422
233,433
234,418
235,390
236,206
237,226
238,478
239,449
240,445
241,475
242,435
243,281
244,311
245,423
246,363
247,451
248,319
249,476
250,221
251,376
252,251
253,423
254,467
255,486
256,274
257,373
258,230
259,475
260,371
261,414
262,376
263,327
264,277
265,289
266,325
267,424
268,382
269,381
270,435
271,444
272,443
273,244
274,347
275,454
276,432
277,439
278,251
279,385
280,471
281,437
282,424
283,360
284,425
285,379
286,444
287,320
288,209
289,424
290,451
291,433
292,440
293,478
294,461
295,192
296,234
297,286
298,367
299,434
300,301
301,408
302,234
303,293
304,404
305,464
306,388
307,459
308,456
309,297
310,426
311,444
312,407
313,477
314,209
315,254
316,449
317,390
318,472
319,483
320,230
321,465
322,295
323,385
324,293
325,264
326,435
327,238
328,483
329,350
330,431
331,337
332,369
333,344
334,402
335,366
336,399
337,454
338,447
339,486
340,469
341,470
342,365
343,447
344,385
345,476
346,489
347,440
348,397
349,381
350,395
351,251
352,380
353,446
354,369
355,310
356,482
357,327
358,452
359,221
360,434
361,300
362,401
363,453
364,456
365,422
366,343
367,335
368,472
369,392
370,468
371,367
372,419
373,324
374,314
375,353
376,325
377,262
378,491
379,398
380,460
381,434
382,253
383,410
384,363
385,470
386,481
387,249
388,480
389,442
390,456
391,439
392,479
393,444
394,468
395,420
396,468
397,430
398,358
399,407
400,420
401,424
402,470
403,262
404,462
405,439
406,364
407,480
408,314
409,455
410,328
411,309
412,323
413,250
414,442
415,445
416,422
417,409
418,487
419,323
420,365
421,424
422,466
423,238
424,369
425,255
426,299
427,462
428,439
429,272
430,485
431,302
432,485
433,438
434,379
435,417
436,471
437,258
438,327
439,399
440,259
441,378
442,436
443,427
444,349
445,312
446,441
447,406
448,464
449,388
450,435
451,447
452,423
453,306
454,310
455,334
456,421
457,433
458,392
459,302
460,324
461,346
462,469
463,301
464,478
465,400
466,467
467,386
468,453
469,423
470,300
471,394
472,467
473,283
474,444
475,488
476,450
477,401
478,403
479,468
480,423
481,466
482,196
483,405
484,424
485,280
486,367
487,238
488,316
489,236
490,479
491,463
492,247
493,470
494,472
495,435
496,375
497,272
498,457
499,219
500,442
501,453
502,466
503,315
504,381
505,224
506,379
507,478
508,252
509,403
510,406
511,407
