,0
0,0.24460554
1,0.23101354
2,0.40300924
3,0.21556821
4,0.22728626
5,0.22054781
6,0.21321358
7,0.2861174
8,0.20400181
9,0.19152665
10,0.41017637
11,0.19112755
12,0.20345066
13,0.26962805
14,0.29930484
15,0.3278514
16,0.24307218
17,0.30877823
18,0.22311682
19,0.2468435
20,0.22890687
21,0.40399787
22,0.18905419
23,0.25784445
24,0.18954636
25,0.26935843
26,0.30587113
27,0.38111734
28,0.21565127
29,0.17814748
30,0.22412094
31,0.35430944
32,0.250772
33,0.22399843
34,0.3463695
35,0.31423056
36,0.22194634
37,0.31915528
38,0.21594831
39,0.29662478
40,0.30138648
41,0.2014798
42,0.30269194
43,0.29960722
44,0.2111441
45,0.28517
46,0.16703913
47,0.23207918
48,0.30683064
49,0.39380133
50,0.451535
51,0.24643438
52,0.32497537
53,0.21705905
54,0.389472
55,0.20647103
56,0.18147129
57,0.35180545
58,0.29395562
59,0.2864638
60,0.313159
61,0.23273672
62,0.19184156
63,0.20228091
64,0.2371512
65,0.2672357
66,0.19575131
67,0.39029217
68,0.24931952
69,0.27306715
70,0.23470363
71,0.2964754
72,0.25673413
73,0.17913795
74,0.24889354
75,0.23567732
76,0.313909
77,0.3882792
78,0.35895872
79,0.34160668
80,0.34767818
81,0.1852929
82,0.280288
83,0.28202823
84,0.33295327
85,0.19221154
86,0.18537629
87,0.2642616
88,0.22888502
89,0.30192167
90,0.3631991
91,0.27027977
92,0.22509912
93,0.26604328
94,0.30606213
95,0.24692205
96,0.27341133
97,0.31857413
98,0.21963677
99,0.2283584
100,0.2857746
101,0.308045
102,0.2072494
103,0.24272445
104,0.17424393
105,0.17340407
106,0.27948225
107,0.23602457
108,0.2831124
109,0.28179026
110,0.1843549
111,0.21969718
112,0.24982521
113,0.32638323
114,0.20329303
115,0.2386522
116,0.2770386
117,0.2950043
118,0.38485128
119,0.39361185
120,0.31638962
121,0.25345367
122,0.22873946
123,0.19596441
124,0.31479466
125,0.25738013
126,0.43861318
127,0.22575602
128,0.2671233
129,0.19478345
130,0.16921678
131,0.29757202
132,0.31391668
133,0.27843225
134,0.3556183
135,0.22004977
136,0.34022993
137,0.31819552
138,0.32021385
139,0.31652305
140,0.2306364
141,0.20463386
142,0.19164005
143,0.39900666
144,0.24727333
145,0.20443091
146,0.24416013
147,0.19850346
148,0.21924135
149,0.21187383
150,0.25376612
151,0.23694769
152,0.34879404
153,0.2551153
154,0.41272062
155,0.3223788
156,0.20612164
157,0.36690068
158,0.19346318
159,0.2315729
160,0.19493026
161,0.2601259
162,0.31767654
163,0.22194174
164,0.34126815
165,0.22470964
166,0.2931347
167,0.28650331
168,0.4263482
169,0.3051226
170,0.42363444
171,0.22505683
172,0.26963174
173,0.28715968
174,0.20167245
175,0.2157999
176,0.25242007
177,0.47879896
178,0.23589791
179,0.29682052
180,0.25107902
181,0.36870944
182,0.31436518
183,0.37837654
184,0.28848654
185,0.27085638
186,0.27754524
187,0.21242803
188,0.25289822
189,0.2552578
190,0.30017987
191,0.23707989
192,0.22517923
193,0.30853206
194,0.40932542
195,0.23648016
196,0.18496646
197,0.20895311
198,0.2733426
199,0.3181523
200,0.23498937
201,0.20357347
202,0.26410156
203,0.292067
204,0.24035046
205,0.37644553
206,0.39763182
207,0.22290272
208,0.21333349
209,0.21587233
210,0.3200025
211,0.2253389
212,0.28506333
213,0.2088339
214,0.22044128
215,0.22532448
216,0.22509022
217,0.31431136
218,0.2331901
219,0.45442134
220,0.38566256
221,0.30824688
222,0.24610159
223,0.20490776
224,0.4017077
225,0.26049834
226,0.27833512
227,0.1741161
228,0.24873397
229,0.21803853
230,0.37565348
231,0.30612344
232,0.22721976
233,0.26249406
234,0.25221804
235,0.28972715
236,0.26899928
237,0.16190967
238,0.33346224
239,0.29991168
240,0.32151055
241,0.30381465
242,0.2764932
243,0.23004083
244,0.21280178
245,0.32777923
246,0.2115058
247,0.2541869
248,0.23450452
249,0.3928964
250,0.2023867
251,0.23690629
252,0.24633965
253,0.32537526
254,0.29529473
255,0.44563317
256,0.22086793
257,0.29492405
258,0.20871662
259,0.3825192
260,0.20982604
261,0.24221659
262,0.27556103
263,0.21089253
264,0.2893969
265,0.25126514
266,0.26298025
267,0.28227997
268,0.18840224
269,0.21512774
270,0.28010148
271,0.23080106
272,0.312164
273,0.14168766
274,0.18714203
275,0.34198126
276,0.20630293
277,0.3300756
278,0.20350912
279,0.30623585
280,0.28946435
281,0.33145094
282,0.3240444
283,0.22770463
284,0.39174423
285,0.26583806
286,0.29361492
287,0.22919914
288,0.18039057
289,0.32874453
290,0.3706727
291,0.26667958
292,0.31176138
293,0.35787296
294,0.35573465
295,0.2559362
296,0.1750736
297,0.18239918
298,0.29478902
299,0.23608123
300,0.24815524
301,0.30647087
302,0.19452864
303,0.18188386
304,0.2189967
305,0.43257725
306,0.294917
307,0.3540535
308,0.31671193
309,0.21696839
310,0.28519595
311,0.27613944
312,0.24239251
313,0.3433654
314,0.25173864
315,0.19559921
316,0.36721066
317,0.33201954
318,0.3616448
319,0.4053125
320,0.26272282
321,0.3856853
322,0.21525873
323,0.25438315
324,0.20903972
325,0.22357845
326,0.2682693
327,0.20744252
328,0.35740077
329,0.2297821
330,0.3164056
331,0.32039356
332,0.20868483
333,0.15939675
334,0.31845027
335,0.23975419
336,0.31366515
337,0.30610442
338,0.30695045
339,0.41969952
340,0.33953577
341,0.40354365
342,0.24398097
343,0.26590252
344,0.28085247
345,0.41422606
346,0.3565632
347,0.470507
348,0.32127857
349,0.21533257
350,0.30081373
351,0.20801617
352,0.2820148
353,0.34488887
354,0.27953228
355,0.19209681
356,0.4076311
357,0.25702047
358,0.31229958
359,0.2675733
360,0.29935288
361,0.22915888
362,0.293906
363,0.28657356
364,0.3295864
365,0.21356386
366,0.21514031
367,0.18096232
368,0.42264313
369,0.27316678
370,0.32253304
371,0.3601809
372,0.26712584
373,0.17988306
374,0.21494707
375,0.2310481
376,0.24376556
377,0.20984606
378,0.34204522
379,0.32409889
380,0.28227842
381,0.2087974
382,0.18254262
383,0.29455465
384,0.25618115
385,0.3494686
386,0.37773466
387,0.17373347
388,0.39101177
389,0.25602695
390,0.39076233
391,0.291118
392,0.3777845
393,0.29633915
394,0.39550078
395,0.30753666
396,0.33086094
397,0.34224856
398,0.29252595
399,0.28578138
400,0.29749426
401,0.27688986
402,0.26282185
403,0.21776047
404,0.2475253
405,0.27066088
406,0.29136717
407,0.41460174
408,0.2432824
409,0.31815726
410,0.17333552
411,0.2614884
412,0.24203208
413,0.1584974
414,0.346692
415,0.24522959
416,0.27704254
417,0.2948972
418,0.3538236
419,0.24675107
420,0.19084358
421,0.2339212
422,0.30723968
423,0.19229889
424,0.22912434
425,0.21638647
426,0.16671278
427,0.29653138
428,0.2959506
429,0.25299162
430,0.39621714
431,0.2783193
432,0.3496642
433,0.33192503
434,0.24984346
435,0.28477564
436,0.34044647
437,0.22114855
438,0.2193296
439,0.2621356
440,0.20947677
441,0.21156073
442,0.34500825
443,0.25881255
444,0.1705328
445,0.22294596
446,0.29893315
447,0.19493437
448,0.30917564
449,0.28170216
450,0.2745765
451,0.21203735
