,0
0,468
1,494
2,486
3,275
4,285
5,357
6,484
7,495
8,335
9,444
10,500
11,495
12,500
13,466
14,495
15,495
16,500
17,431
18,487
19,290
20,314
21,184
22,418
23,490
24,493
25,496
26,391
27,353
28,375
29,401
30,358
31,258
32,232
33,500
34,430
35,463
36,381
37,498
38,397
39,390
40,459
41,499
42,345
43,482
44,452
45,373
46,287
47,471
48,499
49,389
50,353
51,280
52,284
53,261
54,489
55,480
56,457
57,460
58,261
59,473
60,466
61,328
62,149
63,491
64,411
65,468
66,241
67,458
68,412
69,309
70,483
71,481
72,475
73,465
74,206
75,437
76,369
77,147
78,454
79,484
80,269
81,482
82,160
83,487
84,474
85,484
86,486
87,343
88,480
89,443
90,444
91,258
92,394
93,453
94,498
95,317
96,354
97,488
98,481
99,323
100,248
101,389
102,424
103,462
104,444
105,337
106,460
107,499
108,431
109,420
110,423
111,378
112,489
113,498
114,437
115,470
116,500
117,487
118,188
119,364
120,281
121,433
122,494
123,477
124,320
125,472
126,471
127,498
128,440
129,373
130,480
131,350
132,423
133,494
134,494
135,387
136,457
137,435
138,368
139,482
140,472
141,498
142,494
143,459
144,156
145,493
146,358
147,420
148,446
149,396
150,496
151,247
152,195
153,423
154,463
155,398
156,490
157,175
158,496
159,400
160,269
161,479
162,499
163,352
164,181
165,455
166,479
167,400
168,184
169,347
170,143
171,338
172,486
173,384
174,198
175,498
176,358
177,500
178,489
179,429
180,492
181,383
182,325
183,143
184,454
185,398
186,194
187,349
188,308
189,447
190,498
191,494
192,444
193,490
194,131
195,498
196,392
197,500
198,383
199,498
200,402
201,486
202,499
203,357
204,497
205,496
206,494
207,483
208,327
209,336
210,110
211,447
212,253
213,498
214,397
215,474
216,499
217,457
218,497
219,492
220,495
221,178
222,400
223,463
224,497
225,492
226,401
227,483
228,473
229,467
230,156
231,423
232,343
233,472
234,499
235,189
236,390
237,276
238,485
239,478
240,498
241,223
242,498
243,498
244,468
245,436
246,495
247,365
248,433
249,451
250,467
251,368
252,379
253,480
254,234
255,495
256,341
257,488
258,489
259,337
260,475
261,491
262,491
263,499
264,344
265,479
266,489
267,165
268,491
269,354
270,471
271,483
272,310
273,459
274,474
275,499
276,402
277,420
278,434
279,482
280,389
281,195
282,491
283,500
284,351
285,296
286,437
287,284
288,412
289,493
290,483
291,310
292,498
293,493
294,236
295,461
296,492
297,491
298,375
299,239
300,281
301,233
302,494
303,432
304,378
305,275
306,467
307,497
308,411
309,495
310,436
311,404
312,425
313,223
314,498
315,359
316,490
317,485
318,179
319,495
320,496
321,362
322,496
323,324
324,325
325,124
326,500
327,465
328,483
329,423
330,478
331,419
332,290
333,493
334,491
335,345
336,441
337,413
338,154
339,459
340,485
341,135
342,461
343,471
344,473
345,495
346,173
347,186
348,366
349,361
350,258
351,493
352,491
353,500
354,472
355,459
356,139
357,468
358,444
359,283
360,447
361,475
362,495
363,420
364,496
365,385
366,412
367,405
368,145
369,489
370,384
371,375
372,488
373,402
374,320
375,360
376,492
377,449
378,167
379,466
380,460
381,291
382,466
383,212
384,359
385,495
386,497
387,442
388,387
389,487
390,470
391,380
392,396
393,417
394,500
395,491
396,497
397,486
398,296
399,499
400,398
401,271
402,473
403,318
404,499
405,238
406,463
407,482
408,488
409,133
410,449
411,387
412,340
413,463
414,446
415,475
416,490
417,468
418,104
419,366
420,449
421,207
422,481
423,409
424,188
425,497
426,157
427,190
428,421
429,499
430,488
431,469
432,277
433,494
434,406
435,484
436,461
437,435
438,499
439,478
440,485
441,407
442,456
443,494
444,494
445,393
446,451
447,497
448,239
449,447
450,496
451,145
452,500
453,482
454,386
455,266
456,498
457,492
458,495
459,490
460,372
461,328
462,422
463,478
464,267
465,491
466,477
467,250
468,480
469,268
470,259
471,499
472,138
473,255
474,108
475,488
476,464
477,325
478,497
479,492
480,264
481,469
482,478
483,488
484,471
485,445
486,356
487,498
488,140
489,448
490,128
491,481
492,498
493,468
494,475
495,466
496,471
497,469
498,288
499,483
500,498
501,435
502,320
503,486
504,453
505,424
506,462
507,470
508,477
509,449
510,481
511,430
