,0
0,427
1,490
2,479
3,290
4,316
5,377
6,470
7,493
8,331
9,402
10,500
11,481
12,499
13,421
14,486
15,491
16,499
17,438
18,474
19,310
20,299
21,203
22,399
23,469
24,487
25,489
26,356
27,365
28,338
29,382
30,344
31,318
32,282
33,497
34,398
35,436
36,341
37,493
38,357
39,390
40,461
41,495
42,383
43,459
44,464
45,370
46,321
47,460
48,491
49,402
50,357
51,309
52,321
53,304
54,459
55,465
56,442
57,412
58,235
59,470
60,435
61,342
62,223
63,482
64,387
65,437
66,267
67,418
68,402
69,333
70,467
71,469
72,433
73,454
74,251
75,447
76,352
77,231
78,449
79,466
80,315
81,466
82,226
83,458
84,445
85,479
86,475
87,354
88,454
89,388
90,393
91,317
92,362
93,423
94,494
95,359
96,381
97,486
98,460
99,344
100,305
101,407
102,418
103,457
104,436
105,328
106,428
107,495
108,449
109,446
110,407
111,390
112,495
113,493
114,393
115,455
116,496
117,480
118,260
119,313
120,281
121,385
122,458
123,464
124,341
125,480
126,471
127,494
128,417
129,343
130,447
131,361
132,411
133,487
134,477
135,353
136,436
137,417
138,363
139,481
140,453
141,484
142,488
143,431
144,223
145,483
146,328
147,389
148,448
149,366
150,491
151,303
152,253
153,371
154,431
155,369
156,484
157,227
158,492
159,385
160,306
161,456
162,496
163,363
164,264
165,432
166,453
167,434
168,176
169,345
170,211
171,357
172,472
173,393
174,268
175,490
176,381
177,498
178,479
179,422
180,477
181,351
182,315
183,185
184,425
185,412
186,245
187,330
188,335
189,401
190,494
191,489
192,420
193,479
194,168
195,497
196,402
197,498
198,358
199,483
200,385
201,467
202,490
203,356
204,496
205,494
206,489
207,479
208,289
209,365
210,196
211,431
212,283
213,496
214,366
215,465
216,496
217,470
218,496
219,481
220,489
221,215
222,369
223,461
224,493
225,470
226,420
227,473
228,429
229,438
230,175
231,452
232,291
233,465
234,497
235,248
236,354
237,302
238,489
239,451
240,498
241,277
242,495
243,496
244,447
245,406
246,490
247,371
248,417
249,403
250,428
251,382
252,342
253,462
254,275
255,494
256,367
257,474
258,482
259,349
260,448
261,485
262,476
263,497
264,286
265,468
266,487
267,248
268,482
269,353
270,443
271,472
272,299
273,463
274,455
275,497
276,373
277,418
278,393
279,470
280,416
281,230
282,482
283,499
284,312
285,313
286,427
287,342
288,370
289,472
290,461
291,306
292,493
293,485
294,276
295,429
296,479
297,475
298,344
299,233
300,311
301,233
302,484
303,413
304,370
305,303
306,472
307,494
308,379
309,492
310,426
311,404
312,415
313,257
314,490
315,402
316,486
317,479
318,240
319,488
320,495
321,332
322,492
323,368
324,329
325,193
326,497
327,454
328,484
329,402
330,464
331,379
332,304
333,491
334,474
335,367
336,385
337,369
338,212
339,459
340,450
341,155
342,455
343,450
344,482
345,488
346,249
347,168
348,361
349,353
350,284
351,484
352,490
353,496
354,443
355,445
356,203
357,467
358,406
359,229
360,424
361,455
362,482
363,439
364,494
365,374
366,382
367,396
368,168
369,469
370,368
371,331
372,472
373,399
374,329
375,353
376,479
377,410
378,243
379,454
380,461
381,315
382,445
383,266
384,363
385,472
386,496
387,424
388,443
389,468
390,458
391,336
392,370
393,433
394,495
395,483
396,490
397,457
398,307
399,494
400,368
401,307
402,473
403,305
404,498
405,279
406,430
407,481
408,471
409,176
410,436
411,389
412,352
413,444
414,411
415,444
416,481
417,424
418,176
419,341
420,446
421,275
422,446
423,405
424,243
425,495
426,218
427,275
428,380
429,499
430,489
431,456
432,315
433,491
434,413
435,465
436,423
437,425
438,498
439,464
440,468
441,387
442,452
443,491
444,492
445,393
446,451
447,493
448,233
449,458
450,494
451,206
452,491
453,477
454,347
455,295
456,493
457,475
458,477
459,468
460,323
461,256
462,431
463,460
464,296
465,480
466,450
467,295
468,462
469,302
470,264
471,494
472,215
473,299
474,201
475,492
476,450
477,324
478,488
479,472
480,272
481,458
482,458
483,479
484,460
485,398
486,369
487,498
488,185
489,435
490,155
491,454
492,493
493,451
494,435
495,455
496,446
497,462
498,286
499,463
500,493
501,427
502,320
503,470
504,415
505,408
506,424
507,474
508,478
509,425
510,472
511,400
