,0
0,0.3175799
1,0.40892017
2,0.3766057
3,0.1689682
4,0.22104374
5,0.24365723
6,0.34122193
7,0.3339767
8,0.25809646
9,0.3618838
10,0.42719984
11,0.36009264
12,0.5378813
13,0.22801203
14,0.42449462
15,0.3645112
16,0.6388451
17,0.21728198
18,0.31488985
19,0.21883003
20,0.18230383
21,0.18809204
22,0.22014892
23,0.33789146
24,0.40843207
25,0.38204083
26,0.18310015
27,0.2111975
28,0.19609037
29,0.20712495
30,0.20246923
31,0.18508416
32,0.19014269
33,0.54876536
34,0.2162416
35,0.28391975
36,0.25212145
37,0.5286469
38,0.21020393
39,0.2506393
40,0.2702694
41,0.3995974
42,0.18309188
43,0.41514322
44,0.32380188
45,0.20078534
46,0.21060568
47,0.29382887
48,0.46556938
49,0.22047143
50,0.19639271
51,0.20994839
52,0.20192039
53,0.22679904
54,0.43529606
55,0.2982497
56,0.25347632
57,0.29823261
58,0.23683155
59,0.28078485
60,0.31239358
61,0.17765056
62,0.30461264
63,0.44415328
64,0.212666
65,0.2237473
66,0.22854134
67,0.24094948
68,0.19702691
69,0.18921001
70,0.3093968
71,0.341968
72,0.3598257
73,0.25446343
74,0.17204392
75,0.21253228
76,0.29196247
77,0.21203288
78,0.23639393
79,0.26771796
80,0.18350609
81,0.35073584
82,0.24922448
83,0.3278454
84,0.46874028
85,0.29367745
86,0.30927864
87,0.2282891
88,0.32713884
89,0.24954389
90,0.2331413
91,0.28546
92,0.21590653
93,0.23740143
94,0.45404804
95,0.24913013
96,0.27010763
97,0.40889806
98,0.34461325
99,0.21800894
100,0.17550775
101,0.20603147
102,0.27226514
103,0.29194343
104,0.28272894
105,0.22019464
106,0.2867715
107,0.46311128
108,0.21524245
109,0.27472174
110,0.24758542
111,0.22826864
112,0.3701917
113,0.39900798
114,0.26680213
115,0.24820293
116,0.5849891
117,0.29281807
118,0.23653322
119,0.23585725
120,0.19113812
121,0.25817075
122,0.36994052
123,0.40655535
124,0.22821113
125,0.30120492
126,0.28879237
127,0.39289877
128,0.3046553
129,0.22905245
130,0.33741713
131,0.18579194
132,0.21803671
133,0.30904335
134,0.457666
135,0.19535172
136,0.27783224
137,0.3117392
138,0.20818524
139,0.25849515
140,0.2849176
141,0.41599163
142,0.3826672
143,0.2703461
144,0.22193156
145,0.44714916
146,0.21701568
147,0.29823998
148,0.20781286
149,0.19674423
150,0.38360575
151,0.16548333
152,0.24695031
153,0.27787498
154,0.25486526
155,0.30203876
156,0.36235547
157,0.24519493
158,0.3212394
159,0.25852913
160,0.2410732
161,0.35265392
162,0.41355556
163,0.23384187
164,0.22519678
165,0.23220478
166,0.33724827
167,0.26955262
168,0.20834321
169,0.20155673
170,0.19275655
171,0.24148884
172,0.30442032
173,0.24984238
174,0.2290098
175,0.43307018
176,0.1814889
177,0.5649216
178,0.32225123
179,0.27542144
180,0.390159
181,0.23673669
182,0.2219143
183,0.24343169
184,0.30257827
185,0.1969702
186,0.16795322
187,0.20585813
188,0.21377465
189,0.30221808
190,0.44696075
191,0.4365502
192,0.2832945
193,0.3439113
194,0.17951879
195,0.35809615
196,0.208579
197,0.5661427
198,0.18153988
199,0.5293937
200,0.2143045
201,0.30954155
202,0.43029028
203,0.24100842
204,0.28143
205,0.35970846
206,0.31722537
207,0.3113349
208,0.27246296
209,0.19899389
210,0.21870819
211,0.29235473
212,0.21214688
213,0.44465876
214,0.2587853
215,0.36505616
216,0.39546716
217,0.26512408
218,0.41823676
219,0.35793924
220,0.42003268
221,0.27246338
222,0.26089612
223,0.3105519
224,0.4919574
225,0.3335537
226,0.19096118
227,0.3256268
228,0.32863152
229,0.31635138
230,0.2857314
231,0.28032756
232,0.13086736
233,0.24053541
234,0.40795696
235,0.1872009
236,0.34449005
237,0.19615865
238,0.27520263
239,0.4097791
240,0.44518828
241,0.18253615
242,0.49015903
243,0.45961335
244,0.35514474
245,0.28061768
246,0.36371017
247,0.19358976
248,0.2885583
249,0.28218332
250,0.26338002
251,0.19605282
252,0.2553018
253,0.32035655
254,0.20472454
255,0.39585596
256,0.22817665
257,0.374953
258,0.33027887
259,0.2414177
260,0.3451668
261,0.30128202
262,0.38321126
263,0.4563656
264,0.18664154
265,0.3252524
266,0.36608917
267,0.12866364
268,0.23351848
269,0.17450774
270,0.31332952
271,0.28169808
272,0.20847277
273,0.2638713
274,0.3549005
275,0.5949049
276,0.24374826
277,0.24253759
278,0.27153605
279,0.3955365
280,0.19026735
281,0.17469764
282,0.3072182
283,0.44427586
284,0.24363753
285,0.2057341
286,0.19763634
287,0.20560256
288,0.2607152
289,0.49179748
290,0.38853294
291,0.1748906
292,0.45405084
293,0.4518694
294,0.1782531
295,0.33941287
296,0.39203373
297,0.3323288
298,0.1788015
299,0.17203394
300,0.23704943
301,0.19100592
302,0.35116082
303,0.25769988
304,0.17376357
305,0.24888925
306,0.2681404
307,0.4513442
308,0.18627545
309,0.42243084
310,0.26330832
311,0.17616352
312,0.25635165
313,0.18352267
314,0.33134538
315,0.26191765
316,0.31605887
317,0.36834878
318,0.20858273
319,0.48653972
320,0.43693063
321,0.19762163
322,0.39508387
323,0.21870488
324,0.21822771
325,0.31335622
326,0.48551917
327,0.29266506
328,0.31325465
329,0.27495146
330,0.31740358
331,0.2514364
332,0.25865918
333,0.37777394
334,0.44345212
335,0.32318372
336,0.26817763
337,0.216934
338,0.15941095
339,0.19329876
340,0.42127466
341,0.16901621
342,0.39918196
343,0.27924258
344,0.30239087
345,0.34658676
346,0.26477242
347,0.19238545
348,0.2475615
349,0.15339744
350,0.19727594
351,0.4041975
352,0.29278302
353,0.5342087
354,0.31984168
355,0.25098318
356,0.15617841
357,0.3421297
358,0.25000417
359,0.2649992
360,0.28765857
361,0.2841332
362,0.48038954
363,0.2965542
364,0.42785257
365,0.18398958
366,0.25385377
367,0.25114122
368,0.20949516
369,0.46329874
370,0.20889622
371,0.22232431
372,0.44094908
373,0.2529456
374,0.16220367
375,0.2667055
376,0.38455325
377,0.18406469
378,0.19402838
379,0.22716357
380,0.25911492
381,0.16763774
382,0.3284772
383,0.15116057
384,0.28480065
385,0.41825086
386,0.34276178
387,0.24943596
388,0.26394284
389,0.44867685
390,0.30071652
391,0.22894116
392,0.19839141
393,0.21779759
394,0.4799558
395,0.30376905
396,0.33056164
397,0.2982081
398,0.2086939
399,0.37372953
400,0.24009824
401,0.22225471
402,0.3019737
403,0.23212624
404,0.46382627
405,0.20563611
406,0.33034807
407,0.21168327
408,0.38398892
409,0.259929
410,0.2851705
411,0.24187446
412,0.22201332
413,0.34536076
414,0.24296191
415,0.32375014
416,0.33812287
417,0.26218635
418,0.2600092
419,0.27628934
420,0.29366395
421,0.26681584
422,0.43502253
423,0.23176727
424,0.17421131
425,0.37783107
426,0.27077287
427,0.25288898
428,0.25151402
429,0.4555872
430,0.33306536
431,0.2647369
432,0.23123476
433,0.32269204
434,0.18648961
435,0.37905625
436,0.25437388
437,0.27808666
438,0.56358445
439,0.29681736
440,0.27915692
441,0.23417151
442,0.27048725
443,0.37905955
444,0.44095308
445,0.22256103
446,0.2332358
447,0.52910876
448,0.19108191
449,0.28718743
450,0.36000454
451,0.21640795
452,0.56135356
453,0.31595016
454,0.29948467
455,0.19302414
456,0.45829415
457,0.37005037
458,0.38648188
459,0.40450755
460,0.28488523
461,0.18953145
462,0.22226357
463,0.34024078
464,0.17504406
465,0.27329734
