,0
0,438
1,369
2,287
3,360
4,264
5,376
6,440
7,427
8,436
9,464
10,410
11,372
12,330
13,286
14,418
15,242
16,222
17,356
18,383
19,394
20,171
21,495
22,249
23,307
24,252
25,202
26,475
27,262
28,353
29,310
30,149
31,384
32,443
33,262
34,400
35,370
36,343
37,216
38,473
39,453
40,237
41,328
42,420
43,366
44,261
45,182
46,201
47,456
48,345
49,305
50,359
51,329
52,276
53,188
54,448
55,355
56,269
57,453
58,287
59,306
60,423
61,432
62,480
63,374
64,351
65,338
66,454
67,359
68,293
69,317
70,442
71,189
72,322
73,350
74,453
75,382
76,368
77,437
78,415
79,164
80,286
81,270
82,399
83,377
84,445
85,308
86,224
87,392
88,420
89,483
90,482
91,373
92,288
93,384
94,309
95,321
96,318
97,227
98,390
99,430
100,342
101,397
102,457
103,376
104,276
105,179
106,422
107,307
108,292
109,261
110,418
111,404
112,398
113,172
114,397
115,281
116,302
117,411
118,332
119,458
120,389
121,491
122,393
123,419
124,356
125,433
126,438
127,340
128,230
129,380
130,376
131,340
132,263
133,304
134,358
135,169
136,481
137,305
138,363
139,182
140,352
141,455
142,261
143,465
144,466
145,342
146,341
147,340
148,358
149,305
150,317
151,214
152,479
153,230
154,427
155,297
156,374
157,363
158,375
159,396
160,393
161,380
162,152
163,263
164,486
165,396
166,434
167,318
168,492
169,449
170,457
171,216
172,394
173,421
174,393
175,406
176,463
177,377
178,276
179,259
180,326
181,474
182,458
183,477
184,483
185,456
186,447
187,473
188,437
189,356
190,433
191,220
192,417
193,364
194,495
195,205
196,251
197,301
198,392
199,462
200,206
201,400
202,375
203,251
204,372
205,430
206,180
207,439
208,311
209,188
210,468
211,341
212,475
213,150
214,327
215,341
216,298
217,404
218,350
219,409
220,295
221,474
222,437
223,363
224,350
225,451
226,265
227,318
228,369
229,406
230,489
231,246
232,416
233,387
234,448
235,193
236,403
237,296
238,261
239,241
240,416
241,356
242,333
243,325
244,419
245,417
246,248
247,315
248,351
249,482
250,401
251,383
252,402
253,319
254,327
255,351
256,476
257,310
258,435
259,457
260,225
261,351
262,457
263,442
264,276
265,465
266,296
267,261
268,228
269,346
270,288
271,444
272,415
273,245
274,245
275,344
276,396
277,186
278,417
279,272
280,425
281,440
282,225
283,174
284,476
285,207
286,331
287,406
288,221
289,479
290,434
291,492
292,193
293,425
294,455
295,445
296,336
297,437
298,227
299,314
300,470
301,463
302,308
303,165
304,284
305,346
306,162
307,325
308,423
309,170
310,251
311,296
312,164
313,453
314,415
315,200
316,315
317,164
318,435
319,457
320,325
321,425
322,450
323,370
324,487
325,459
326,330
327,464
328,452
329,355
330,466
331,374
332,243
333,287
334,319
335,336
336,365
337,449
338,299
339,319
340,435
341,499
342,168
343,342
344,190
345,375
346,441
347,498
348,466
349,184
350,303
351,388
352,166
353,267
354,451
355,422
356,444
357,477
358,463
359,474
360,228
361,461
362,403
363,466
364,375
365,338
366,442
367,301
368,496
369,294
370,393
371,344
372,386
373,245
374,260
375,269
376,341
377,305
378,484
379,319
380,407
381,448
382,314
383,269
384,280
385,395
386,395
387,380
388,362
389,371
390,292
391,426
392,424
393,387
394,277
395,344
396,388
397,395
398,335
399,222
400,309
401,378
402,432
403,170
404,334
405,303
406,302
407,385
408,215
409,355
410,278
411,252
412,472
413,223
414,382
415,383
416,367
417,402
418,471
419,409
420,151
421,223
422,404
423,467
424,427
425,385
426,462
427,488
428,343
429,410
430,396
431,260
432,440
433,194
434,222
435,244
436,447
437,270
438,267
439,464
440,173
441,424
442,294
443,328
444,240
445,255
446,355
447,372
448,411
449,190
450,325
451,353
452,337
453,357
454,278
455,253
456,443
457,489
458,299
459,370
460,338
461,319
462,453
463,418
464,392
465,273
466,340
467,434
468,326
469,372
470,369
471,152
472,421
473,332
474,299
475,457
476,300
477,372
478,442
479,350
480,414
481,371
482,452
483,400
484,419
485,218
486,266
487,363
488,215
489,402
490,493
491,421
492,400
493,347
494,469
495,487
496,277
497,480
498,478
499,278
500,261
501,345
502,371
503,397
504,360
505,476
506,295
507,407
508,434
509,327
510,367
511,327
