,0
0,418
1,367
2,236
3,325
4,279
5,397
6,406
7,405
8,424
9,433
10,393
11,377
12,336
13,314
14,427
15,238
16,273
17,343
18,349
19,362
20,208
21,491
22,286
23,310
24,260
25,185
26,471
27,239
28,356
29,305
30,137
31,352
32,442
33,275
34,365
35,357
36,349
37,239
38,466
39,443
40,261
41,334
42,406
43,315
44,284
45,253
46,251
47,440
48,311
49,269
50,311
51,340
52,300
53,195
54,438
55,350
56,287
57,438
58,301
59,290
60,401
61,404
62,474
63,370
64,337
65,340
66,444
67,359
68,319
69,313
70,416
71,217
72,305
73,349
74,434
75,389
76,348
77,415
78,397
79,185
80,305
81,283
82,362
83,362
84,422
85,336
86,214
87,350
88,438
89,466
90,468
91,355
92,313
93,381
94,281
95,305
96,327
97,250
98,397
99,407
100,345
101,379
102,446
103,376
104,268
105,237
106,417
107,300
108,296
109,290
110,381
111,380
112,390
113,235
114,375
115,282
116,311
117,395
118,291
119,444
120,366
121,484
122,363
123,396
124,308
125,404
126,402
127,336
128,218
129,380
130,384
131,320
132,242
133,289
134,339
135,235
136,464
137,280
138,310
139,213
140,350
141,433
142,296
143,449
144,457
145,355
146,328
147,326
148,348
149,287
150,312
151,250
152,471
153,228
154,395
155,287
156,344
157,351
158,336
159,370
160,342
161,341
162,196
163,251
164,472
165,381
166,400
167,325
168,483
169,445
170,442
171,253
172,380
173,408
174,366
175,397
176,450
177,326
178,303
179,262
180,323
181,463
182,453
183,472
184,464
185,444
186,409
187,464
188,412
189,338
190,426
191,233
192,412
193,315
194,492
195,262
196,273
197,309
198,350
199,463
200,231
201,377
202,324
203,254
204,333
205,390
206,183
207,410
208,256
209,198
210,472
211,338
212,466
213,181
214,321
215,336
216,289
217,358
218,341
219,361
220,259
221,477
222,428
223,327
224,318
225,433
226,235
227,318
228,344
229,369
230,480
231,271
232,407
233,373
234,417
235,223
236,384
237,287
238,247
239,275
240,411
241,337
242,321
243,332
244,419
245,382
246,252
247,297
248,377
249,474
250,344
251,384
252,381
253,292
254,307
255,330
256,463
257,318
258,403
259,443
260,230
261,371
262,461
263,403
264,239
265,460
266,331
267,307
268,247
269,346
270,279
271,423
272,365
273,249
274,262
275,311
276,369
277,207
278,391
279,333
280,398
281,399
282,256
283,230
284,458
285,209
286,293
287,345
288,192
289,475
290,388
291,479
292,232
293,381
294,468
295,439
296,333
297,406
298,202
299,347
300,466
301,427
302,292
303,198
304,298
305,296
306,187
307,308
308,418
309,220
310,229
311,298
312,214
313,437
314,398
315,251
316,255
317,173
318,392
319,439
320,348
321,407
322,446
323,348
324,483
325,450
326,314
327,458
328,421
329,332
330,450
331,342
332,298
333,312
334,342
335,338
336,383
337,437
338,321
339,312
340,406
341,496
342,217
343,361
344,238
345,308
346,391
347,491
348,449
349,204
350,302
351,394
352,190
353,245
354,441
355,411
356,416
357,468
358,436
359,456
360,237
361,448
362,365
363,451
364,358
365,331
366,427
367,315
368,491
369,358
370,377
371,319
372,384
373,262
374,242
375,278
376,326
377,253
378,466
379,277
380,405
381,422
382,272
383,291
384,281
385,393
386,368
387,356
388,325
389,352
390,249
391,410
392,390
393,341
394,253
395,302
396,374
397,370
398,308
399,234
400,278
401,330
402,364
403,224
404,339
405,272
406,295
407,341
408,233
409,311
410,282
411,248
412,461
413,228
414,346
415,366
416,326
417,385
418,455
419,350
420,224
421,246
422,377
423,463
424,395
425,378
426,449
427,483
428,294
429,398
430,364
431,297
432,410
433,252
434,244
435,244
436,428
437,269
438,290
439,443
440,210
441,411
442,252
443,310
444,294
445,268
446,353
447,371
448,418
449,228
450,313
451,362
452,323
453,360
454,280
455,264
456,402
457,482
458,299
459,373
460,319
461,290
462,437
463,411
464,367
465,275
466,318
467,439
468,295
469,339
470,359
471,187
472,423
473,297
474,329
475,426
476,292
477,360
478,439
479,335
480,371
481,327
482,444
483,397
484,384
485,231
486,290
487,368
488,247
489,399
490,481
491,378
492,374
493,322
494,453
495,473
496,309
497,473
498,473
499,292
500,259
501,305
502,369
503,400
504,312
505,464
506,267
507,375
508,411
509,338
510,358
511,329
