,0
0,438
1,323
2,147
3,384
4,304
5,413
6,458
7,380
8,410
9,477
10,277
11,457
12,466
13,440
14,442
15,322
16,385
17,427
18,406
19,412
20,212
21,494
22,441
23,266
24,323
25,205
26,413
27,161
28,395
29,467
30,200
31,363
32,461
33,411
34,389
35,347
36,381
37,260
38,446
39,449
40,348
41,464
42,324
43,314
44,369
45,452
46,381
47,481
48,318
49,252
50,230
51,351
52,458
53,252
54,454
55,427
56,399
57,449
58,397
59,197
60,465
61,377
62,483
63,369
64,351
65,457
66,472
67,415
68,399
69,319
70,465
71,365
72,408
73,441
74,468
75,403
76,432
77,295
78,252
79,276
80,397
81,280
82,440
83,466
84,399
85,432
86,264
87,403
88,446
89,477
90,408
91,389
92,449
93,405
94,314
95,329
96,379
97,320
98,462
99,261
100,463
101,449
102,491
103,433
104,364
105,433
106,480
107,330
108,304
109,425
110,317
111,382
112,465
113,369
114,419
115,433
116,359
117,428
118,321
119,470
120,294
121,493
122,379
123,407
124,263
125,446
126,430
127,443
128,245
129,403
130,470
131,410
132,215
133,387
134,273
135,446
136,458
137,171
138,357
139,382
140,412
141,476
142,467
143,434
144,488
145,458
146,452
147,406
148,265
149,387
150,406
151,409
152,408
153,259
154,356
155,420
156,418
157,432
158,424
159,277
160,418
161,425
162,276
163,294
164,485
165,404
166,437
167,400
168,476
169,385
170,426
171,294
172,470
173,448
174,301
175,471
176,482
177,269
178,388
179,372
180,417
181,486
182,420
183,481
184,371
185,477
186,444
187,496
188,324
189,289
190,428
191,373
192,346
193,330
194,481
195,302
196,346
197,393
198,303
199,479
200,261
201,420
202,410
203,284
204,403
205,355
206,177
207,441
208,255
209,364
210,485
211,462
212,480
213,349
214,365
215,394
216,396
217,349
218,339
219,328
220,252
221,492
222,457
223,198
224,337
225,328
226,238
227,370
228,436
229,297
230,486
231,272
232,433
233,323
234,469
235,426
236,303
237,259
238,315
239,417
240,407
241,418
242,381
243,455
244,446
245,284
246,326
247,335
248,412
249,485
250,367
251,445
252,295
253,248
254,381
255,318
256,487
257,426
258,464
259,343
260,313
261,385
262,490
263,460
264,176
265,459
266,321
267,449
268,382
269,301
270,386
271,337
272,281
273,375
274,371
275,282
276,392
277,255
278,454
279,452
280,297
281,450
282,360
283,354
284,331
285,335
286,361
287,364
288,159
289,490
290,434
291,434
292,370
293,407
294,495
295,485
296,434
297,414
298,159
299,435
300,497
301,427
302,434
303,309
304,423
305,362
306,275
307,382
308,416
309,365
310,187
311,438
312,302
313,368
314,436
315,333
316,281
317,304
318,443
319,374
320,445
321,338
322,455
323,404
324,494
325,426
326,239
327,487
328,286
329,443
330,315
331,424
332,341
333,432
334,387
335,442
336,472
337,414
338,413
339,397
340,384
341,492
342,342
343,473
344,364
345,299
346,417
347,486
348,468
349,275
350,369
351,476
352,341
353,279
354,465
355,383
356,391
357,472
358,455
359,479
360,339
361,453
362,349
363,353
364,337
365,408
366,389
367,331
368,473
369,450
370,351
371,310
372,423
373,350
374,248
375,343
376,415
377,317
378,370
379,243
380,460
381,448
382,223
383,398
384,421
385,443
386,312
387,446
388,378
389,397
390,263
391,327
392,356
393,391
394,238
395,257
396,304
397,406
398,323
399,290
400,241
401,359
402,405
403,317
404,447
405,219
406,388
407,315
408,209
409,408
410,345
411,253
412,453
413,320
414,190
415,437
416,329
417,438
418,350
419,383
420,394
421,366
422,386
423,495
424,456
425,478
426,463
427,486
428,332
429,466
430,406
431,413
432,329
433,366
434,312
435,395
436,463
437,213
438,391
439,494
440,303
441,379
442,201
443,352
444,378
445,282
446,401
447,369
448,481
449,335
450,357
451,480
452,323
453,338
454,303
455,450
456,396
457,496
458,352
459,478
460,298
461,335
462,349
463,439
464,339
465,337
466,283
467,412
468,279
469,323
470,363
471,324
472,367
473,328
474,463
475,402
476,357
477,369
478,465
479,260
480,326
481,311
482,489
483,379
484,335
485,324
486,411
487,460
488,303
489,447
490,472
491,406
492,461
493,363
494,361
495,410
496,404
497,485
498,402
499,392
500,368
501,360
502,324
503,341
504,338
505,490
506,223
507,410
508,453
509,433
510,459
511,439
