,0
0,431
1,355
2,165
3,363
4,302
5,425
6,426
7,378
8,409
9,457
10,305
11,450
12,443
13,415
14,448
15,312
16,369
17,393
18,394
19,396
20,215
21,485
22,416
23,296
24,306
25,210
26,434
27,206
28,396
29,429
30,196
31,344
32,454
33,377
34,377
35,346
36,380
37,298
38,438
39,436
40,333
41,441
42,334
43,295
44,373
45,426
46,362
47,464
48,317
49,255
50,253
51,359
52,438
53,267
54,442
55,404
56,367
57,425
58,379
59,238
60,440
61,385
62,482
63,360
64,355
65,430
66,468
67,407
68,386
69,318
70,430
71,330
72,388
73,417
74,449
75,406
76,395
77,320
78,299
79,237
80,375
81,295
82,403
83,434
84,386
85,413
86,260
87,380
88,450
89,457
90,411
91,385
92,433
93,386
94,301
95,334
96,364
97,320
98,443
99,304
100,432
101,432
102,480
103,422
104,342
105,393
106,460
107,322
108,316
109,391
110,344
111,378
112,454
113,337
114,389
115,396
116,352
117,410
118,309
119,451
120,308
121,473
122,384
123,400
124,268
125,429
126,402
127,414
128,236
129,392
130,454
131,376
132,236
133,357
134,266
135,412
136,439
137,204
138,339
139,353
140,410
141,464
142,441
143,413
144,483
145,452
146,423
147,393
148,309
149,355
150,364
151,387
152,414
153,248
154,345
155,398
156,400
157,395
158,388
159,304
160,385
161,392
162,276
163,295
164,465
165,405
166,415
167,388
168,463
169,394
170,417
171,294
172,438
173,437
174,320
175,457
176,461
177,276
178,371
179,324
180,390
181,472
182,417
183,463
184,395
185,469
186,422
187,481
188,326
189,300
190,428
191,321
192,368
193,310
194,474
195,323
196,341
197,389
198,297
199,472
200,263
201,404
202,395
203,266
204,377
205,344
206,211
207,432
208,242
209,336
210,484
211,452
212,462
213,319
214,350
215,387
216,375
217,347
218,356
219,319
220,247
221,479
222,448
223,233
224,334
225,354
226,252
227,353
228,412
229,316
230,472
231,272
232,413
233,335
234,446
235,391
236,318
237,260
238,304
239,396
240,408
241,377
242,349
243,422
244,437
245,282
246,325
247,321
248,408
249,475
250,349
251,423
252,307
253,284
254,354
255,311
256,478
257,400
258,454
259,352
260,292
261,378
262,485
263,449
264,195
265,458
266,349
267,421
268,366
269,308
270,352
271,366
272,286
273,347
274,331
275,283
276,384
277,275
278,435
279,441
280,322
281,417
282,326
283,339
284,366
285,280
286,322
287,366
288,183
289,483
290,407
291,440
292,348
293,390
294,491
295,464
296,404
297,412
298,186
299,418
300,492
301,407
302,391
303,284
304,396
305,333
306,262
307,360
308,408
309,352
310,196
311,410
312,293
313,350
314,428
315,341
316,265
317,273
318,407
319,391
320,428
321,351
322,452
323,381
324,488
325,427
326,282
327,480
328,313
329,413
330,341
331,393
332,320
333,404
334,380
335,412
336,456
337,416
338,397
339,363
340,384
341,484
342,341
343,428
344,340
345,288
346,395
347,476
348,447
349,271
350,346
351,460
352,310
353,277
354,454
355,378
356,383
357,468
358,434
359,462
360,318
361,434
362,351
363,401
364,370
365,372
366,372
367,335
368,468
369,438
370,345
371,286
372,427
373,323
374,249
375,325
376,376
377,305
378,380
379,263
380,436
381,426
382,246
383,357
384,408
385,425
386,316
387,407
388,334
389,371
390,269
391,339
392,351
393,370
394,244
395,294
396,336
397,395
398,326
399,286
400,260
401,348
402,373
403,300
404,415
405,263
406,343
407,296
408,248
409,370
410,342
411,246
412,448
413,300
414,242
415,405
416,325
417,418
418,369
419,373
420,374
421,359
422,376
423,489
424,431
425,449
426,450
427,479
428,333
429,460
430,379
431,394
432,348
433,370
434,284
435,349
436,440
437,246
438,388
439,479
440,310
441,371
442,237
443,351
444,379
445,278
446,384
447,386
448,473
449,323
450,323
451,455
452,324
453,350
454,296
455,415
456,390
457,488
458,337
459,449
460,302
461,314
462,358
463,430
464,327
465,310
466,282
467,429
468,272
469,317
470,344
471,294
472,370
473,316
474,442
475,379
476,327
477,351
478,458
479,273
480,305
481,306
482,472
483,368
484,337
485,303
486,403
487,452
488,301
489,418
490,463
491,378
492,437
493,358
494,356
495,390
496,384
497,476
498,402
499,379
500,335
501,344
502,315
503,377
504,313
505,476
506,242
507,392
508,441
509,410
510,441
511,410
