,0
0,0.23608656
1,0.22303766
2,0.25738823
3,0.23878668
4,0.16789791
5,0.30435687
6,0.27848196
7,0.30116123
8,0.23942128
9,0.31324893
10,0.18349272
11,0.32334578
12,0.26462805
13,0.2406668
14,0.24818468
15,0.18452905
16,0.24803647
17,0.22069556
18,0.20113057
19,0.24559106
20,0.23181479
21,0.3553242
22,0.2305778
23,0.2307511
24,0.18332459
25,0.15535554
26,0.17305532
27,0.17136082
28,0.23700534
29,0.27261734
30,0.2134075
31,0.30673918
32,0.2932302
33,0.26742792
34,0.1766274
35,0.25144362
36,0.20993116
37,0.21632066
38,0.23796925
39,0.27792433
40,0.20497735
41,0.31607068
42,0.18675312
43,0.22827604
44,0.24550758
45,0.34881133
46,0.21158125
47,0.33238888
48,0.18942891
49,0.19978751
50,0.2123438
51,0.17777267
52,0.33101493
53,0.19758035
54,0.28300232
55,0.27390495
56,0.23730125
57,0.22618319
58,0.29210594
59,0.24883835
60,0.27386642
61,0.22012252
62,0.33476007
63,0.22267002
64,0.20488808
65,0.18105894
66,0.25590697
67,0.23480186
68,0.23317403
69,0.23464417
70,0.29913226
71,0.2313039
72,0.24784768
73,0.26053023
74,0.22243066
75,0.25479463
76,0.23644221
77,0.20924887
78,0.19204703
79,0.21790665
80,0.21948609
81,0.18255842
82,0.2976365
83,0.2621374
84,0.27030748
85,0.20510224
86,0.25886214
87,0.28297043
88,0.25233203
89,0.26740125
90,0.22846293
91,0.22285017
92,0.28517693
93,0.2495631
94,0.20412585
95,0.20529284
96,0.22416255
97,0.16200009
98,0.24973547
99,0.19503969
100,0.27684134
101,0.26684886
102,0.368738
103,0.27233413
104,0.21713752
105,0.24529527
106,0.30966127
107,0.2563135
108,0.22077043
109,0.20461807
110,0.2014404
111,0.2428526
112,0.26755103
113,0.32641178
114,0.2623016
115,0.26242512
116,0.23061424
117,0.29352343
118,0.23071907
119,0.35228747
120,0.17001832
121,0.2793146
122,0.21830717
123,0.1989283
124,0.26749712
125,0.315246
126,0.3300054
127,0.2557739
128,0.18597075
129,0.2258049
130,0.26809505
131,0.24479765
132,0.21406165
133,0.21488878
134,0.24049363
135,0.29986954
136,0.2569365
137,0.19232711
138,0.25280076
139,0.17656016
140,0.2277067
141,0.21572864
142,0.34987557
143,0.22447142
144,0.41598392
145,0.28452826
146,0.28316885
147,0.25175118
148,0.20204274
149,0.210246
150,0.18716067
151,0.264812
152,0.29690707
153,0.16143596
154,0.19457287
155,0.18692893
156,0.26014912
157,0.29962397
158,0.23782974
159,0.20777088
160,0.26042134
161,0.23677385
162,0.20816916
163,0.26932254
164,0.34953332
165,0.2610655
166,0.30445945
167,0.25219437
168,0.3768251
169,0.17081332
170,0.28167695
171,0.21621265
172,0.25586888
173,0.2568105
174,0.25462165
175,0.38340282
176,0.2932044
177,0.18745159
178,0.30236888
179,0.1822291
180,0.20700836
181,0.3199557
182,0.23629192
183,0.32371452
184,0.22218096
185,0.31738502
186,0.27611506
187,0.38157952
188,0.25448638
189,0.19200099
190,0.27583957
191,0.20488295
192,0.22665553
193,0.21254183
194,0.3857765
195,0.23316322
196,0.25505972
197,0.29098168
198,0.23403305
199,0.27580127
