,0
0,0.23642156
1,0.21307197
2,0.25362152
3,0.24692392
4,0.16741773
5,0.30031642
6,0.2787002
7,0.31481194
8,0.25110555
9,0.30104613
10,0.19276443
11,0.32167476
12,0.26941174
13,0.25909314
14,0.23279536
15,0.17163521
16,0.2566965
17,0.22261351
18,0.2016494
19,0.23894194
20,0.24377748
21,0.34293622
22,0.22605494
23,0.2530948
24,0.1802386
25,0.16358131
26,0.20680094
27,0.18952918
28,0.23295847
29,0.26346776
30,0.19709492
31,0.29312348
32,0.2797491
33,0.2744627
34,0.18578675
35,0.2681166
36,0.2018963
37,0.18762735
38,0.24497497
39,0.29533905
40,0.21930173
41,0.2948751
42,0.19381511
43,0.21313864
44,0.22522691
45,0.35826525
46,0.21460609
47,0.33462822
48,0.2120775
49,0.2370184
50,0.20706977
51,0.1918366
52,0.30420774
53,0.20846125
54,0.29410112
55,0.2482661
56,0.23720057
57,0.22231585
58,0.2770065
59,0.2573982
60,0.25490987
61,0.24758226
62,0.33313966
63,0.20832819
64,0.2049225
65,0.17434484
66,0.2545253
67,0.23517014
68,0.21266383
69,0.2244314
70,0.30951864
71,0.19246781
72,0.24557525
73,0.25974172
74,0.23324686
75,0.24832186
76,0.23754331
77,0.20124489
78,0.19103122
79,0.19322152
80,0.22231477
81,0.17332828
82,0.28579706
83,0.24832991
84,0.24716692
85,0.20483845
86,0.23549536
87,0.29305494
88,0.2548176
89,0.28411674
90,0.22193176
91,0.21774644
92,0.25943637
93,0.22621462
94,0.20549843
95,0.25087827
96,0.23155624
97,0.15980491
98,0.23244822
99,0.19597375
100,0.2673668
101,0.27850598
102,0.35194325
103,0.28186613
104,0.2226024
105,0.2523947
106,0.2778024
107,0.2535109
108,0.23600666
109,0.21237902
110,0.18581393
111,0.2288828
112,0.25393337
113,0.31524307
114,0.279074
115,0.27293777
116,0.22752309
117,0.2969467
118,0.21361272
119,0.32678655
120,0.14087036
121,0.2688598
122,0.22311026
123,0.17624697
124,0.24373503
125,0.3243022
126,0.3540643
127,0.24153697
128,0.16957009
129,0.23180155
130,0.27398154
131,0.24838366
132,0.21910936
133,0.19562119
134,0.2580226
135,0.28897607
136,0.23388636
137,0.21962906
138,0.2584489
139,0.19002089
140,0.23481151
141,0.24650717
142,0.31923276
143,0.23089503
144,0.40593904
145,0.29347938
146,0.28882423
147,0.2116999
148,0.19277424
149,0.21852726
150,0.18206467
151,0.2564485
152,0.27876067
153,0.19330308
154,0.18671831
155,0.1809924
156,0.2630751
157,0.29965773
158,0.22985403
159,0.18306598
160,0.26136565
161,0.24448614
162,0.23613341
163,0.26877815
164,0.34619504
165,0.24130526
166,0.32212406
167,0.25276217
168,0.38326627
169,0.16901803
170,0.30772486
171,0.21912846
172,0.25179875
173,0.2574316
174,0.2451714
175,0.3664226
176,0.29069108
177,0.20541264
178,0.3088115
179,0.1786569
180,0.21169078
181,0.29810897
182,0.2353828
183,0.3240499
184,0.2669685
185,0.3060527
186,0.27335453
187,0.37521362
188,0.23315486
189,0.19624043
190,0.29111612
191,0.20175272
192,0.23392114
193,0.24359313
194,0.36108667
195,0.21435645
196,0.25446707
197,0.23715147
198,0.21305779
199,0.26825726
200,0.21272583
201,0.20794775
202,0.23888886
203,0.20707886
204,0.27284068
205,0.25896338
206,0.19292903
207,0.22041768
208,0.27954563
209,0.19147614
210,0.32423598
211,0.2948936
212,0.26157683
213,0.26084086
214,0.23403808
215,0.23017356
216,0.18759689
217,0.19681656
218,0.20914656
219,0.22318554
220,0.17905706
221,0.40493655
222,0.28641653
223,0.17870842
224,0.20039736
225,0.22334567
226,0.20804591
227,0.21981585
228,0.2813654
229,0.15925598
230,0.4064046
231,0.20273966
232,0.25565624
233,0.21523267
234,0.26890156
235,0.2901671
236,0.24640717
