,0
0,0.1209937
1,-0.08080031
2,-0.7828668
3,0.17983809
4,0.06857365
5,0.048003502
6,0.4187185
7,-0.18543649
8,0.23911636
9,0.2615496
10,-0.37928057
11,0.0005578175
12,0.05729934
13,0.104831606
14,0.022495558
15,-0.5189678
16,-0.353801
17,-0.11781465
18,0.030695193
19,0.14966637
20,0.14588375
21,0.2260054
22,0.14037785
23,-0.16355555
24,-0.14174537
25,-0.17927879
26,0.14768523
27,-0.4995456
28,0.2412147
29,0.38130838
30,0.2247841
31,-0.16889147
32,0.18823776
33,-0.025002006
34,0.29093012
35,-0.0033288542
36,0.038694613
37,-0.5925906
38,0.2599619
39,0.23936442
40,-0.13174708
41,0.09009359
42,-0.18595278
43,-0.12015532
44,-0.11390481
45,0.13956478
46,0.038646232
47,0.3033446
48,-0.122943625
49,-0.2369417
50,-0.39638066
51,0.14867906
52,0.23984921
53,-0.053738065
54,0.012338815
55,0.08679097
56,0.15126975
57,0.15759094
58,0.22521347
59,-0.19984943
60,0.2231759
61,0.123702556
62,0.24943128
63,-0.13237432
64,0.16583563
65,0.23290819
66,0.23455265
67,-0.07716077
68,-0.09293555
69,-0.2055271
70,0.27581683
71,-0.012251236
72,0.11368626
73,0.09451823
74,0.2441358
75,-0.051746532
76,0.1352659
77,-0.2299593
78,-0.25296158
79,-0.3348158
80,0.019682089
81,-0.11821268
82,0.35266823
83,0.3103329
84,-0.0537533
85,0.043258347
86,-0.07826517
87,0.36395833
88,0.0038534682
89,0.14956583
90,0.20463035
91,-0.046367444
92,0.2484811
93,0.026249364
94,-0.16932166
95,-0.18761414
96,-0.049753636
97,-0.5666333
98,0.07762426
99,-0.10356547
100,0.25919738
101,0.16816512
102,0.40386644
103,0.040195763
104,0.18373375
105,0.1066906
106,0.23947173
107,-0.18232277
108,-0.3622391
109,0.0738433
110,-0.065087184
111,-0.10040162
112,0.07399893
113,-0.15639608
114,0.35984606
115,0.18976128
116,-0.38290676
117,-0.0488818
118,-0.022953313
119,0.32985672
120,-0.14101517
121,0.43044513
122,0.053203
123,-0.034771077
124,-0.2008255
125,0.17844674
126,-0.06091678
127,0.07813074
128,-0.16978957
129,-0.027336642
130,0.108422175
131,0.20649844
132,-0.32607573
133,0.47260964
134,-0.40057576
135,0.14390123
136,0.3191533
137,-0.27413
138,0.36255956
139,-0.30608606
140,0.12187827
141,0.10820376
142,0.13684714
143,0.14240593
144,0.53214395
145,-0.032551523
146,0.3627552
147,0.03654701
148,0.1860211
149,0.1622549
150,0.07983813
151,0.084878005
152,-0.054968618
153,-0.22222415
154,0.10536258
155,0.07442813
156,0.11653256
157,0.06049705
158,0.11847692
159,-0.06208922
160,0.25709707
161,0.23520094
162,-0.31661603
163,-0.033053804
164,0.31398416
165,0.05848986
166,0.11999482
167,-0.082621165
168,0.9549568
169,-0.06612502
170,0.12836108
171,0.056494765
172,0.23611102
173,0.18837677
174,0.25859427
175,0.16354278
176,0.26837456
177,-0.5323515
178,0.0348741
179,0.08661258
180,0.20305151
181,0.3327257
182,0.016401473
183,0.31873837
184,0.005030265
185,0.32550353
186,0.25713682
187,0.6498219
188,-0.028474696
189,0.16830298
190,0.032009512
191,0.09859365
192,-0.02380204
193,-0.03430716
194,0.24320991
195,-0.37684146
196,-0.11474472
197,-0.22431572
198,0.0033617206
199,0.12447219
200,-0.31195602
201,0.085619524
202,0.12927958
203,0.19942117
204,0.21455711
205,-0.17761298
206,-0.60111463
207,0.13977623
208,0.09508645
209,-0.036111925
210,0.2875478
211,0.33912653
212,0.25909185
213,-0.13938515
214,0.0113967005
215,0.01978448
216,-0.048437405
217,-0.048800394
218,-0.38138872
219,-0.18628618
220,-0.35344833
221,0.39109224
222,0.3482944
223,-0.037856597
224,-0.11847223
225,-0.25489414
226,-0.22328037
227,-0.02251124
228,0.22187772
229,-0.19283324
230,0.46472758
231,-0.31965736
232,0.1942452
233,-0.12849826
234,0.17443043
235,0.13607493
236,0.08616503
237,0.17380056
238,-0.30666885
239,-0.045030124
240,-0.060493898
241,0.14630084
242,-0.012826648
243,0.03280773
244,0.002450738
245,-0.0033119693
246,-0.3637584
247,0.21849729
248,0.04273886
249,0.16963243
250,0.073271975
251,-0.01817377
252,0.20768577
253,0.10652917
254,0.1099202
255,-0.38304955
256,0.4517225
257,0.17938393
258,0.21390045
259,0.017382212
260,-0.21893248
261,-0.15887105
262,0.08747109
263,0.18773709
