,0
0,382
1,307
2,203
3,262
4,360
5,333
6,458
7,357
8,425
9,460
10,427
11,371
12,303
13,228
14,456
15,260
16,345
17,214
18,337
19,385
20,307
21,496
22,371
23,336
24,200
25,92
26,478
27,206
28,391
29,287
30,253
31,297
32,376
33,133
34,235
35,250
36,335
37,203
38,465
39,440
40,183
41,372
42,405
43,244
44,369
45,390
46,252
47,462
48,121
49,115
50,353
51,426
52,280
53,237
54,420
55,370
56,211
57,403
58,338
59,333
60,344
61,371
62,491
63,387
64,162
65,320
66,486
67,380
68,365
69,349
70,451
71,296
72,254
73,304
74,440
75,319
76,390
77,415
78,368
79,253
80,260
81,305
82,291
83,337
84,418
85,444
86,239
87,174
88,435
89,497
90,480
91,238
92,400
93,309
94,204
95,178
96,255
97,289
98,426
99,412
100,284
101,219
102,459
103,420
104,163
105,288
106,289
107,237
108,378
109,260
110,344
111,299
112,440
113,305
114,370
115,165
116,319
117,321
118,116
119,388
120,317
121,487
122,204
123,347
124,350
125,415
126,437
127,182
128,197
129,334
130,445
131,287
132,236
133,115
134,348
135,360
136,411
137,333
138,203
139,290
140,353
141,400
142,310
143,400
144,492
145,458
146,247
147,241
148,358
149,321
150,158
151,403
152,484
153,239
154,388
155,148
156,226
157,391
158,325
159,420
160,235
161,272
162,163
163,124
164,470
165,243
166,443
167,211
168,487
169,477
170,467
171,349
172,279
173,462
174,401
175,391
176,436
177,260
178,323
179,287
180,227
181,436
182,474
183,480
184,471
185,429
186,332
187,474
188,387
189,297
190,444
191,200
192,429
193,195
194,497
195,335
196,340
197,237
198,359
199,477
200,268
201,369
202,170
203,275
204,128
205,389
206,253
207,249
208,135
209,237
210,487
211,387
212,388
213,131
214,236
215,298
216,180
217,235
218,407
219,336
220,162
221,497
222,482
223,343
224,156
225,457
226,133
227,391
228,192
229,255
230,490
231,312
232,312
233,385
234,389
235,251
236,447
237,270
238,256
239,289
240,425
241,370
242,196
243,319
244,406
245,380
246,293
247,111
248,413
249,482
250,265
251,348
252,324
253,265
254,189
255,359
256,477
257,360
258,427
259,441
260,282
261,406
262,475
263,293
264,248
265,465
266,427
267,409
268,127
269,434
270,309
271,350
272,304
273,122
274,288
275,271
276,323
277,224
278,305
279,406
280,438
281,411
282,279
283,165
284,482
285,236
286,115
287,241
288,284
289,475
290,406
291,494
292,234
293,349
294,496
295,465
296,227
297,353
298,107
299,388
300,484
301,455
302,188
303,134
304,290
305,155
306,264
307,360
308,392
309,316
310,76
311,192
312,312
313,451
314,411
315,329
316,152
317,124
318,246
319,428
320,382
321,412
322,472
323,380
324,497
325,495
326,345
327,459
328,370
329,148
330,452
331,149
332,337
333,300
334,344
335,429
336,332
337,376
338,360
339,285
340,298
341,498
342,316
343,403
344,329
345,185
346,199
347,497
348,381
349,285
350,322
351,435
352,125
353,88
354,427
355,473
356,357
357,485
358,396
359,480
360,148
361,450
362,242
363,441
364,288
365,260
366,470
367,256
368,498
369,436
370,385
371,167
372,371
373,239
374,235
375,185
376,336
377,117
378,439
379,180
380,381
381,450
382,91
383,360
384,313
385,372
386,376
387,433
388,317
389,212
390,218
391,445
392,385
393,156
394,181
395,164
396,353
397,301
398,186
399,105
400,328
401,104
402,132
403,363
404,207
405,123
406,347
407,326
408,348
409,131
410,326
411,259
412,488
413,227
414,361
415,420
416,122
417,246
418,458
419,202
420,326
421,184
422,362
423,478
424,428
425,405
426,480
427,436
428,87
429,413
430,370
431,293
432,422
433,314
434,218
435,222
436,393
437,317
438,362
439,374
440,272
441,411
442,196
443,250
444,301
445,368
446,293
447,308
448,436
449,247
450,206
451,322
452,352
453,427
454,288
455,239
456,418
457,486
458,334
459,361
460,366
461,153
462,452
463,425
464,386
465,258
466,255
467,482
468,134
469,332
470,299
471,87
472,394
473,170
474,305
475,395
476,196
477,332
478,370
479,333
480,356
481,195
482,464
483,380
484,450
485,300
486,349
487,387
488,205
489,427
490,487
491,367
492,390
493,155
494,456
495,468
496,330
497,485
498,457
499,257
500,310
501,70
502,397
503,464
504,251
505,486
506,279
507,234
508,409
509,370
510,218
511,266
