,0
0,394
1,344
2,171
3,248
4,313
5,366
6,406
7,367
8,422
9,448
10,406
11,378
12,343
13,283
14,443
15,241
16,345
17,247
18,319
19,333
20,221
21,492
22,344
23,332
24,204
25,110
26,471
27,181
28,385
29,296
30,205
31,293
32,401
33,189
34,271
35,276
36,342
37,223
38,461
39,425
40,217
41,366
42,372
43,244
44,330
45,370
46,269
47,458
48,173
49,156
50,314
51,382
52,298
53,221
54,405
55,334
56,244
57,383
58,316
59,268
60,349
61,379
62,481
63,364
64,221
65,326
66,473
67,356
68,347
69,313
70,402
71,224
72,270
73,331
74,402
75,337
76,346
77,402
78,358
79,244
80,251
81,287
82,275
83,331
84,401
85,414
86,243
87,236
88,438
89,481
90,456
91,283
92,389
93,312
94,204
95,211
96,277
97,272
98,411
99,394
100,303
101,284
102,453
103,413
104,192
105,261
106,325
107,247
108,353
109,292
110,345
111,318
112,416
113,258
114,350
115,205
116,329
117,330
118,160
119,382
120,314
121,480
122,276
123,342
124,295
125,397
126,354
127,218
128,202
129,324
130,420
131,288
132,220
133,177
134,340
135,342
136,394
137,266
138,214
139,243
140,374
141,394
142,323
143,384
144,477
145,437
146,279
147,261
148,346
149,305
150,205
151,343
152,471
153,228
154,353
155,195
156,257
157,338
158,294
159,383
160,251
161,289
162,178
163,182
164,452
165,286
166,388
167,249
168,478
169,465
170,427
171,326
172,317
173,446
174,391
175,387
176,425
177,252
178,305
179,274
180,246
181,430
182,457
183,469
184,448
185,413
186,334
187,463
188,360
189,290
190,443
191,191
192,407
193,222
194,490
195,324
196,319
197,272
198,313
199,464
200,225
201,349
202,219
203,237
204,181
205,347
206,220
207,306
208,175
209,229
210,479
211,386
212,386
213,165
214,255
215,317
216,214
217,254
218,380
219,310
220,156
221,484
222,463
223,300
224,193
225,443
226,142
227,335
228,248
229,300
230,481
231,319
232,343
233,369
234,382
235,262
236,430
237,258
238,268
239,290
240,405
241,323
242,210
243,313
244,419
245,339
246,278
247,155
248,393
249,479
250,258
251,339
252,325
253,278
254,213
255,320
256,448
257,326
258,411
259,419
260,278
261,405
262,474
263,323
264,222
265,468
266,412
267,367
268,178
269,419
270,243
271,358
272,312
273,191
274,252
275,288
276,325
277,197
278,330
279,403
280,413
281,358
282,238
283,207
284,468
285,211
286,166
287,256
288,228
289,469
290,358
291,493
292,239
293,321
294,485
295,451
296,275
297,369
298,128
299,389
300,476
301,393
302,210
303,151
304,300
305,176
306,249
307,307
308,391
309,277
310,121
311,226
312,270
313,427
314,391
315,306
316,154
317,140
318,258
319,403
320,387
321,406
322,459
323,339
324,490
325,491
326,301
327,456
328,352
329,232
330,431
331,214
332,317
333,322
334,338
335,384
336,377
337,387
338,340
339,274
340,315
341,493
342,281
343,369
344,334
345,198
346,260
347,491
348,382
349,223
350,280
351,412
352,151
353,124
354,409
355,460
356,352
357,474
358,383
359,465
360,180
361,421
362,257
363,427
364,288
365,248
366,440
367,279
368,491
369,407
370,369
371,212
372,375
373,223
374,227
375,208
376,331
377,165
378,423
379,189
380,391
381,409
382,119
383,290
384,318
385,373
386,338
387,356
388,299
389,264
390,199
391,430
392,364
393,203
394,183
395,191
396,340
397,311
398,239
399,148
400,267
401,201
402,208
403,317
404,248
405,155
406,283
407,279
408,306
409,198
410,276
411,251
412,477
413,248
414,325
415,362
416,174
417,294
418,447
419,235
420,286
421,211
422,327
423,474
424,388
425,383
426,458
427,438
428,146
429,410
430,319
431,314
432,403
433,280
434,243
435,221
436,394
437,286
438,357
439,404
440,255
441,386
442,183
443,259
444,308
445,308
446,300
447,335
448,444
449,245
450,232
451,328
452,323
453,413
454,277
455,269
456,357
457,478
458,315
459,354
460,334
461,194
462,421
463,424
464,349
465,278
466,276
467,456
468,179
469,302
470,318
471,124
472,392
473,227
474,322
475,377
476,226
477,334
478,390
479,336
480,326
481,238
482,453
483,382
484,393
485,229
486,338
487,389
488,226
489,410
490,478
491,327
492,370
493,218
494,449
495,458
496,328
497,473
498,456
499,271
500,285
501,144
502,383
503,441
504,211
505,478
506,255
507,257
508,390
509,331
510,275
511,256
