,0
0,0.22620839
1,0.23626089
2,0.20816275
3,0.20172776
4,0.19137214
5,0.28558916
6,0.292121
7,0.23361027
8,0.29031965
9,0.43093705
10,0.26625347
11,0.2552198
12,0.26484174
13,0.25389314
14,0.2260537
15,0.26138222
16,0.1812419
17,0.224156
18,0.2490917
19,0.26498565
20,0.22761258
21,0.3569168
22,0.27365354
23,0.22091272
24,0.17046791
25,0.35144925
26,0.3775391
27,0.19357648
28,0.16986725
29,0.2563467
30,0.3051336
31,0.19418001
32,0.27768767
33,0.21697518
34,0.24839848
35,0.22405007
36,0.24389525
37,0.25595424
38,0.3539008
39,0.31150252
40,0.27056855
41,0.34277153
42,0.25064433
43,0.20264404
44,0.25924605
45,0.24002032
46,0.21319748
47,0.38730752
48,0.21763855
49,0.2287144
50,0.18531832
51,0.19082458
52,0.21823576
53,0.2227999
54,0.21583226
55,0.2671808
56,0.20557973
57,0.25153786
58,0.22956434
59,0.2215001
60,0.22227392
61,0.24243715
62,0.31662184
63,0.21453781
64,0.3679123
65,0.1901336
66,0.32557464
67,0.17659047
68,0.24374598
69,0.2087225
70,0.32790104
71,0.19672808
72,0.24137966
73,0.20933315
74,0.24377158
75,0.2131128
76,0.21411103
77,0.28769672
78,0.27624518
79,0.21614182
80,0.23917636
81,0.16996323
82,0.22229168
83,0.22407207
84,0.20555219
85,0.29743809
86,0.22005332
87,0.23926058
88,0.26972902
89,0.40212005
90,0.37202188
91,0.21328172
92,0.2293036
93,0.21341507
94,0.25901026
95,0.21335056
96,0.21003285
97,0.2509923
98,0.22706969
99,0.32112724
100,0.19413209
101,0.21907543
102,0.37115964
103,0.26444
104,0.26202372
105,0.2124396
106,0.16803543
107,0.2012729
108,0.25666794
109,0.18446362
110,0.2026631
111,0.25020242
112,0.31609786
113,0.21786651
114,0.24552244
115,0.21343203
116,0.23425016
117,0.19316876
118,0.3456015
119,0.27858788
120,0.22433937
121,0.33555055
122,0.25571555
123,0.28653517
124,0.24488525
125,0.30384964
126,0.2937817
127,0.26396132
128,0.24138448
