,0
0,0.21872284
1,0.19227076
2,0.20330355
3,0.20342696
4,0.20139304
5,0.28319004
6,0.30032882
7,0.21322694
8,0.29698998
9,0.340925
10,0.27258813
11,0.2746849
12,0.25936285
13,0.24799617
14,0.20713325
15,0.2733912
16,0.17773056
17,0.21747327
18,0.28208208
19,0.2854174
20,0.24873206
21,0.37648144
22,0.23455842
23,0.24288094
24,0.18666951
25,0.27081698
26,0.35644925
27,0.19003817
28,0.18054484
29,0.2578196
30,0.27510464
31,0.19020054
32,0.28518683
33,0.21957217
34,0.19541231
35,0.22974023
36,0.2524839
37,0.21940647
38,0.34912997
39,0.36448723
40,0.27901703
41,0.31371975
42,0.222281
43,0.21350329
44,0.24640518
45,0.23905054
46,0.20334888
47,0.3885894
48,0.26357612
49,0.25905004
50,0.16964024
51,0.20478421
52,0.23110344
53,0.22925681
54,0.2522266
55,0.25609297
56,0.22250302
57,0.26950163
58,0.23751
59,0.2573986
60,0.26057857
61,0.20762849
62,0.3338775
63,0.23161335
64,0.24545057
65,0.19564831
66,0.29357606
67,0.17249465
68,0.22601461
69,0.20440648
70,0.32997054
71,0.19224478
72,0.24346992
73,0.21835196
74,0.22846591
75,0.23328796
76,0.20695859
77,0.24098592
78,0.2669459
79,0.24839751
80,0.2123243
81,0.1655397
82,0.22174343
83,0.2582877
84,0.21816768
85,0.27593702
86,0.24472001
87,0.18828705
88,0.26095057
89,0.3692764
90,0.3394741
91,0.23203331
92,0.25848618
93,0.22365803
94,0.2672109
95,0.2091626
96,0.21000624
97,0.28397727
98,0.23112372
99,0.2731806
100,0.19225201
101,0.19313452
102,0.3750915
103,0.27471116
104,0.205876
105,0.23712292
106,0.22543234
107,0.22104204
108,0.23183393
109,0.19173138
110,0.21960434
111,0.2915318
112,0.3021945
113,0.25913084
114,0.30981922
115,0.22076511
116,0.19414212
117,0.1903292
118,0.18998095
119,0.331521
120,0.21346378
121,0.36134163
122,0.20616348
123,0.26602894
124,0.24700187
125,0.2813322
126,0.3046429
127,0.22081733
128,0.25185525
129,0.16469385
130,0.23046318
131,0.19637182
132,0.22723539
133,0.29713804
134,0.20608485
135,0.25179383
136,0.27550536
137,0.30707157
138,0.2355949
139,0.25285965
140,0.25713497
141,0.27495107
142,0.22039235
143,0.2557895
144,0.40674198
145,0.2849084
146,0.19905004
147,0.21596926
148,0.23177996
149,0.24699622
150,0.18756509
151,0.30375034
152,0.29389665
153,0.18205708
154,0.2856698
155,0.21623467
156,0.3220796
157,0.26555225
158,0.28458568
159,0.29193532
160,0.26264736
161,0.18646786
162,0.25485998
163,0.19765136
164,0.29567322
165,0.2415101
166,0.30439395
167,0.23244897
168,0.48050246
169,0.25598475
170,0.3245709
171,0.24522486
172,0.26623246
173,0.32731155
174,0.2672301
175,0.27701414
176,0.31188586
177,0.19194448
178,0.21235953
179,0.24988043
180,0.22673374
181,0.28085393
182,0.3357038
183,0.27996278
184,0.3013751
185,0.32490927
186,0.21745084
187,0.40363204
188,0.22735578
189,0.2232407
190,0.28190005
191,0.2189435
192,0.27600294
193,0.23268601
194,0.45817345
195,0.17280194
196,0.26417932
197,0.26172137
198,0.18691012
199,0.31294692
200,0.21183299
201,0.20718732
202,0.21967119
203,0.18130475
204,0.22116676
205,0.26214853
206,0.30242914
207,0.221569
208,0.18033242
209,0.23759398
210,0.32266307
211,0.26367462
212,0.28305045
213,0.2228742
214,0.17317566
215,0.24156064
216,0.24465786
217,0.24158219
218,0.26218668
219,0.22771919
220,0.21793383
221,0.39670354
222,0.36194813
223,0.27240115
224,0.26012838
225,0.3278147
226,0.22457206
227,0.27079725
228,0.2399919
229,0.26029986
230,0.4904216
231,0.20799747
232,0.29580915
233,0.2540086
234,0.29049903
235,0.24686074
236,0.42279375
237,0.20461106
238,0.2601664
239,0.19529113
240,0.24626547
241,0.25381804
242,0.23297276
243,0.23230952
244,0.2514388
245,0.26239875
246,0.25990176
247,0.27026206
248,0.28301293
249,0.37535188
250,0.18746579
251,0.25096402
252,0.28320852
253,0.20647928
254,0.2185277
255,0.29236382
256,0.37049437
257,0.24783012
258,0.26456064
259,0.24432045
260,0.23976901
261,0.213689
262,0.30705893
263,0.21602882
264,0.19084677
265,0.37131405
266,0.27630198
267,0.26781386
268,0.27621657
269,0.25397396
270,0.16302818
271,0.24229862
272,0.2566257
273,0.24099165
274,0.19453752
275,0.20116471
276,0.19270182
277,0.20622155
278,0.24673657
279,0.25901282
280,0.21074757
281,0.2501042
282,0.20072195
283,0.2689079
284,0.39325726
285,0.25075436
286,0.24955805
287,0.25361782
288,0.26236892
289,0.35818052
290,0.31098235
291,0.3507855
292,0.20745775
293,0.22693081
294,0.3170987
295,0.37386215
296,0.2207772
297,0.19958736
298,0.22122075
299,0.25787577
300,0.36673015
301,0.2562816
302,0.2037586
303,0.31660733
304,0.2698121
305,0.23841661
306,0.25606102
307,0.2754621
308,0.205002
309,0.21216768
310,0.2587016
311,0.24010105
312,0.19673108
313,0.21585107
314,0.23506612
315,0.22883657
316,0.22954528
317,0.21415693
318,0.2330825
319,0.28364438
320,0.23049092
321,0.25287282
322,0.3208155
323,0.25765973
324,0.46943456
325,0.3974169
326,0.29628682
327,0.36922157
328,0.2803534
329,0.2355594
330,0.2651876
331,0.20644996
332,0.1865679
333,0.23584805
334,0.20893393
335,0.31469762
336,0.3317521
337,0.20807123
338,0.24893452
339,0.19519204
340,0.3111694
341,0.5192745
342,0.20853674
343,0.2603593
344,0.2424662
345,0.2196728
346,0.21858183
347,0.531831
348,0.2700901
349,0.19638687
350,0.25324172
351,0.29408562
352,0.2646521
353,0.28692073
354,0.21906036
355,0.2641206
356,0.26394558
357,0.2838748
358,0.27966616
359,0.40857482
360,0.19727257
361,0.26803765
362,0.23671424
363,0.2890615
364,0.24999142
365,0.20493773
366,0.30407134
367,0.20576066
368,0.43850225
369,0.27228066
370,0.22212559
371,0.23224488
372,0.21835986
373,0.22236001
374,0.22209708
375,0.20956713
376,0.19437335
377,0.2822661
378,0.23165196
379,0.24727961
380,0.23672739
381,0.26874158
382,0.2732093
383,0.29358524
384,0.253672
385,0.22328946
386,0.234945
387,0.29282898
388,0.21930148
389,0.24354386
390,0.20452622
391,0.2813331
392,0.17382434
393,0.26835516
394,0.18066424
395,0.3025
396,0.22738408
397,0.20126323
398,0.21082047
399,0.23086897
400,0.20267734
401,0.24907571
402,0.29800028
403,0.22196594
404,0.24309029
405,0.2560975
406,0.22916023
407,0.19260925
408,0.281834
409,0.17985213
410,0.23738176
411,0.23901746
412,0.40687576
413,0.21202755
414,0.2915411
415,0.26396954
416,0.20273174
417,0.21971485
418,0.32450533
419,0.21432418
420,0.21820211
421,0.1873954
422,0.23582926
423,0.4080854
424,0.26906753
425,0.24473065
426,0.32197446
427,0.31758437
428,0.24170268
429,0.19712742
430,0.31562144
431,0.24612801
432,0.29223323
433,0.23677278
434,0.21865898
435,0.17979127
436,0.25493976
437,0.22110152
438,0.24122623
439,0.2436661
440,0.21751839
441,0.2784565
442,0.21553892
443,0.22868976
444,0.21711968
445,0.2285465
446,0.24255612
447,0.20466098
448,0.3639335
449,0.18689406
