,0
0,458
1,365
2,120
3,422
4,434
5,454
6,483
7,278
8,458
9,491
10,238
11,417
12,482
13,442
14,479
15,264
16,244
17,387
18,395
19,453
20,193
21,484
22,465
23,371
24,346
25,272
26,478
27,245
28,425
29,455
30,235
31,260
32,479
33,409
34,451
35,409
36,374
37,319
38,439
39,454
40,383
41,475
42,277
43,221
44,425
45,467
46,361
47,486
48,372
49,306
50,188
51,433
52,456
53,334
54,457
55,441
56,426
57,415
58,435
59,379
60,463
61,431
62,493
63,401
64,407
65,458
66,443
67,386
68,384
69,231
70,484
71,374
72,441
73,284
74,459
75,353
76,454
77,268
78,343
79,180
80,435
81,326
82,462
83,468
84,284
85,377
86,248
87,422
88,471
89,486
90,442
91,398
92,475
93,427
94,205
95,367
96,336
97,287
98,478
99,307
100,450
101,474
102,492
103,404
104,415
105,458
106,474
107,225
108,235
109,425
110,368
111,310
112,435
113,429
114,389
115,435
116,315
117,448
118,304
119,487
120,390
121,492
122,368
123,408
124,326
125,450
126,466
127,449
128,283
129,447
130,406
131,442
132,303
133,406
134,223
135,466
136,459
137,313
138,411
139,402
140,441
141,468
142,435
143,388
144,494
145,436
146,466
147,431
148,365
149,440
150,427
151,454
152,333
153,220
154,277
155,429
156,406
157,455
158,465
159,327
160,452
161,439
162,363
163,380
164,474
165,451
166,476
167,415
168,495
169,279
170,473
171,386
172,447
173,468
174,413
175,484
176,481
177,211
178,424
179,317
180,440
181,494
182,338
183,495
184,404
185,482
186,480
187,496
188,222
189,325
190,313
191,387
192,410
193,201
194,491
195,264
196,360
197,397
198,190
199,491
200,164
201,444
202,429
203,321
204,425
205,288
206,239
207,456
208,261
209,292
210,457
211,438
212,485
213,334
214,355
215,420
216,431
217,325
218,299
219,341
220,268
221,499
222,491
223,273
224,397
225,302
226,265
227,351
228,426
229,364
230,499
231,189
232,447
233,343
234,462
235,414
236,334
237,310
238,230
239,436
240,406
241,459
242,416
243,450
244,455
245,258
246,319
247,419
248,344
249,396
250,375
251,459
252,357
253,389
254,393
255,263
256,462
257,427
258,467
259,422
260,379
261,188
262,436
263,452
264,146
265,489
266,385
267,460
268,434
269,341
270,392
271,406
272,248
273,391
274,334
275,262
276,455
277,263
278,463
279,469
280,221
281,482
282,231
283,347
284,371
285,307
286,406
287,437
288,260
289,494
290,474
291,458
292,421
293,379
294,500
295,477
296,447
297,452
298,248
299,401
300,498
301,471
302,453
303,304
304,400
305,383
306,203
307,344
308,456
309,357
310,152
311,417
312,289
313,204
314,453
315,369
316,165
317,337
318,426
319,425
320,418
321,249
322,478
323,462
324,488
325,422
326,322
327,483
328,339
329,466
330,304
331,442
332,326
333,297
334,337
335,400
336,482
337,411
338,376
339,368
340,386
341,499
342,434
343,448
344,221
345,245
346,427
347,498
348,483
349,314
350,448
351,472
352,362
353,312
354,482
355,275
356,401
357,490
358,452
359,489
360,391
361,435
362,417
363,442
364,418
365,445
366,248
367,337
368,483
369,477
370,306
371,291
372,466
373,379
374,336
375,413
376,434
377,357
378,390
379,307
380,424
381,448
382,234
383,452
384,390
385,423
386,200
387,483
388,218
389,301
390,247
391,236
392,250
393,365
394,265
395,334
396,399
397,460
398,368
399,314
400,304
401,381
402,407
403,382
404,437
405,341
406,388
407,305
408,301
409,438
410,368
411,270
412,449
413,292
414,285
415,454
416,330
417,454
418,271
419,432
420,416
421,423
422,439
423,496
424,470
425,442
426,462
427,495
428,401
429,465
430,459
431,354
432,402
433,438
434,190
435,429
436,461
437,298
438,353
439,495
440,416
441,357
442,270
443,395
444,363
445,278
446,410
447,411
448,490
449,260
450,354
451,473
452,291
453,308
454,352
455,435
456,450
457,498
458,336
459,454
460,342
461,336
462,307
463,297
464,380
465,242
466,204
467,451
468,209
469,385
470,285
471,340
472,436
473,369
474,483
475,221
476,294
477,401
478,472
479,166
480,322
481,244
482,492
483,255
484,387
485,308
486,457
487,429
488,337
489,451
490,493
491,439
492,468
493,406
494,229
495,244
496,401
497,472
498,430
499,439
500,264
501,418
502,226
503,410
504,258
505,496
506,297
507,455
508,449
509,402
510,467
511,466
