,0
0,442
1,353
2,148
3,405
4,388
5,433
6,462
7,319
8,453
9,468
10,261
11,419
12,459
13,423
14,463
15,268
16,287
17,377
18,384
19,429
20,196
21,480
22,448
23,344
24,327
25,248
26,463
27,230
28,416
29,423
30,222
31,312
32,472
33,384
34,420
35,362
36,367
37,285
38,426
39,433
40,361
41,461
42,298
43,244
44,412
45,444
46,355
47,475
48,350
49,279
50,214
51,416
52,445
53,301
54,442
55,419
56,384
57,411
58,401
59,334
60,435
61,414
62,488
63,367
64,377
65,447
66,454
67,365
68,374
69,268
70,462
71,344
72,409
73,330
74,441
75,367
76,434
77,294
78,334
79,206
80,407
81,318
82,425
83,450
84,312
85,391
86,268
87,393
88,469
89,480
90,437
91,385
92,464
93,407
94,241
95,348
96,339
97,306
98,465
99,320
100,423
101,446
102,482
103,408
104,398
105,427
106,457
107,257
108,268
109,410
110,357
111,322
112,427
113,377
114,360
115,397
116,313
117,425
118,295
119,466
120,365
121,480
122,376
123,397
124,304
125,430
126,444
127,418
128,274
129,425
130,416
131,409
132,272
133,368
134,244
135,443
136,450
137,282
138,373
139,375
140,429
141,459
142,420
143,391
144,491
145,440
146,441
147,401
148,357
149,400
150,397
151,427
152,360
153,222
154,294
155,395
156,399
157,429
158,430
159,307
160,432
161,408
162,329
163,348
164,470
165,427
166,450
167,399
168,485
169,316
170,455
171,341
172,432
173,450
174,397
175,470
176,467
177,238
178,401
179,315
180,403
181,487
182,360
183,480
184,412
185,474
186,459
187,488
188,258
189,305
190,360
191,347
192,382
193,238
194,484
195,282
196,353
197,392
198,241
199,481
200,196
201,431
202,401
203,304
204,385
205,314
206,230
207,443
208,269
209,298
210,466
211,439
212,470
213,316
214,345
215,408
216,391
217,332
218,324
219,331
220,258
221,495
222,472
223,258
224,361
225,318
226,237
227,357
228,406
229,354
230,492
231,230
232,438
233,338
234,441
235,375
236,325
237,289
238,255
239,413
240,395
241,425
242,380
243,434
244,447
245,248
246,320
247,370
248,349
249,433
250,373
251,447
252,343
253,358
254,374
255,290
256,467
257,404
258,450
259,402
260,357
261,256
262,455
263,430
264,162
265,485
266,376
267,444
268,411
269,332
270,366
271,384
272,266
273,371
274,337
275,255
276,419
277,259
278,434
279,454
280,264
281,455
282,265
283,349
284,358
285,290
286,363
287,395
288,220
289,489
290,446
291,447
292,389
293,377
294,500
295,465
296,420
297,434
298,213
299,405
300,495
301,450
302,422
303,290
304,380
305,355
306,223
307,359
308,442
309,356
310,178
311,399
312,290
313,273
314,445
315,343
316,193
317,304
318,411
319,400
320,412
321,289
322,464
323,444
324,484
325,416
326,296
327,479
328,330
329,439
330,329
331,413
332,318
333,331
334,348
335,402
336,464
337,409
338,389
339,368
340,385
341,495
342,401
343,428
344,257
345,258
346,410
347,491
348,472
349,295
350,411
351,465
352,331
353,281
354,470
355,309
356,398
357,482
358,437
359,473
360,375
361,433
362,380
363,436
364,394
365,398
366,280
367,329
368,468
369,451
370,326
371,281
372,446
373,357
374,315
375,374
376,396
377,327
378,387
379,280
380,420
381,434
382,219
383,415
384,388
385,423
386,232
387,445
388,277
389,337
390,244
391,270
392,302
393,353
394,253
395,298
396,364
397,440
398,342
399,296
400,293
401,357
402,377
403,347
404,405
405,302
406,356
407,296
408,285
409,400
410,368
411,262
412,446
413,301
414,277
415,435
416,327
417,442
418,316
419,399
420,389
421,393
422,422
423,490
424,457
425,432
426,450
427,489
428,364
429,449
430,421
431,365
432,382
433,407
434,236
435,383
436,443
437,269
438,350
439,481
440,385
441,368
442,255
443,376
444,361
445,290
446,407
447,394
448,480
449,277
450,343
451,456
452,291
453,323
454,342
455,416
456,419
457,495
458,320
459,440
460,335
461,314
462,316
463,344
464,368
465,284
466,258
467,445
468,238
469,370
470,303
471,297
472,417
473,351
474,467
475,273
476,311
477,385
478,466
479,201
480,319
481,271
482,483
483,304
484,370
485,291
486,435
487,436
488,327
489,436
490,483
491,406
492,453
493,372
494,299
495,311
496,393
497,472
498,427
499,412
500,279
501,368
502,267
503,412
504,274
505,494
506,272
507,420
508,434
509,386
510,443
511,434
