,0
0,0.27986652
1,0.20978618
2,0.19815809
3,0.33035883
4,0.23399478
5,0.27546418
6,0.35392106
7,0.1795502
8,0.30511162
9,0.35313228
10,0.1920707
11,0.31013206
12,0.32264966
13,0.28053737
14,0.3173652
15,0.17851862
16,0.18694365
17,0.24805823
18,0.29386714
19,0.3392471
20,0.18690348
21,0.34849924
22,0.33468467
23,0.26041645
24,0.2505579
25,0.15717301
26,0.2587836
27,0.2966022
28,0.30171943
29,0.28815287
30,0.20701067
31,0.20072961
32,0.3127762
33,0.27115327
34,0.25593457
35,0.2794122
36,0.2277751
37,0.20333904
38,0.23579365
39,0.32386667
40,0.2559628
41,0.38674486
42,0.22626415
43,0.21705332
44,0.268816
45,0.3544944
46,0.22096628
47,0.35212815
48,0.25838828
49,0.20906457
50,0.21892685
51,0.30197188
52,0.33137792
53,0.23100802
54,0.30773473
55,0.2943325
56,0.32508093
57,0.28555453
58,0.3147161
59,0.27988404
60,0.2925095
61,0.2698502
62,0.42980033
63,0.28408104
64,0.17040524
65,0.23480643
66,0.31056455
67,0.22586992
68,0.21963046
69,0.1761077
70,0.3892889
71,0.2384296
72,0.31431738
73,0.21507093
74,0.31296796
75,0.28196865
76,0.3289616
77,0.2530905
78,0.21394153
79,0.24732287
80,0.27129635
81,0.20436738
82,0.2781181
83,0.28377253
84,0.21465753
85,0.18913075
86,0.23652901
87,0.29307425
88,0.26053753
89,0.33397716
90,0.26962408
91,0.27300015
92,0.30567008
93,0.26924616
94,0.18161967
95,0.25914958
96,0.26527095
97,0.24639818
98,0.31815222
99,0.19921634
100,0.30940768
101,0.31674403
102,0.4403863
103,0.25258467
104,0.24435067
105,0.29829362
106,0.26168475
107,0.24104917
108,0.15362075
109,0.23944497
110,0.2017928
111,0.22723302
112,0.33756337
113,0.30404735
114,0.30165917
115,0.27175906
116,0.2380358
117,0.27592087
118,0.2241151
119,0.4254281
120,0.2720734
121,0.37715852
122,0.21754256
123,0.21138741
124,0.19662534
125,0.31271985
126,0.40813434
127,0.34721512
128,0.16449603
129,0.22278957
130,0.26110208
131,0.2944776
132,0.21540573
133,0.2525351
134,0.16316319
135,0.36781394
136,0.29129604
137,0.23610239
138,0.28601366
139,0.23049861
140,0.27676272
141,0.3403046
142,0.30164137
143,0.21540192
144,0.4493363
145,0.25962028
146,0.30661273
147,0.199449
148,0.28060648
149,0.25839606
150,0.26788995
151,0.32215065
152,0.25675133
153,0.15504894
154,0.15732074
155,0.24059571
156,0.3359267
157,0.32258683
158,0.36309677
159,0.18708712
160,0.33524233
161,0.30085456
162,0.2240212
163,0.25568053
164,0.38055548
165,0.2506955
166,0.28619078
167,0.3021822
168,0.39813212
169,0.23658122
170,0.31387866
171,0.25464672
172,0.3244636
173,0.31917375
174,0.31569085
175,0.39019242
176,0.33127436
177,0.17671654
178,0.29962867
179,0.20078135
180,0.32452768
181,0.3574515
182,0.18897523
183,0.33143133
184,0.25671017
185,0.36191052
186,0.3574178
187,0.38921556
188,0.34021667
189,0.172266
190,0.25347948
191,0.31033045
192,0.20964676
193,0.18551785
194,0.36618403
195,0.14882997
196,0.26568165
197,0.21909463
198,0.2021336
199,0.36761665
200,0.21121602
201,0.32184404
202,0.34013408
203,0.23625904
204,0.32525754
205,0.27065814
206,0.26187575
207,0.23067094
208,0.24319792
209,0.29006153
210,0.2971494
211,0.31627283
212,0.23945273
213,0.2657135
214,0.17974472
215,0.21885902
216,0.28898427
217,0.19976813
218,0.19405846
219,0.22078502
220,0.24148016
221,0.46052524
222,0.39032125
223,0.17848024
224,0.28378856
225,0.22416914
226,0.18702081
227,0.16041887
228,0.27890563
229,0.21376652
230,0.42161995
231,0.2360974
232,0.33029264
233,0.19459543
234,0.3662597
235,0.33201304
236,0.2178208
237,0.22159666
238,0.22484046
239,0.2642198
240,0.2756011
241,0.29115212
242,0.26715663
243,0.30723158
244,0.26646388
245,0.2378368
246,0.19369687
247,0.29817885
248,0.20645562
249,0.30454832
250,0.2378323
251,0.31101632
252,0.28062254
253,0.24494699
254,0.27660277
255,0.28044662
256,0.3106355
257,0.30114433
258,0.33429742
259,0.20368773
260,0.18462908
261,0.3009359
262,0.28991735
263,0.2786368
264,0.2038793
265,0.41925824
266,0.29921645
267,0.2874912
268,0.25935712
269,0.20331633
270,0.34340435
271,0.21542364
272,0.17619203
273,0.24769105
274,0.20353308
275,0.20131409
276,0.30334413
277,0.24951866
278,0.26939797
279,0.29201633
280,0.22291593
281,0.39165828
282,0.21469033
283,0.30962116
284,0.22868809
285,0.2092001
286,0.24280195
287,0.31208172
288,0.21319294
289,0.45773208
290,0.37401307
291,0.27543372
292,0.32448703
293,0.22468552
294,0.4060921
295,0.31012928
296,0.30141762
297,0.2634177
298,0.1795005
299,0.19555151
300,0.37221837
301,0.24194875
302,0.3210084
303,0.24523246
304,0.27904388
305,0.20389497
306,0.22136033
307,0.18985838
308,0.25279248
309,0.21151206
310,0.22155514
311,0.22651479
312,0.18999833
313,0.19814098
314,0.35327375
315,0.21365005
316,0.29744062
317,0.21381812
318,0.2705319
319,0.2578428
320,0.20771274
321,0.26884156
322,0.31916496
323,0.3371788
324,0.38226342
325,0.2816518
326,0.23399414
327,0.2977553
328,0.24339321
329,0.31034806
330,0.17281163
331,0.3076139
332,0.18015094
333,0.26901788
334,0.23586293
335,0.2446816
336,0.34351838
337,0.275629
338,0.21184519
339,0.21695583
340,0.22270146
341,0.49444336
342,0.28154466
343,0.28927457
344,0.26776427
345,0.21611723
346,0.24068221
347,0.4628834
348,0.39770573
349,0.2180259
350,0.27975965
351,0.2780341
352,0.2730714
353,0.24786931
354,0.27629942
355,0.19288564
356,0.20673826
357,0.3074512
358,0.32265818
359,0.37640762
360,0.279374
361,0.19684334
362,0.23121238
363,0.25945777
364,0.2294926
365,0.2972836
366,0.18923733
367,0.24746934
368,0.30249852
369,0.29417697
370,0.24388343
371,0.19639318
372,0.27210537
373,0.28135973
374,0.25036985
375,0.25533432
376,0.30223233
377,0.25143445
378,0.1858378
379,0.16539538
380,0.23790708
