,0
0,0.2599086
1,0.19664027
2,0.20115341
3,0.32333332
4,0.22245046
5,0.27818453
6,0.3313692
7,0.19560832
8,0.26473728
9,0.33708125
10,0.20320153
11,0.31559807
12,0.28200608
13,0.27921265
14,0.30714446
15,0.1850542
16,0.18241252
17,0.21190324
18,0.29054067
19,0.3088982
20,0.1995568
21,0.38764656
22,0.3079906
23,0.247042
24,0.25327742
25,0.17152992
26,0.23962215
27,0.26524705
28,0.31036222
29,0.25824252
30,0.18450123
31,0.18236881
32,0.3019093
33,0.27520406
34,0.24288228
35,0.2688514
36,0.20932244
37,0.18758276
38,0.24644133
39,0.32124984
40,0.25894523
41,0.33621317
42,0.242822
43,0.20557204
44,0.26130354
45,0.34224635
46,0.21968752
47,0.30930942
48,0.24466485
49,0.20112541
50,0.21007335
51,0.27336022
52,0.29570377
53,0.21636719
54,0.32321855
55,0.2853387
56,0.29057938
57,0.2696685
58,0.28717613
59,0.2559033
60,0.2969513
61,0.22703001
62,0.39568803
63,0.22769406
64,0.17092916
65,0.22535706
66,0.2989965
67,0.25605774
68,0.20114768
69,0.17875212
70,0.34466463
71,0.24271724
72,0.31532526
73,0.23519854
74,0.27316773
75,0.23408382
76,0.31870723
77,0.25130504
78,0.1786041
79,0.21706706
80,0.26636094
81,0.19035885
82,0.2771462
83,0.24899426
84,0.23340262
85,0.17300367
86,0.21895999
87,0.26128915
88,0.27189937
89,0.28975695
90,0.26568097
91,0.23549986
92,0.2620892
93,0.27505562
94,0.21357457
95,0.22432202
96,0.2855007
97,0.24829946
98,0.31229344
99,0.22879563
100,0.26326585
101,0.30433765
102,0.41774797
103,0.26435214
104,0.22388339
105,0.28424823
106,0.25040692
107,0.22127536
108,0.14668491
109,0.24197823
110,0.21962318
111,0.2220573
112,0.30662948
113,0.30973852
114,0.2708408
115,0.27110592
116,0.22185464
117,0.25912747
118,0.22030981
119,0.3877588
120,0.24582675
121,0.31970435
122,0.20651498
123,0.19536757
124,0.19098277
125,0.34382793
126,0.40536195
127,0.3381726
128,0.1709691
129,0.19804999
130,0.24268056
131,0.28748995
132,0.1959792
133,0.22802514
134,0.16710076
135,0.33968192
136,0.2882418
137,0.23242533
138,0.243222
139,0.22957532
140,0.2754774
141,0.31673965
142,0.30676123
143,0.23162287
144,0.44095656
145,0.24968535
146,0.2906854
147,0.19875835
148,0.26112753
149,0.25327206
150,0.25066787
151,0.29935807
152,0.2673698
153,0.15227212
154,0.19601214
155,0.25578654
156,0.3110207
157,0.3171999
158,0.35813266
159,0.17845538
160,0.30726025
161,0.28540215
162,0.22233447
163,0.25150156
164,0.38605136
165,0.2618915
166,0.28156585
167,0.27854478
168,0.41692588
169,0.23615782
170,0.30827844
171,0.25285918
172,0.2846614
173,0.2969366
174,0.28853744
175,0.37342274
176,0.30520523
177,0.22516575
178,0.27412578
179,0.19925365
180,0.3153244
181,0.31464395
182,0.19298688
183,0.3161046
184,0.27590537
185,0.3328383
186,0.33793986
187,0.39963344
188,0.27243048
189,0.16677015
190,0.2569433
191,0.2846514
192,0.22789675
193,0.2070995
194,0.3917329
195,0.17215708
196,0.2690981
197,0.1994859
198,0.22257474
199,0.37173986
200,0.2769032
201,0.2716062
202,0.31615216
203,0.22982925
204,0.3138015
205,0.2511163
206,0.2592284
207,0.2245065
208,0.26987895
209,0.28555337
210,0.32245263
211,0.2744416
212,0.22621083
213,0.2435959
214,0.17479755
215,0.20535338
216,0.28726363
217,0.19009562
218,0.21153396
219,0.2323555
220,0.23387368
221,0.44669658
222,0.39502767
223,0.18365619
224,0.29260164
225,0.26998162
226,0.17602369
227,0.16430019
228,0.27780867
229,0.1807901
230,0.39553118
231,0.23765755
232,0.30808234
233,0.17367154
234,0.3520985
235,0.31954348
236,0.18944842
237,0.21711159
238,0.19871849
239,0.25584343
240,0.29869294
241,0.29222536
242,0.2609878
243,0.29370144
244,0.21575627
245,0.22856203
246,0.18774484
247,0.26214856
248,0.20419422
249,0.3268963
250,0.23347433
251,0.2884007
252,0.2823439
253,0.20576519
254,0.28881377
255,0.27845365
256,0.3330583
257,0.27766144
258,0.30171
259,0.1891514
260,0.18141587
261,0.22882542
262,0.29400036
263,0.26122153
264,0.1728859
265,0.40520507
266,0.31383523
267,0.27689773
268,0.24380314
269,0.18293354
270,0.3265189
271,0.2082439
272,0.18686941
273,0.24931145
274,0.19926986
275,0.1957972
276,0.27798957
277,0.19879192
278,0.2668359
279,0.26894403
280,0.2005646
281,0.36801583
282,0.2134026
283,0.2651563
284,0.22895598
285,0.20670117
286,0.24890667
287,0.25238878
288,0.26007792
289,0.45568764
290,0.3637001
291,0.29047942
292,0.29836863
293,0.22215343
294,0.38486516
295,0.28862286
296,0.2818013
297,0.2600459
298,0.19078016
299,0.20552295
300,0.3673191
301,0.2421545
302,0.27886862
303,0.25249738
304,0.25544494
305,0.2147232
306,0.21149996
307,0.1917102
308,0.22784464
309,0.17758235
310,0.22974153
311,0.186924
312,0.19938058
313,0.18836956
314,0.32824296
315,0.22215444
316,0.25676614
317,0.2056851
318,0.26268584
319,0.21759768
320,0.19948786
321,0.27485543
322,0.28442237
323,0.2845128
324,0.36198342
325,0.27210724
326,0.23040713
327,0.29297513
328,0.22850624
329,0.29269487
330,0.17003834
331,0.28342554
332,0.21057117
333,0.2510243
334,0.25004622
335,0.23154736
336,0.3256451
337,0.2700476
338,0.22380121
339,0.21309006
340,0.20808238
341,0.49105048
342,0.2575071
343,0.25984535
344,0.2716049
345,0.21124595
346,0.23190796
347,0.4531786
348,0.3475
349,0.22125244
350,0.26270217
351,0.27606583
352,0.2662778
353,0.2508799
354,0.26275432
355,0.18256631
356,0.20298906
357,0.29833388
358,0.32375807
359,0.39165485
360,0.2680018
361,0.18835087
362,0.21931815
363,0.24307477
364,0.20543021
365,0.2765348
366,0.19712287
367,0.24494666
368,0.32339048
369,0.27374417
370,0.24077252
371,0.20812383
372,0.25012147
373,0.2723267
374,0.22386934
375,0.23060715
376,0.26220214
377,0.24187753
378,0.1845652
379,0.17389748
380,0.24473794
381,0.31331104
382,0.22418576
383,0.284221
384,0.23218927
385,0.29887706
386,0.2047715
387,0.34518272
388,0.25191063
389,0.18667918
390,0.24402954
391,0.22025442
392,0.22664298
393,0.23650679
394,0.24032754
395,0.23556894
396,0.22093594
397,0.25931424
398,0.20027336
399,0.21567345
400,0.17537126
401,0.26054913
402,0.2879441
403,0.24907503
404,0.27884632
405,0.26621944
406,0.25510943
407,0.22107899
408,0.22899547
409,0.2655367
410,0.25668234
411,0.1877006
412,0.29736644
413,0.20090233
414,0.1863491
415,0.2565386
416,0.19682443
417,0.31519985
418,0.26765636
419,0.20755118
420,0.30033267
421,0.26640868
422,0.29571122
423,0.3644749
424,0.3198126
425,0.2588479
426,0.26848477
427,0.34908932
428,0.28226513
429,0.2668851
430,0.34938335
431,0.22534576
432,0.24440658
433,0.26327962
434,0.19727585
435,0.24590647
436,0.28875417
437,0.20524278
438,0.2412474
439,0.3410809
440,0.21422324
441,0.26950714
442,0.20406026
443,0.23993032
444,0.20213166
445,0.17882499
446,0.20490016
447,0.16185844
448,0.36766577
449,0.17946687
450,0.21464556
451,0.32217124
452,0.2101439
453,0.27500632
454,0.1568812
455,0.26617372
456,0.25628772
457,0.3679577
458,0.25751388
459,0.28641865
460,0.18771255
461,0.18578745
462,0.1803399
463,0.23181628
464,0.2151153
465,0.23936935
466,0.2171717
467,0.24151228
468,0.15697716
469,0.22332564
470,0.30103573
471,0.24811967
472,0.17319253
473,0.25700176
474,0.3148756
475,0.20146444
476,0.22815369
477,0.26306874
478,0.3047281
479,0.2662
480,0.21284193
481,0.20714238
482,0.43422836
483,0.24680138
484,0.25503266
485,0.18502146
486,0.2643893
487,0.2505363
488,0.16790254
489,0.24362515
490,0.3873611
491,0.30744684
492,0.27621537
493,0.21124068
494,0.2480376
495,0.19671556
496,0.2896997
497,0.3561144
498,0.21199924
499,0.25647694
500,0.2163157
501,0.31460732
502,0.26405162
503,0.2063356
504,0.20600337
505,0.45763457
506,0.17543127
507,0.2789856
508,0.28009814
509,0.2581709
510,0.20541708
511,0.287282
