,0
0,454
1,445
2,124
3,180
4,289
5,473
6,119
7,473
8,448
9,370
10,472
11,474
12,442
13,443
14,425
15,213
16,472
17,443
18,342
19,137
20,69
21,496
22,443
23,410
24,177
25,258
26,486
27,280
28,466
29,401
30,128
31,219
32,438
33,373
34,261
35,370
36,408
37,334
38,476
39,496
40,164
41,343
42,408
43,137
44,263
45,466
46,339
47,493
48,175
49,272
50,237
51,315
52,451
53,172
54,488
55,343
56,246
57,482
58,315
59,112
60,470
61,370
62,486
63,308
64,362
65,425
66,476
67,411
68,228
69,340
70,124
71,136
72,408
73,416
74,340
75,463
76,131
77,438
78,365
79,119
80,225
81,379
82,97
83,341
84,359
85,457
86,331
87,349
88,494
89,384
90,320
91,410
92,437
93,429
94,362
95,325
96,372
97,294
98,382
99,385
100,413
101,410
102,494
103,459
104,192
105,311
106,414
107,314
108,392
109,287
110,385
111,346
112,420
113,82
114,473
115,377
116,440
117,178
118,289
119,488
120,342
121,497
122,435
123,370
124,85
125,489
126,79
127,310
128,267
129,361
130,409
131,239
132,209
133,327
134,407
135,419
136,430
137,114
138,154
139,102
140,414
141,492
142,398
143,492
144,486
145,457
146,333
147,332
148,335
149,172
150,203
151,100
152,475
153,258
154,454
155,313
156,440
157,88
158,87
159,341
160,149
161,185
162,295
163,232
164,498
165,423
166,113
167,346
168,491
169,469
170,129
171,386
172,481
173,494
174,297
175,447
176,492
177,376
178,382
179,216
180,379
181,461
182,461
183,344
184,446
185,497
186,173
187,498
188,399
189,263
190,477
191,152
192,326
193,339
194,493
195,381
196,217
197,422
198,273
199,406
200,376
201,329
202,311
203,100
204,380
205,87
206,121
207,442
208,318
209,267
210,471
211,433
212,489
213,348
214,404
215,344
216,171
217,413
218,441
219,205
220,118
221,495
222,457
223,189
224,124
225,447
226,268
227,137
228,424
229,377
230,494
231,417
232,483
233,316
234,492
235,387
236,467
237,242
238,314
239,391
240,480
241,78
242,186
243,372
244,493
245,231
246,192
247,262
248,421
249,498
250,169
251,302
252,477
253,286
254,112
255,85
256,495
257,414
258,462
259,333
260,280
261,444
262,480
263,451
264,337
265,494
266,445
267,338
268,358
269,408
270,151
271,439
272,445
273,385
274,161
275,377
276,396
277,180
278,456
279,448
280,429
281,99
282,268
283,347
284,466
285,166
286,237
287,306
288,54
289,471
290,113
291,489
292,113
293,152
294,492
295,475
296,376
297,410
298,183
299,417
300,497
301,180
302,186
303,246
304,473
305,121
306,340
307,130
308,473
309,354
310,276
311,300
312,266
313,450
314,324
315,416
316,137
317,90
318,159
319,469
320,440
321,460
322,490
323,84
324,500
325,489
326,261
327,497
328,444
329,368
330,458
331,377
332,265
333,309
334,427
335,163
336,474
337,489
338,266
339,243
340,470
341,490
342,240
343,430
344,421
345,104
346,441
347,496
348,493
349,146
350,96
351,454
352,289
353,330
354,399
355,445
356,322
357,469
358,481
359,485
360,255
361,302
362,224
363,437
364,402
365,262
366,477
367,390
368,489
369,419
370,342
371,355
372,394
373,265
374,143
375,263
376,329
377,389
378,384
379,193
380,381
381,376
382,263
383,75
384,273
385,478
386,424
387,102
388,112
389,454
390,112
391,469
392,410
393,308
394,165
395,196
396,370
397,214
398,289
399,247
400,127
401,318
402,454
403,346
404,405
405,255
406,84
407,112
408,304
409,194
410,193
411,347
412,494
413,389
414,257
415,121
416,290
417,431
418,481
419,279
420,328
421,156
422,160
423,496
424,211
425,480
426,468
427,486
428,237
429,488
430,72
431,480
432,335
433,269
434,365
435,190
436,453
437,336
438,455
439,461
440,362
441,278
442,151
443,277
444,370
445,240
446,245
447,451
448,493
449,356
450,227
451,439
452,283
453,425
454,237
455,418
456,101
457,482
458,367
459,450
460,274
461,350
462,473
463,431
464,94
465,355
466,393
467,432
468,359
469,243
470,423
471,331
472,301
473,342
474,389
475,469
476,192
477,482
478,465
479,409
480,170
481,340
482,492
483,480
484,123
485,271
486,397
487,398
488,210
489,395
490,402
491,132
492,343
493,316
494,468
495,486
496,457
497,497
498,420
499,387
500,143
501,330
502,455
503,390
504,129
505,500
506,303
507,96
508,351
509,357
510,425
511,148
