,0
0,442
1,417
2,134
3,218
4,290
5,448
6,218
7,453
8,446
9,403
10,443
11,447
12,422
13,404
14,423
15,212
16,424
17,386
18,332
19,211
20,98
21,492
22,425
23,373
24,204
25,209
26,470
27,220
28,448
29,384
30,138
31,239
32,434
33,315
34,276
35,296
36,365
37,267
38,463
39,488
40,186
41,346
42,366
43,178
44,286
45,440
46,292
47,481
48,200
49,230
50,253
51,339
52,411
53,187
54,466
55,351
56,221
57,458
58,307
59,143
60,446
61,391
62,482
63,327
64,307
65,404
66,478
67,397
68,271
69,305
70,210
71,166
72,343
73,392
74,366
75,430
76,188
77,408
78,351
79,144
80,246
81,350
82,167
83,344
84,360
85,446
86,297
87,331
88,486
89,407
90,353
91,363
92,427
93,374
94,273
95,297
96,339
97,270
98,400
99,383
100,394
101,382
102,488
103,459
104,226
105,278
106,401
107,277
108,355
109,280
110,380
111,347
112,412
113,143
114,447
115,310
116,403
117,237
118,255
119,475
120,327
121,488
122,393
123,358
124,135
125,475
126,161
127,292
128,246
129,340
130,416
131,256
132,207
133,278
134,388
135,383
136,422
137,139
138,202
139,156
140,405
141,474
142,368
143,468
144,482
145,446
146,326
147,310
148,324
149,223
150,253
151,173
152,466
153,234
154,399
155,265
156,395
157,171
158,157
159,319
160,216
161,230
162,257
163,230
164,488
165,360
166,194
167,319
168,481
169,460
170,215
171,354
172,453
173,482
174,323
175,429
176,481
177,322
178,338
179,237
180,333
181,473
182,454
183,398
184,437
185,495
186,245
187,484
188,384
189,262
190,457
191,177
192,362
193,300
194,486
195,346
196,231
197,376
198,269
199,441
200,303
201,333
202,309
203,131
204,332
205,161
206,126
207,419
208,272
209,255
210,475
211,418
212,473
213,288
214,355
215,337
216,197
217,385
218,430
219,217
220,129
221,485
222,453
223,214
224,172
225,444
226,229
227,200
228,385
229,365
230,482
231,391
232,459
233,330
234,466
235,338
236,448
237,253
238,265
239,350
240,464
241,146
242,199
243,368
244,483
245,258
246,218
247,233
248,412
249,494
250,215
251,321
252,462
253,266
254,148
255,159
256,491
257,374
258,449
259,341
260,277
261,417
262,477
263,437
264,291
265,486
266,435
267,336
268,303
269,381
270,194
271,419
272,391
273,339
274,198
275,329
276,391
277,171
278,415
279,439
280,416
281,185
282,250
283,293
284,447
285,178
286,217
287,329
288,75
289,479
290,185
291,477
292,146
293,210
294,489
295,470
296,356
297,397
298,141
299,414
300,488
301,262
302,226
303,186
304,426
305,161
306,285
307,195
308,451
309,315
310,200
311,303
312,237
313,428
314,358
315,373
316,148
317,106
318,219
319,452
320,425
321,431
322,479
323,162
324,498
325,480
326,241
327,492
328,411
329,320
330,440
331,323
332,253
333,311
334,396
335,225
336,449
337,468
338,296
339,231
340,441
341,485
342,247
343,418
344,364
345,139
346,404
347,487
348,482
349,165
350,151
351,444
352,257
353,273
354,395
355,441
356,340
357,471
358,450
359,472
360,226
361,361
362,235
363,446
364,392
365,282
366,463
367,350
368,483
369,406
370,337
371,265
372,376
373,263
374,192
375,228
376,332
377,310
378,377
379,184
380,382
381,388
382,215
383,133
384,291
385,456
386,380
387,167
388,174
389,405
390,142
391,444
392,371
393,307
394,160
395,196
396,322
397,272
398,252
399,214
400,154
401,295
402,400
403,314
404,345
405,228
406,144
407,160
408,274
409,211
410,222
411,294
412,485
413,357
414,238
415,193
416,254
417,378
418,454
419,271
420,290
421,194
422,229
423,488
424,294
425,458
426,462
427,480
428,217
429,476
430,140
431,448
432,365
433,250
434,308
435,197
436,434
437,299
438,416
439,456
440,315
441,320
442,152
443,260
444,337
445,250
446,275
447,416
448,482
449,315
450,223
451,399
452,300
453,412
454,251
455,390
456,171
457,482
458,332
459,412
460,298
461,304
462,451
463,412
464,158
465,319
466,344
467,430
468,303
469,246
470,405
471,245
472,318
473,330
474,376
475,440
476,216
477,454
478,455
479,361
480,199
481,297
482,483
483,459
484,192
485,251
486,393
487,402
488,202
489,408
490,431
491,194
492,369
493,280
494,447
495,471
496,426
497,490
498,417
499,356
500,204
501,268
502,407
503,389
504,157
505,493
506,269
507,159
508,362
509,352
510,406
511,189
