,0
0,0.2652507
1,0.22631976
2,0.20822689
3,0.19491664
4,0.21347058
5,0.33891287
6,0.20353138
7,0.23401177
8,0.37685388
9,0.18457636
10,0.3042029
11,0.30801308
12,0.3027741
13,0.331016
14,0.20458776
15,0.15303999
16,0.21859282
17,0.2387903
18,0.22004843
19,0.26942044
20,0.37713832
21,0.34858188
22,0.3193915
23,0.23146597
24,0.22026044
25,0.21661438
26,0.26546046
27,0.23736078
28,0.35023612
29,0.2794457
30,0.19622019
31,0.24508785
32,0.3225785
33,0.27447304
34,0.20902756
35,0.1677947
36,0.23583084
37,0.18249825
38,0.3467934
39,0.43085325
40,0.20425197
41,0.19560511
42,0.17000817
43,0.18995638
44,0.22188433
45,0.3131302
46,0.17472735
47,0.42102224
48,0.21400228
49,0.16095522
50,0.2848974
51,0.23625833
52,0.31735706
53,0.2599873
54,0.41492498
55,0.2560377
56,0.20256576
57,0.3454972
58,0.20069638
59,0.2606027
60,0.32654846
61,0.25070798
62,0.38731956
63,0.20947635
64,0.19136944
65,0.24152897
66,0.28370804
67,0.19087408
68,0.21519315
69,0.1983992
70,0.22876553
71,0.23969048
72,0.26406848
73,0.2646371
74,0.18338725
75,0.29401642
76,0.19754401
77,0.20132747
78,0.28323638
79,0.193005
80,0.2544561
81,0.20800593
82,0.254357
83,0.18270698
84,0.23006351
85,0.28438616
86,0.2281489
87,0.25032234
88,0.32079357
89,0.15894899
90,0.23482883
91,0.26006094
92,0.21817863
93,0.2169654
94,0.16106927
95,0.23376542
96,0.2312904
97,0.1548345
98,0.27086005
99,0.18217158
100,0.27213877
101,0.30005145
102,0.39698106
103,0.33570778
104,0.2105328
105,0.23758188
106,0.24916285
107,0.26072606
108,0.18564491
109,0.21410307
110,0.21273938
111,0.21661773
112,0.23031531
113,0.23031694
114,0.30491942
115,0.28912395
116,0.2853582
117,0.21475418
118,0.2965686
119,0.41271532
120,0.18174061
121,0.36228046
122,0.26156354
123,0.2351469
124,0.33103877
125,0.42808977
126,0.35166568
127,0.2015494
128,0.18967202
129,0.19746739
130,0.2373707
131,0.1994833
132,0.2603354
133,0.20485379
134,0.28647533
135,0.2920829
136,0.22306567
137,0.29686302
138,0.19699636
139,0.26875395
140,0.29630327
141,0.34462005
142,0.23212427
143,0.2750514
144,0.37359488
145,0.32748184
146,0.26527148
147,0.20037857
148,0.16392225
149,0.25533658
150,0.28986907
151,0.30626798
152,0.17581108
153,0.1713467
154,0.2606128
155,0.22381204
156,0.3417079
157,0.31976408
158,0.24100564
159,0.23723325
160,0.20169653
161,0.22049613
162,0.25153092
163,0.2286548
164,0.30189654
165,0.19239739
166,0.27407256
