,0
0,0.24955453
1,0.18756083
2,0.20061825
3,0.21194029
4,0.21080151
5,0.30706018
6,0.24953973
7,0.21493995
8,0.33382535
9,0.2058563
10,0.27824444
11,0.30065966
12,0.2618659
13,0.30953044
14,0.22217591
15,0.14914536
16,0.16967747
17,0.21294808
18,0.24451187
19,0.2172007
20,0.33895782
21,0.34947145
22,0.33193403
23,0.20783332
24,0.17796583
25,0.251132
26,0.2775088
27,0.24485368
28,0.31269592
29,0.26112252
30,0.20120275
31,0.21801001
32,0.28839397
33,0.27626193
34,0.18029779
35,0.17110613
36,0.21063688
37,0.17675823
38,0.34997648
39,0.36761907
40,0.21167593
41,0.2032288
42,0.1684931
43,0.20071165
44,0.22561081
45,0.30057937
46,0.17115092
47,0.36244476
48,0.22745244
49,0.15560931
50,0.2998801
51,0.24077256
52,0.28535777
53,0.22318463
54,0.3799609
55,0.2928605
56,0.19082409
57,0.3106291
58,0.20755973
59,0.25730065
60,0.29150838
61,0.25022453
62,0.3616587
63,0.20217842
64,0.1742518
65,0.22038801
66,0.2735507
67,0.2031557
68,0.18710206
69,0.18348968
70,0.21749702
71,0.23001648
72,0.2740788
73,0.23556003
74,0.17734468
75,0.25537884
76,0.1742045
77,0.19080824
78,0.2541008
79,0.2053519
80,0.22108027
81,0.19517918
82,0.23868245
83,0.19300102
84,0.22328119
85,0.23815867
86,0.22142823
87,0.24596068
88,0.32030746
89,0.17383793
90,0.24384956
91,0.26319695
92,0.20087776
93,0.19425198
94,0.17883047
95,0.22394781
96,0.22979996
97,0.157536
98,0.2756549
99,0.20033853
100,0.23976824
101,0.28635228
102,0.35725886
103,0.2954123
104,0.21708313
105,0.25428247
106,0.22952
107,0.26036367
108,0.19117633
109,0.19720054
110,0.19923794
111,0.21565658
112,0.2297121
113,0.22586283
114,0.2858793
115,0.29032815
116,0.20251305
117,0.21715786
118,0.262225
119,0.37530965
120,0.16578928
121,0.32500947
122,0.22352934
123,0.22018391
124,0.29217416
125,0.37741023
126,0.26412302
127,0.21878153
128,0.18410262
129,0.2021777
130,0.2341927
131,0.20984454
132,0.18838745
133,0.22992712
134,0.24542853
135,0.2698016
136,0.2181499
137,0.2671157
138,0.16610298
139,0.2676657
140,0.27874953
141,0.30731505
142,0.24851805
143,0.24350998
144,0.4094593
145,0.3046766
146,0.24359593
147,0.18973815
148,0.16413303
149,0.19751568
150,0.24795945
151,0.2685076
152,0.1700388
153,0.16551985
154,0.2627096
155,0.25376007
156,0.30707186
157,0.2418898
158,0.25742602
159,0.21803239
160,0.2096844
161,0.20058063
162,0.23990162
163,0.26790893
164,0.29605246
165,0.18240064
166,0.18202001
167,0.28031665
168,0.453129
169,0.21314551
170,0.2539874
171,0.23255734
172,0.28728217
173,0.2933842
174,0.23612365
175,0.29721963
176,0.3067841
177,0.19132516
178,0.22036576
179,0.15353727
180,0.20671514
181,0.33569843
182,0.27322066
183,0.2282978
184,0.2598629
185,0.39749342
186,0.24246559
187,0.45588502
188,0.21493298
189,0.15900852
190,0.25171784
191,0.22394763
192,0.25173938
193,0.1796433
194,0.34213513
195,0.14741865
196,0.20459886
197,0.20818003
198,0.18091452
199,0.22921759
200,0.21102372
201,0.21139678
202,0.21572916
203,0.2588008
204,0.26089984
205,0.16779609
206,0.18767402
207,0.2186442
208,0.2783633
209,0.21976715
210,0.24506754
211,0.3079683
212,0.22708493
213,0.25423265
214,0.2571084
215,0.21291894
216,0.20177789
217,0.24099104
218,0.2527069
219,0.19822612
220,0.27506834
221,0.36052966
222,0.34651816
223,0.20128512
224,0.2218855
225,0.29231483
226,0.20095229
227,0.19048661
228,0.2859754
229,0.18604378
230,0.4480809
231,0.23191458
232,0.30514708
233,0.2498525
234,0.34287387
235,0.25913873
236,0.3894763
237,0.1709153
238,0.23943233
239,0.26810318
240,0.29677215
241,0.34125364
242,0.24867971
243,0.18916509
244,0.20869547
245,0.2280994
246,0.20762268
247,0.19097444
248,0.27932772
249,0.39338458
250,0.23841256
251,0.21219674
252,0.3402532
253,0.15072346
254,0.32504502
255,0.17360345
256,0.38010657
257,0.26974416
258,0.25710553
259,0.17555085
260,0.14770222
261,0.23164117
262,0.28817075
263,0.20848686
264,0.13781354
265,0.39189908
266,0.2738219
267,0.23753823
268,0.30074477
269,0.27257407
270,0.24017733
271,0.2303022
272,0.22779223
273,0.20880805
274,0.22909015
275,0.18383548
276,0.18272556
277,0.22681189
278,0.2694222
279,0.27780545
280,0.18606466
281,0.22783792
282,0.24180672
283,0.25350678
284,0.35400647
285,0.1868901
286,0.21636072
287,0.24825609
288,0.3442523
289,0.36670685
290,0.26106608
291,0.3495248
292,0.34333634
293,0.17312685
294,0.34069958
295,0.24306093
296,0.2385641
297,0.25676668
298,0.1638703
299,0.21316682
300,0.30984008
301,0.3212734
302,0.23696771
303,0.1646112
304,0.26207116
305,0.23831819
306,0.34033734
307,0.22243325
308,0.2564342
309,0.20441276
310,0.1784935
311,0.23815882
312,0.17841615
313,0.21310997
314,0.23005451
315,0.2624113
316,0.27571493
317,0.444779
318,0.23843844
319,0.23165078
320,0.2590766
321,0.2583865
322,0.30770367
323,0.25741658
