,0
0,0.17575622
1,0.06410085
2,-0.50684196
3,-0.09521617
4,0.03384671
5,0.15260465
6,-0.05082868
7,-0.07163436
8,0.35898966
9,0.16050617
10,-0.1433238
11,0.07248022
12,0.042271025
13,0.10386627
14,0.029098658
15,-0.34359977
16,-0.22686788
17,-0.14183997
18,0.0376034
19,-0.043048777
20,-0.084200956
21,0.24454333
22,0.15835276
23,-0.091505654
24,-0.24962878
25,-0.27268657
26,0.17957771
27,-0.12690231
28,0.34605747
29,0.2691955
30,0.112001166
31,-0.15981847
32,0.13172466
33,-0.08655277
34,0.11790097
35,0.16078827
36,0.095753
37,-0.30441648
38,0.28941435
39,0.29112095
40,-0.34113395
41,0.02320975
42,-0.04928832
43,-0.11890526
44,-0.120584875
45,0.24431601
46,0.059317797
47,0.3355975
48,-0.35404313
49,-0.2130493
50,-0.2566251
51,0.084731825
52,0.26996416
53,-0.19559538
54,0.043121688
55,-0.01948652
56,-0.0019268692
57,0.17470166
58,0.14270695
59,-0.3130353
60,0.19951622
61,0.08433151
62,0.22894812
63,-0.25439358
64,0.16900657
65,0.16566975
66,0.29969847
67,0.027889319
68,-0.10036389
69,-0.01916913
70,-0.23208655
71,-0.05128748
72,0.12237058
73,0.18551797
74,0.21493551
75,0.020169575
76,-0.06312218
77,-0.06682074
78,-0.19101802
79,-0.32256603
80,-0.12198926
81,-0.055864874
82,-0.048294485
83,0.16153765
84,-0.03168416
85,0.041991934
86,-0.014900938
87,0.032727927
88,0.08735113
89,0.15865912
90,0.14813368
91,-0.0650363
92,0.20390105
93,0.07536603
94,0.039212003
95,-0.29802203
96,-0.083225995
97,-0.4011611
98,0.033013128
99,-0.09421423
100,0.16308333
101,0.083878815
102,0.37159064
103,0.11374916
104,0.040116705
105,0.16343953
106,0.22983125
107,-0.19065155
108,-0.13086453
109,-0.044318482
110,-0.03508302
111,-0.09650733
112,0.10833671
113,-0.35590994
114,0.42892987
115,0.1256269
116,-0.3224852
117,-0.27359188
118,-0.14385653
119,0.32441807
120,-0.069087684
121,0.39166778
122,0.008106651
123,-0.15907589
124,-0.25427237
125,0.21955994
126,-0.71980554
127,-0.16518268
128,-0.23141131
129,-0.055286955
130,0.12178685
131,0.012738928
132,-0.29655355
133,0.05995208
134,-0.18103835
135,0.23820414
136,0.3078189
137,-0.30845627
138,0.020406555
139,-0.36947083
140,0.17496018
141,0.09020513
142,0.07272029
143,0.20318629
144,0.47479215
145,0.060887285
146,0.17456263
147,-0.03569527
148,0.17705953
149,-0.035814106
150,-0.16190763
151,-0.10901012
152,0.105209574
153,-0.17748147
154,0.18887171
155,-0.022054512
156,0.070632905
157,-0.16987564
158,-0.30582
159,-0.059360165
160,0.013618454
161,-0.026662335
162,-0.30317146
163,-0.09079261
164,0.36477625
165,0.11967159
166,-0.0791163
167,-0.14559412
168,1.0386406
169,0.09745203
170,-0.08224809
171,0.10190815
172,0.2731166
173,0.2648766
174,0.08028103
175,0.07436061
176,0.2696311
177,-0.2588422
178,0.0052513666
179,-0.031112358
180,0.16530207
181,0.2290385
182,0.15625688
183,0.22848204
184,0.14042881
185,0.37128073
186,0.0030071288
187,0.6193439
188,0.11516275
189,-0.014938787
190,0.11529349
191,-0.14647377
192,-0.024774902
193,-0.022364698
194,0.29843336
195,-0.12791437
196,-0.21412021
197,-0.22476375
198,0.12518045
199,0.040064193
200,0.099239476
201,0.015171226
202,-0.081323534
203,-0.030464962
204,0.09627692
205,-0.40385282
206,-0.46294957
207,0.04334065
208,0.15369968
209,-0.059695303
210,0.30222315
211,0.35373127
212,0.26794368
213,-0.124582194
214,-0.043760523
215,-0.05389995
216,-0.24715136
217,-0.13946745
218,-0.17126629
219,-0.19675198
220,-0.46095964
221,0.47461402
222,0.41229302
223,-0.10170085
224,-0.4041901
225,-0.06622064
226,-0.18029815
227,-0.11459936
228,0.10416411
229,-0.111750804
230,0.44227463
231,-0.07954943
232,0.19973871
233,-0.15114385
234,0.17881902
235,0.16301621
236,0.36977762
237,0.09878586
238,-0.23914447
239,-0.04215339
240,0.0045886766
241,-0.19763146
242,-0.20788646
243,-0.089093946
244,0.06268535
245,0.13290487
246,-0.34799266
247,0.047173478
248,0.08053379
249,0.22967094
250,-0.060360424
251,-0.07453239
252,0.4470713
253,-0.002008468
254,-0.14935598
255,-0.4229393
256,0.47439498
257,0.12269152
258,0.1750889
259,0.07184708
260,-0.23652063
