,0
0,488
1,438
2,225
3,450
4,411
5,462
6,482
7,344
8,383
9,492
10,214
11,485
12,479
13,448
14,335
15,259
16,252
17,278
18,269
19,480
20,456
21,495
22,457
23,411
24,426
25,193
26,494
27,229
28,321
29,157
30,259
31,463
32,457
33,460
34,456
35,233
36,447
37,346
38,481
39,106
40,462
41,480
42,425
43,439
44,490
45,466
46,390
47,467
48,436
49,387
50,341
51,455
52,318
53,415
54,250
55,237
56,436
57,166
58,282
59,441
60,186
61,398
62,425
63,366
64,423
65,399
66,491
67,157
68,468
69,381
70,495
71,172
72,369
73,422
74,193
75,397
76,343
77,425
78,459
79,419
80,274
81,211
82,229
83,398
84,438
85,473
86,345
87,454
88,492
89,498
90,485
91,405
92,468
93,429
94,208
95,437
96,439
97,452
98,463
99,456
100,163
101,455
102,463
103,476
104,412
105,420
106,437
107,414
108,437
109,426
110,429
111,442
112,190
113,484
114,87
115,386
116,320
117,475
118,369
119,178
120,306
121,485
122,436
123,470
124,450
125,162
126,498
127,467
128,365
129,438
130,482
131,451
132,431
133,220
134,294
135,468
136,166
137,454
138,248
139,458
140,459
141,236
142,448
143,133
144,479
145,435
146,450
147,455
148,353
149,433
150,305
151,488
152,488
153,318
154,209
155,331
156,397
157,491
158,454
159,469
160,461
161,399
162,435
163,357
164,176
165,457
166,496
167,463
168,497
169,409
170,498
171,273
172,176
173,182
174,429
175,470
176,154
177,181
178,417
179,433
180,190
181,413
182,458
183,497
184,481
185,224
186,452
187,494
188,112
189,430
190,435
191,186
192,490
193,267
194,496
195,453
196,352
197,453
198,344
199,487
200,264
201,335
202,454
203,434
204,274
205,461
206,413
207,448
208,407
209,388
210,485
211,362
212,207
213,398
214,326
215,450
216,462
217,219
218,463
219,203
220,240
221,499
222,496
223,442
224,471
225,450
226,256
227,385
228,408
229,400
230,498
231,394
232,153
233,489
234,111
235,184
236,430
237,287
238,430
239,299
240,131
241,485
242,296
243,293
244,435
245,196
246,471
247,399
248,410
249,488
250,431
251,474
252,263
253,402
254,457
255,432
256,287
257,164
258,274
259,413
260,410
261,460
262,485
263,222
264,213
265,488
266,468
267,495
268,421
269,435
270,170
271,479
272,307
273,447
274,340
275,370
276,253
277,406
278,458
279,466
280,452
281,446
282,173
283,468
284,455
285,270
286,288
287,201
288,434
289,498
290,484
291,465
292,471
293,386
294,495
295,471
296,483
297,470
298,280
299,337
300,490
301,486
302,404
303,364
304,216
305,319
306,389
307,484
308,221
309,471
310,357
311,303
312,450
313,393
314,456
315,430
316,255
317,246
318,246
319,240
320,414
321,437
322,269
323,466
324,498
325,414
326,463
327,339
328,216
329,463
330,414
331,439
332,392
333,466
334,375
335,280
336,479
337,378
338,468
339,239
340,301
341,498
342,471
343,232
344,422
345,411
346,178
347,498
348,147
349,400
350,476
351,454
352,179
353,202
354,333
355,362
356,202
357,495
358,137
359,489
360,428
361,492
362,445
363,487
364,274
365,164
366,406
367,461
368,497
369,478
370,391
371,210
372,452
373,243
374,418
375,336
376,327
377,358
378,362
379,320
380,491
381,170
382,363
383,491
384,448
385,286
386,143
387,492
388,450
389,385
390,408
391,443
392,366
393,246
394,433
395,447
396,353
397,412
398,305
399,314
400,443
401,450
402,153
403,402
404,172
405,341
406,470
407,187
408,422
409,434
410,480
411,294
412,496
413,306
414,444
415,494
416,403
417,460
418,430
419,405
420,469
421,450
422,477
423,496
424,377
425,208
426,279
427,308
428,427
429,414
430,495
431,329
432,431
433,481
434,434
435,373
436,187
437,394
438,366
439,455
440,408
441,469
442,428
443,462
444,446
445,361
446,459
447,431
448,488
449,445
450,431
451,146
452,421
453,472
454,376
455,212
456,490
457,493
458,361
459,180
460,401
461,342
462,344
463,453
464,473
465,446
466,417
467,483
468,396
469,365
470,415
471,154
472,471
473,390
474,466
475,197
476,440
477,127
478,315
479,412
480,228
481,209
482,480
483,285
484,457
485,195
486,406
487,472
488,370
489,457
490,497
491,416
492,282
493,450
494,470
495,417
496,353
497,392
498,433
499,453
500,439
501,412
502,383
503,450
504,326
505,495
506,389
507,476
508,384
509,265
510,291
511,478
