,0
0,465
1,422
2,218
3,419
4,405
5,449
6,478
7,353
8,377
9,474
10,257
11,473
12,471
13,417
14,372
15,281
16,302
17,287
18,302
19,462
20,423
21,490
22,442
23,410
24,388
25,208
26,479
27,235
28,316
29,206
30,283
31,447
32,445
33,428
34,435
35,249
36,421
37,322
38,467
39,169
40,437
41,468
42,413
43,405
44,476
45,449
46,374
47,453
48,383
49,341
50,326
51,446
52,322
53,399
54,280
55,290
56,402
57,223
58,290
59,418
60,238
61,386
62,434
63,378
64,397
65,376
66,487
67,216
68,440
69,385
70,487
71,202
72,356
73,410
74,263
75,394
76,355
77,411
78,448
79,399
80,300
81,238
82,279
83,380
84,435
85,464
86,312
87,414
88,487
89,494
90,473
91,381
92,456
93,401
94,237
95,413
96,420
97,431
98,445
99,446
100,211
101,434
102,449
103,470
104,376
105,405
106,428
107,391
108,433
109,411
110,416
111,420
112,244
113,448
114,156
115,368
116,330
117,455
118,331
119,216
120,299
121,471
122,415
123,453
124,435
125,233
126,487
127,439
128,324
129,415
130,467
131,433
132,416
133,242
134,293
135,446
136,232
137,422
138,265
139,438
140,443
141,286
142,431
143,203
144,475
145,432
146,423
147,428
148,354
149,419
150,316
151,472
152,485
153,304
154,234
155,326
156,384
157,473
158,433
159,458
160,440
161,389
162,402
163,325
164,259
165,438
166,480
167,453
168,485
169,411
170,491
171,289
172,225
173,235
174,418
175,467
176,217
177,211
178,407
179,408
180,222
181,422
182,447
183,491
184,468
185,273
186,437
187,482
188,165
189,409
190,427
191,233
192,481
193,279
194,485
195,449
196,350
197,433
198,333
199,485
200,248
201,361
202,420
203,421
204,290
205,435
206,398
207,425
208,358
209,359
210,481
211,367
212,258
213,372
214,288
215,430
216,443
217,243
218,449
219,243
220,235
221,495
222,489
223,424
224,437
225,440
226,252
227,390
228,390
229,363
230,486
231,379
232,184
233,478
234,173
235,233
236,413
237,292
238,411
239,323
240,205
241,469
242,320
243,316
244,434
245,220
246,448
247,359
248,409
249,479
250,394
251,462
252,246
253,369
254,421
255,419
256,324
257,215
258,305
259,400
260,383
261,449
262,480
263,268
264,215
265,484
266,458
267,485
268,395
269,428
270,210
271,457
272,285
273,418
274,354
275,348
276,264
277,383
278,427
279,462
280,434
281,438
282,216
283,439
284,446
285,283
286,285
287,229
288,403
289,491
290,467
291,467
292,448
293,385
294,491
295,454
296,459
297,455
298,250
299,343
300,484
301,475
302,385
303,326
304,233
305,312
306,356
307,468
308,254
309,444
310,314
311,312
312,418
313,377
314,445
315,420
316,245
317,261
318,276
319,281
320,401
321,418
322,321
323,450
324,492
325,415
326,433
327,369
328,267
329,434
330,406
331,404
332,375
333,441
334,385
335,310
336,457
337,365
338,460
339,269
340,305
341,492
342,448
343,284
344,411
345,379
346,212
347,492
348,195
349,372
350,457
351,447
352,212
353,218
354,363
355,375
356,243
357,489
358,197
359,478
360,397
361,479
362,419
363,481
364,309
365,219
366,387
367,434
368,483
369,469
370,362
371,217
372,447
373,278
374,373
375,338
376,340
377,314
378,374
379,309
380,470
381,239
382,305
383,470
384,438
385,316
386,199
387,473
388,424
389,365
390,369
391,413
392,356
393,264
394,389
395,413
396,355
397,386
398,306
399,302
400,415
401,406
402,201
403,396
404,236
405,299
406,425
407,239
408,397
409,399
410,453
411,277
412,489
413,279
414,398
415,467
416,375
417,428
418,427
419,373
420,441
421,423
422,461
423,491
424,383
425,278
426,311
427,347
428,381
429,422
430,477
431,332
432,408
433,460
434,398
435,352
436,243
437,383
438,376
439,446
440,387
441,463
442,407
443,436
444,444
445,336
446,426
447,409
448,482
449,417
450,412
451,224
452,402
453,463
454,348
455,247
456,481
457,492
458,368
459,244
460,369
461,308
462,353
463,442
464,467
465,415
466,383
467,478
468,354
469,355
470,375
471,186
472,463
473,363
474,454
475,250
476,404
477,167
478,341
479,381
480,263
481,238
482,468
483,300
484,439
485,233
486,399
487,458
488,336
489,435
490,493
491,408
492,315
493,403
494,456
495,405
496,355
497,407
498,420
499,436
500,418
501,368
502,373
503,446
504,323
505,487
506,384
507,452
508,386
509,296
510,309
511,453
