,0
0,0.32094377
1,0.29722232
2,0.1941415
3,0.27434522
4,0.24039844
5,0.2880602
6,0.31987894
7,0.21216553
8,0.23703489
9,0.38193887
10,0.22128165
11,0.34730962
12,0.3080361
13,0.2587378
14,0.20800129
15,0.18629533
16,0.20146126
17,0.1717769
18,0.24510291
19,0.29863653
20,0.4293573
21,0.35331395
22,0.3702212
23,0.38949096
24,0.18540078
25,0.20306706
26,0.34441823
27,0.20988277
28,0.19586375
29,0.273677
30,0.19460216
31,0.23849007
32,0.31827742
33,0.293166
34,0.30291966
35,0.19442639
36,0.27038833
37,0.25649893
38,0.30558726
39,0.19973752
40,0.34580743
41,0.3304237
42,0.2600432
43,0.30001038
44,0.37426054
45,0.35311806
46,0.2032186
47,0.29240447
48,0.23390874
49,0.2711439
50,0.20113648
51,0.30434662
52,0.23629706
53,0.21779603
54,0.21889824
55,0.21027999
56,0.24446338
57,0.21397674
58,0.2081485
59,0.3611862
60,0.27789915
61,0.21615714
62,0.2352612
63,0.257998
64,0.28699934
65,0.23315898
66,0.36653695
67,0.23406595
68,0.27661932
69,0.23404674
70,0.41055405
71,0.20946795
72,0.26926428
73,0.2329842
74,0.16324508
75,0.27009624
76,0.20655382
77,0.22973761
78,0.2984261
79,0.34045964
80,0.21164393
81,0.19811413
82,0.22597337
83,0.22079709
84,0.3188055
85,0.34497142
86,0.21218303
87,0.35899746
88,0.40738773
89,0.4639603
90,0.34872842
91,0.2645461
92,0.3483523
93,0.1584409
94,0.24778895
95,0.26642174
96,0.33580065
97,0.27042973
98,0.22666866
99,0.30148393
100,0.17024216
101,0.3578509
102,0.3093707
103,0.33881685
104,0.2726919
105,0.19483884
106,0.25626242
107,0.24527949
108,0.34999117
109,0.24491298
110,0.29076695
111,0.27281857
112,0.23223883
113,0.39973935
114,0.28160983
115,0.2628449
116,0.20315792
117,0.328238
118,0.21055464
119,0.2764166
120,0.23094049
121,0.37451214
122,0.24626003
123,0.30013564
124,0.3443792
125,0.16591996
126,0.51712453
127,0.34694397
128,0.20839688
129,0.25006306
130,0.26224357
131,0.28308326
132,0.33980817
133,0.20322548
134,0.23386781
135,0.35922635
136,0.25593832
137,0.3688998
138,0.210265
139,0.3405766
140,0.31574976
141,0.2494818
142,0.22239187
143,0.22580105
144,0.29234886
145,0.2546205
146,0.2939493
147,0.27223104
148,0.1980831
149,0.29398644
150,0.25175688
151,0.43489504
152,0.27191907
153,0.19756658
154,0.2020114
155,0.2456678
156,0.25512213
157,0.3810789
158,0.22253723
159,0.36847046
160,0.35429972
161,0.26440698
162,0.31832734
163,0.22156504
164,0.21173477
165,0.2847204
166,0.36330295
167,0.35088974
168,0.35086995
169,0.21398884
170,0.415224
171,0.18543473
172,0.2712525
173,0.2884819
174,0.3074525
175,0.37449652
176,0.24399574
177,0.24402127
178,0.2786524
179,0.21166268
180,0.29082483
181,0.20746428
182,0.21816584
183,0.30258763
184,0.30982947
185,0.20424752
186,0.32116908
187,0.45031446
188,0.2230764
189,0.25712028
190,0.27040833
191,0.19078946
192,0.34115762
193,0.20749083
194,0.36141604
195,0.31943133
196,0.2385176
197,0.3544591
198,0.2333121
199,0.30275646
200,0.19419992
201,0.24305321
202,0.3012792
203,0.20000784
204,0.20486358
205,0.27121657
206,0.25834367
207,0.26025704
208,0.28384757
209,0.28955868
210,0.35739902
211,0.22106412
212,0.23076186
213,0.24154627
214,0.1520825
215,0.27290255
216,0.31055433
217,0.18939415
218,0.2977836
219,0.2523739
220,0.29740858
221,0.28190345
222,0.47619322
223,0.35201246
224,0.32613832
225,0.2619205
226,0.2520681
227,0.2095797
228,0.30092674
229,0.24750498
230,0.3587263
231,0.21118835
232,0.24442297
233,0.42091492
234,0.34297442
235,0.16947359
236,0.36139
237,0.25883394
238,0.21895695
239,0.23491856
240,0.3293688
241,0.33291292
242,0.2135982
243,0.216638
244,0.31162763
245,0.23930807
246,0.313205
247,0.2568209
248,0.23406419
249,0.4180895
250,0.19569744
251,0.34783727
252,0.23445314
253,0.28357732
254,0.23965481
255,0.27110407
256,0.2046744
257,0.29432407
258,0.22825424
259,0.2263352
260,0.19125241
261,0.3146547
262,0.3402093
263,0.2620137
264,0.17292571
265,0.40685552
266,0.31755465
267,0.28731138
268,0.33823252
269,0.41732228
270,0.22604962
271,0.32108194
272,0.16518094
273,0.28440493
274,0.15925515
275,0.2573773
276,0.18496698
277,0.22274353
278,0.29756856
279,0.2682295
280,0.2515909
281,0.21840192
282,0.22883813
283,0.316872
284,0.42602748
285,0.2234287
286,0.22587098
287,0.21197514
288,0.28749818
289,0.4382694
290,0.33164144
291,0.32010454
292,0.36903903
293,0.24476856
294,0.30002382
295,0.28571388
296,0.35531312
297,0.27570307
298,0.18875518
299,0.19705449
300,0.29806757
301,0.31207785
302,0.26873186
303,0.22039503
304,0.2318493
305,0.3335624
306,0.24059643
307,0.39156574
308,0.19324043
309,0.29697025
310,0.22824687
311,0.22325478
312,0.20275721
313,0.22494137
314,0.3131793
315,0.2916807
316,0.19571623
317,0.21416411
318,0.2001915
319,0.24096876
320,0.21983905
321,0.27421153
322,0.18906529
323,0.27245575
324,0.40972742
325,0.2693966
326,0.31805575
327,0.18965374
328,0.237489
329,0.3461009
330,0.22533801
331,0.32867217
332,0.22190554
333,0.29520643
334,0.22500353
335,0.24212219
336,0.40203232
337,0.22454931
338,0.25959265
339,0.21012694
340,0.2357208
341,0.41732246
342,0.35451123
343,0.17344707
344,0.25211215
345,0.29501513
346,0.20397592
347,0.41759533
348,0.31601182
349,0.26138693
350,0.39512998
351,0.23560143
352,0.19801268
353,0.15568553
354,0.16209882
355,0.17928502
356,0.19522339
357,0.34934664
358,0.18555611
359,0.41859907
360,0.3045173
361,0.3163172
362,0.29083818
363,0.40216896
364,0.24440014
365,0.22060052
366,0.23244496
367,0.24183929
368,0.35342297
369,0.4044749
370,0.20969248
371,0.2029817
372,0.31214422
373,0.16225353
374,0.20057291
375,0.1521981
376,0.24196526
377,0.22327013
378,0.22174266
379,0.18009807
380,0.3021929
381,0.22440585
382,0.20219335
383,0.3757605
384,0.313635
385,0.2754189
386,0.3094959
387,0.4070775
388,0.24996106
389,0.25874686
390,0.29662424
391,0.28032506
392,0.25485337
393,0.18629345
394,0.28740472
395,0.29067463
396,0.20430124
397,0.25993004
398,0.22963694
399,0.20829898
400,0.27676016
401,0.24781272
402,0.31297296
403,0.34713537
404,0.24183473
405,0.27101353
406,0.27556545
407,0.2600482
408,0.31318533
409,0.2716964
410,0.3828103
411,0.19199884
412,0.44397455
413,0.19201228
414,0.3160722
415,0.28877985
416,0.21301635
417,0.38029346
418,0.28081647
419,0.30785057
420,0.21229845
421,0.30101386
422,0.3246318
423,0.3833027
424,0.21080482
425,0.23103052
426,0.25278664
427,0.24278659
428,0.30155382
429,0.32141906
430,0.39753065
431,0.2692571
432,0.30002564
433,0.33139676
434,0.276761
435,0.20933944
436,0.24636519
437,0.33763817
438,0.23217504
439,0.3072844
440,0.2736845
441,0.27183574
442,0.2831918
443,0.32758552
444,0.2606603
445,0.20992556
446,0.31473225
447,0.30136198
448,0.2521499
449,0.23625764
450,0.2731307
451,0.25195575
452,0.2869652
453,0.3518886
454,0.12936018
455,0.18436229
456,0.34397286
457,0.3953581
458,0.21968006
459,0.2795363
460,0.2370943
461,0.19206092
462,0.21626392
463,0.25587425
464,0.36304852
465,0.22034109
466,0.2657241
467,0.29762828
468,0.26151103
469,0.21991208
470,0.2878853
471,0.23880138
472,0.2872712
473,0.16475442
474,0.32597685
475,0.27289742
476,0.33755264
477,0.21511585
478,0.20963053
479,0.2807232
480,0.17193572
481,0.22849047
482,0.35066456
483,0.20446214
484,0.2589448
485,0.24752441
486,0.24595062
487,0.34295094
488,0.21616782
489,0.2798085
490,0.3419233
491,0.2207657
492,0.23976156
493,0.26886457
494,0.3654806
495,0.2754722
496,0.2517355
497,0.20883021
498,0.2179243
499,0.35793114
500,0.29944885
501,0.31641066
502,0.26734632
503,0.23068969
504,0.21717378
505,0.38381928
506,0.4134965
507,0.3433764
508,0.18715844
509,0.19614184
510,0.19088182
511,0.2757059
