,0
0,0.13526702
1,-0.094735615
2,-0.4305071
3,0.22616206
4,0.09508424
5,-0.013675764
6,0.3769527
7,-0.29329473
8,0.16686128
9,0.3563056
10,-0.32102826
11,-0.0068203676
12,0.037279554
13,0.08993642
14,0.015282199
15,-0.45970792
16,-0.6260427
17,-0.50645226
18,-0.1743814
19,0.37267238
20,0.46193013
21,0.18212165
22,0.16696545
23,0.20753925
24,-0.15272203
25,-0.439977
26,0.28037703
27,-0.1416215
28,0.020845348
29,0.048371658
30,0.18902974
31,-0.09364809
32,0.11894718
33,-0.29953924
34,0.12574513
35,-0.30118102
36,0.26263434
37,-0.42855912
38,0.43679684
39,-0.23725559
40,-0.023876345
41,0.12545216
42,-0.02332449
43,-0.0030248184
44,0.1775309
45,0.2117452
46,-0.053731013
47,0.4136334
48,-0.21555571
49,0.034562193
50,-0.23439917
51,0.4162799
52,-0.18404166
53,0.22112824
54,-0.08815547
55,-0.06996795
56,-0.03782025
57,-0.07057032
58,0.14735147
59,0.29063624
60,-0.16079447
61,0.10397023
62,0.12760897
63,-0.15600257
64,0.13794166
65,0.0346409
66,0.24112618
67,-0.28090388
68,0.14828302
69,-0.24928474
70,0.3741616
71,-0.13362467
72,0.025216535
73,-0.10806109
74,-0.07494711
75,-0.2839744
76,0.085767955
77,-0.10545331
78,0.045850176
79,-0.12019786
80,-0.116301775
81,-0.26254678
82,0.012351792
83,0.15390761
84,-0.057135142
85,0.074445635
86,-0.095909774
87,0.093151495
88,0.05891461
89,0.38503265
90,0.384062
91,-0.16107112
92,0.32955447
93,-0.015335744
94,-0.63158673
95,0.017847475
96,0.0013646525
97,-0.24004652
98,0.16359285
99,0.1161727
100,-0.13214731
101,0.04579099
102,0.34075338
103,0.18129537
104,0.16678539
105,0.058050394
106,0.18318355
107,-0.17809069
108,0.029669177
109,-0.15274593
110,0.14613673
111,0.061755873
112,-0.19688255
113,0.04093238
114,0.015005425
115,-0.1117724
116,-0.4833515
117,0.16864927
118,-0.16320956
119,0.057951126
120,-0.13569996
121,0.24485353
122,0.1787091
123,0.12654063
124,0.26537412
125,-0.17534721
126,0.39110065
127,-0.14768235
128,-0.1691201
129,0.078232795
130,0.114961445
131,0.026877731
132,0.1743662
133,-0.42011905
134,-0.3039875
135,0.21704993
136,-0.25498536
137,0.53976965
138,0.028129186
139,-0.0046199113
140,0.16592936
141,-0.15316229
142,0.06106025
143,-0.3000388
144,0.48525417
145,-0.014896683
146,0.29714042
147,0.10610652
148,0.07389496
149,0.4213918
150,-0.16578792
151,0.23436862
152,0.09883626
153,-0.23470026
154,-0.30622423
155,-0.12048838
156,-0.17568484
157,0.2765827
158,0.04993908
159,0.45710856
160,0.111566216
161,0.106711775
162,-0.22054604
163,0.28082258
164,-0.28338125
165,-0.0061873887
166,0.22432059
167,-0.02923221
168,0.98047566
169,-0.030528832
170,0.33587876
171,-0.013577081
172,-0.1263631
173,-0.08918538
174,0.43085915
175,0.14386973
176,-0.18304133
177,-0.70422006
178,-0.06811999
179,-0.15769969
180,-0.17128615
181,0.22984147
182,0.27927127
183,0.41065124
184,0.26355052
185,-0.016785197
186,0.1152349
187,0.67613196
188,-0.34372285
189,0.2727374
190,-0.16623278
191,-0.3046561
192,0.22698599
193,-0.22049084
194,0.2822473
195,-0.058428127
196,0.2354447
197,-0.2136402
198,-0.10088304
199,0.09011776
200,-0.23947367
201,-0.018299434
202,-0.07133989
203,0.024848044
204,-0.4291253
205,-0.11496716
206,-0.095929384
207,0.11363751
208,-0.022039294
209,-0.04839622
210,0.26090336
211,0.109457396
212,0.020055601
213,-0.18295616
214,0.33990833
215,0.12556885
216,-0.057722528
217,-0.41220134
218,-0.11969657
219,-0.39088437
220,-0.3732507
221,0.51820135
222,0.49612054
223,0.24767755
224,-0.072578475
225,-0.06417356
226,-0.28099775
227,-0.04279627
228,0.054228067
229,-0.0010486171
230,0.41560915
231,-0.24910906
232,-0.06488533
233,0.32525474
234,-0.33355075
235,-0.17391884
236,0.38627708
237,-0.0444277
238,-0.2627266
239,-0.10498806
240,-0.32456374
241,0.13766882
242,-0.26859808
243,-0.14274961
244,-0.02474399
245,-0.04531212
246,-0.07806651
247,-0.13467306
248,0.3019753
249,0.121457115
250,0.078322835
251,0.057305105
252,-0.12596758
253,0.3676051
254,-0.015758034
255,-0.12854739
256,-0.020589631
257,-0.16922906
258,0.046580005
259,0.08075218
260,-0.0969367
261,-0.14868483
262,0.019263221
263,-0.21731524
264,-0.23775914
265,0.23149244
266,0.08838435
267,0.18693098
268,-0.08777644
269,0.49264497
270,-0.122409254
271,0.049610987
272,-0.02278088
273,0.10301562
274,-0.04065601
275,-0.31941044
276,0.023255825
277,-0.052501112
278,0.19267002
279,-0.013178796
280,-0.04575244
281,0.2869773
282,-0.29889476
283,-0.124003045
284,0.5327381
285,-0.12112494
286,-0.14910676
287,-0.09113596
288,0.53226465
289,0.21694443
290,0.27978763
291,0.24453695
292,-0.22806117
