,0
0,377
1,433
2,474
3,400
4,269
5,449
6,277
7,498
8,296
9,331
10,490
11,168
12,384
13,431
14,418
15,478
16,475
17,499
18,189
19,401
20,321
21,495
22,427
23,182
24,491
25,488
26,482
27,466
28,146
29,341
30,218
31,481
32,128
33,439
34,239
35,463
36,246
37,498
38,401
39,467
40,494
41,451
42,472
43,407
44,488
45,387
46,321
47,273
48,440
49,464
50,475
51,278
52,465
53,365
54,486
55,194
56,315
57,282
58,285
59,446
60,489
61,456
62,320
63,427
64,193
65,300
66,444
67,485
68,360
69,460
70,178
71,479
72,334
73,238
74,487
75,354
76,382
77,493
78,496
79,470
80,491
81,167
82,493
83,173
84,493
85,410
86,285
87,238
88,484
89,245
90,480
91,467
92,409
93,446
94,482
95,492
96,366
97,477
98,358
99,161
100,481
101,115
102,110
103,147
104,130
105,406
106,98
107,469
108,372
109,488
110,258
111,469
112,474
113,491
114,197
115,433
116,465
117,186
118,469
119,173
120,476
121,472
122,447
123,438
124,469
125,471
126,489
127,448
128,436
129,444
130,360
131,345
132,427
133,471
134,382
135,348
136,491
137,457
138,346
139,477
140,253
141,139
142,203
143,496
144,128
145,124
146,390
147,436
148,402
149,216
150,493
151,422
152,410
153,368
154,495
155,483
156,440
157,298
158,459
159,352
160,392
161,398
162,490
163,362
164,489
165,459
166,453
167,473
168,85
169,481
170,489
171,361
172,442
173,454
174,345
175,377
176,485
177,494
178,371
179,486
180,121
181,94
182,477
183,137
184,123
185,395
186,165
187,193
188,484
189,351
190,425
191,486
192,473
193,359
194,494
195,402
196,252
197,481
198,442
199,112
200,292
201,433
202,451
203,310
204,489
205,486
206,481
207,336
208,238
209,447
210,492
211,356
212,122
213,479
214,401
215,436
216,483
217,497
218,468
219,496
220,495
221,116
222,169
223,217
224,482
225,130
226,465
227,106
228,429
229,405
230,88
231,407
232,340
233,290
234,372
235,476
236,282
237,193
238,494
239,486
240,493
241,489
242,486
243,452
244,282
245,464
246,437
247,489
248,317
249,495
250,370
251,292
252,367
253,386
254,475
255,498
256,434
257,121
258,439
259,461
260,355
261,346
262,383
263,477
264,118
265,150
266,368
267,473
268,432
269,434
270,453
271,447
272,343
273,382
274,319
275,457
276,414
277,447
278,373
279,86
280,480
281,405
282,488
283,451
284,194
285,478
286,484
287,479
288,308
289,76
290,260
291,332
292,493
293,426
294,237
295,161
296,179
297,441
298,414
299,457
300,385
301,148
302,442
303,444
304,384
305,492
306,477
307,495
308,456
309,338
310,296
311,454
312,452
313,464
314,394
315,245
316,344
317,488
318,485
319,479
320,415
321,466
322,427
323,465
324,356
325,429
326,463
327,363
328,487
329,343
330,126
331,345
332,412
333,446
334,141
335,359
336,420
337,486
338,495
339,498
340,491
341,488
342,394
343,487
344,469
345,495
346,500
347,339
348,118
349,368
350,243
351,118
352,489
353,492
354,385
355,311
356,487
357,287
358,465
359,398
360,494
361,427
362,176
363,258
364,498
365,481
366,402
367,346
368,477
369,98
370,483
371,205
372,296
373,269
374,149
375,136
376,367
377,376
378,482
379,179
380,293
381,377
382,433
383,443
384,462
385,493
386,493
387,257
388,486
389,477
390,425
391,471
392,483
393,482
394,497
395,385
396,473
397,412
398,200
399,494
400,458
401,427
402,484
403,248
404,500
405,412
406,161
407,489
408,205
409,471
410,407
411,320
412,122
413,345
414,460
415,477
416,254
417,351
418,471
419,382
420,467
421,482
422,474
423,432
424,443
425,429
426,262
427,185
428,474
429,423
430,495
431,476
432,487
433,452
434,463
435,480
436,492
437,272
438,483
439,187
440,236
441,476
442,460
443,490
444,163
445,235
446,493
447,461
448,474
449,487
450,500
451,477
452,457
453,435
454,221
455,221
456,478
457,122
458,322
459,302
460,160
461,276
462,421
463,471
464,481
465,228
466,461
467,120
468,479
469,219
470,456
471,490
472,494
473,355
474,468
475,498
476,481
477,429
478,141
479,469
480,375
481,486
482,112
483,158
484,302
485,355
486,474
487,440
488,435
489,392
490,488
491,436
492,383
493,483
494,485
495,171
496,167
497,403
498,472
499,391
500,414
501,490
502,469
503,124
504,393
505,114
506,192
507,490
508,487
509,444
510,444
511,121
