,0
0,341
1,413
2,466
3,361
4,294
5,450
6,327
7,492
8,285
9,286
10,487
11,204
12,333
13,406
14,431
15,469
16,460
17,494
18,214
19,365
20,311
21,481
22,366
23,217
24,483
25,468
26,466
27,454
28,186
29,322
30,205
31,466
32,172
33,388
34,306
35,454
36,244
37,480
38,372
39,469
40,489
41,397
42,466
43,414
44,474
45,331
46,313
47,257
48,430
49,459
50,470
51,287
52,441
53,378
54,480
55,207
56,325
57,299
58,260
59,440
60,479
61,439
62,331
63,423
64,222
65,297
66,404
67,475
68,359
69,454
70,233
71,470
72,294
73,263
74,476
75,356
76,388
77,486
78,486
79,454
80,483
81,240
82,482
83,205
84,480
85,375
86,316
87,237
88,475
89,280
90,468
91,448
92,386
93,433
94,470
95,483
96,385
97,475
98,367
99,232
100,472
101,193
102,141
103,189
104,180
105,349
106,146
107,458
108,384
109,471
110,300
111,440
112,432
113,478
114,197
115,390
116,446
117,234
118,453
119,189
120,468
121,457
122,428
123,412
124,465
125,436
126,487
127,407
128,425
129,436
130,352
131,353
132,432
133,449
134,398
135,323
136,480
137,439
138,350
139,465
140,269
141,191
142,206
143,481
144,165
145,167
146,329
147,409
148,402
149,249
150,483
151,417
152,434
153,343
154,481
155,462
156,381
157,338
158,435
159,371
160,377
161,407
162,471
163,359
164,482
165,456
166,447
167,469
168,135
169,470
170,474
171,323
172,438
173,439
174,320
175,313
176,464
177,485
178,329
179,468
180,168
181,152
182,453
183,220
184,196
185,386
186,216
187,189
188,472
189,360
190,380
191,458
192,464
193,355
194,468
195,412
196,229
197,467
198,426
199,184
200,302
201,418
202,397
203,339
204,472
205,480
206,466
207,345
208,251
209,412
210,475
211,341
212,174
213,458
214,362
215,407
216,467
217,488
218,428
219,493
220,493
221,166
222,190
223,264
224,470
225,186
226,443
227,178
228,385
229,406
230,140
231,417
232,340
233,339
234,388
235,458
236,253
237,228
238,487
239,471
240,489
241,485
242,469
243,399
244,282
245,450
246,419
247,470
248,320
249,475
250,333
251,313
252,330
253,400
254,460
255,495
256,384
257,179
258,386
259,459
260,378
261,356
262,385
263,439
264,141
265,197
266,365
267,465
268,413
269,411
270,454
271,453
272,359
273,349
274,342
275,453
276,407
277,443
278,329
279,145
280,469
281,396
282,480
283,430
284,229
285,448
286,466
287,462
288,290
289,156
290,305
291,331
292,482
293,437
294,303
295,169
296,203
297,408
298,374
299,428
300,336
301,204
302,398
303,405
304,369
305,484
306,457
307,488
308,454
309,324
310,333
311,451
312,442
313,452
314,340
315,247
316,356
317,467
318,475
319,479
320,383
321,449
322,386
323,448
324,334
325,390
326,453
327,324
328,483
329,312
330,198
331,323
332,400
333,422
334,212
335,352
336,394
337,472
338,485
339,494
340,478
341,462
342,387
343,483
344,456
345,486
346,492
347,348
348,158
349,348
350,254
351,158
352,478
353,481
354,388
355,313
356,481
357,287
358,454
359,330
360,487
361,371
362,242
363,317
364,492
365,470
366,363
367,346
368,442
369,167
370,480
371,209
372,306
373,289
374,181
375,173
376,361
377,347
378,472
379,215
380,330
381,383
382,386
383,433
384,449
385,485
386,486
387,253
388,474
389,470
390,437
391,448
392,473
393,464
394,481
395,383
396,467
397,408
398,227
399,483
400,434
401,427
402,468
403,246
404,495
405,398
406,200
407,485
408,212
409,453
410,395
411,329
412,172
413,332
414,443
415,451
416,293
417,336
418,462
419,373
420,451
421,474
422,457
423,385
424,420
425,384
426,265
427,247
428,457
429,366
430,489
431,458
432,479
433,451
434,441
435,469
436,478
437,259
438,466
439,234
440,238
441,465
442,458
443,486
444,209
445,257
446,484
447,435
448,453
449,479
450,493
451,471
452,442
453,398
454,248
455,257
456,467
457,186
458,325
459,304
460,202
461,256
462,436
463,449
464,473
465,271
466,447
467,199
468,466
469,255
470,420
471,478
472,486
473,332
474,455
475,493
476,478
477,406
478,199
479,459
480,363
481,465
482,146
483,216
484,332
485,336
486,463
487,404
488,403
489,335
490,469
491,438
492,329
493,472
494,470
495,227
496,213
497,384
498,463
499,344
500,415
501,464
502,461
503,195
504,390
505,139
506,240
507,486
508,456
509,418
510,432
511,181
