,0
0,0.22808364
1,0.2550317
2,0.3180341
3,0.29851425
4,0.20218717
5,0.21656938
6,0.23842245
7,0.34412766
8,0.17374618
9,0.18364164
10,0.42699456
11,0.23314229
12,0.22335269
13,0.25057462
14,0.23337825
15,0.40040934
16,0.32805687
17,0.43566465
18,0.18590103
19,0.22964701
20,0.22657487
21,0.35286605
22,0.31222242
23,0.2598412
24,0.31734836
25,0.3541956
26,0.36091706
27,0.32455638
28,0.20888773
29,0.23665342
30,0.21970391
31,0.31165424
32,0.2099428
33,0.3147834
34,0.25033092
35,0.28895378
36,0.1954253
37,0.3324581
38,0.2433499
39,0.38218015
40,0.36513114
41,0.25593114
42,0.28987485
43,0.27160367
44,0.37231985
45,0.2540043
46,0.20355552
47,0.24330278
48,0.30205244
49,0.3096807
50,0.34247088
51,0.25236234
52,0.25818396
53,0.299702
54,0.42275786
55,0.18615192
56,0.21485838
57,0.1877292
58,0.2148929
59,0.2982145
60,0.32758096
61,0.25887838
62,0.18878992
63,0.32619023
64,0.22172317
65,0.16226578
66,0.32066643
67,0.34608322
68,0.3189439
69,0.22646756
70,0.2078669
71,0.37749666
72,0.28938898
73,0.24555421
74,0.33269614
75,0.262645
76,0.23446628
77,0.34978193
78,0.42417365
79,0.3127866
80,0.43788612
81,0.19901954
82,0.37264687
83,0.21625336
84,0.3692516
85,0.18296918
86,0.23809895
87,0.17397016
88,0.3139699
89,0.19138055
90,0.2657954
91,0.2853328
92,0.18466926
93,0.26378202
94,0.32094115
95,0.35645676
96,0.25993308
97,0.34165356
98,0.2636044
99,0.25114173
100,0.32821202
101,0.17595059
102,0.23813151
103,0.19337091
104,0.24870066
105,0.2621671
106,0.256083
107,0.2860532
108,0.25388008
109,0.28525123
110,0.21582855
111,0.23998195
112,0.3035075
113,0.40030587
114,0.24460793
115,0.3287071
116,0.25751004
117,0.22367889
118,0.33153903
119,0.24369
120,0.28228027
121,0.30664942
122,0.26566988
123,0.28779298
124,0.2967564
125,0.28220725
126,0.3956019
127,0.29211032
128,0.35306537
129,0.21069518
130,0.20245004
131,0.24001087
132,0.22877324
133,0.34926772
134,0.2454924
135,0.23807237
136,0.27585652
137,0.34235704
138,0.18883443
139,0.35459948
140,0.20935693
141,0.1978596
142,0.19695003
143,0.33170968
144,0.25236857
145,0.2859003
146,0.26763064
147,0.25467482
148,0.24835467
149,0.23510365
150,0.39177525
151,0.27894887
152,0.31454962
153,0.20022303
154,0.33280167
155,0.30823416
156,0.33345616
157,0.23550564
158,0.24003537
159,0.20421684
160,0.22601633
161,0.26009065
162,0.3655427
163,0.2231026
164,0.39099643
165,0.22810741
166,0.23687701
167,0.33437592
168,0.32992026
169,0.29484063
170,0.40537283
171,0.2707884
172,0.29456544
173,0.24107559
174,0.23987941
175,0.21666804
176,0.2781223
177,0.38997498
178,0.23699944
179,0.3010676
180,0.23678981
181,0.22144403
182,0.28561324
183,0.2268506
184,0.20266786
185,0.19097778
186,0.21572806
187,0.23149934
188,0.33034986
189,0.2259917
190,0.2875983
191,0.35419694
192,0.30646
193,0.23676482
194,0.40904996
