,0
0,140
1,487
2,462
3,437
4,414
5,472
6,453
7,461
8,273
9,229
10,495
11,488
12,487
13,181
14,225
15,467
16,497
17,486
18,479
19,414
20,399
21,241
22,287
23,401
24,436
25,491
26,177
27,469
28,244
29,212
30,210
31,433
32,484
33,494
34,351
35,312
36,285
37,488
38,188
39,341
40,483
41,476
42,485
43,177
44,467
45,359
46,483
47,413
48,486
49,455
50,424
51,384
52,364
53,459
54,131
55,482
56,483
57,163
58,136
59,461
60,175
61,467
62,466
63,497
64,404
65,275
66,480
67,185
68,461
69,455
70,480
71,451
72,209
73,391
74,433
75,499
76,255
77,478
78,483
79,397
80,454
81,472
82,407
83,375
84,163
85,476
86,355
87,462
88,187
89,212
90,165
91,490
92,217
93,368
94,447
95,487
96,481
97,423
98,146
99,450
100,472
101,484
102,459
103,468
104,465
105,386
106,413
107,491
108,483
109,496
110,455
111,423
112,495
113,487
114,204
115,484
116,495
117,486
118,475
119,168
120,303
121,136
122,221
123,348
124,437
125,490
126,495
127,498
128,434
129,159
130,274
131,480
132,462
133,495
134,211
135,225
136,262
137,421
138,344
139,490
140,384
141,492
142,463
143,224
144,458
145,487
146,271
147,311
148,473
149,267
150,495
151,471
152,481
153,289
154,160
155,284
156,493
157,400
158,481
159,374
160,463
161,296
162,494
163,349
164,489
165,328
166,271
167,491
168,121
169,278
170,454
171,383
172,315
173,338
174,414
175,488
176,458
177,496
178,481
179,471
180,485
181,245
182,232
183,445
184,388
185,454
186,477
187,365
188,482
189,260
190,497
191,491
192,311
193,467
194,135
195,488
196,386
197,446
198,242
199,494
200,361
201,228
202,490
203,427
204,497
205,494
206,482
207,481
208,268
209,470
210,484
211,283
212,455
213,489
214,263
215,262
216,494
217,491
218,493
219,457
220,485
221,456
222,259
223,434
224,495
225,482
226,480
227,453
228,228
229,264
230,327
231,474
232,138
233,471
234,495
235,451
236,148
237,427
238,494
239,176
240,499
241,480
242,488
243,495
244,257
245,283
246,492
247,472
248,365
249,144
250,251
251,478
252,199
253,276
254,396
255,490
256,468
257,468
258,446
259,436
260,285
261,476
262,332
263,494
264,117
265,490
266,465
267,478
268,380
269,243
270,249
271,332
272,273
273,454
274,453
275,484
276,176
277,450
278,183
279,478
280,479
281,307
282,490
283,491
284,185
285,415
286,451
287,493
288,280
289,489
290,370
291,295
292,490
293,299
294,459
295,283
296,492
297,281
298,272
299,199
300,471
301,292
302,480
303,381
304,349
305,475
306,477
307,497
308,173
309,482
310,465
311,484
312,391
313,442
314,481
315,461
316,483
317,486
318,486
319,317
320,483
321,132
322,494
323,443
324,339
325,458
326,482
327,420
328,497
329,382
330,481
331,389
332,473
333,448
334,493
335,403
336,98
337,291
338,472
339,467
340,153
341,151
342,466
343,325
344,496
345,492
346,485
347,85
348,407
349,314
350,435
351,485
352,491
353,478
354,320
355,429
356,476
357,472
358,121
359,148
360,362
361,368
362,483
363,487
364,484
365,322
366,303
367,448
368,109
369,471
370,271
371,307
372,316
373,411
374,392
375,462
376,410
377,262
378,466
379,461
380,495
381,427
382,448
383,469
384,451
385,184
386,494
387,421
388,496
389,217
390,469
391,155
392,308
393,487
394,496
395,483
396,489
397,191
398,431
399,495
400,276
401,475
402,483
403,340
404,499
405,450
406,241
407,488
408,465
409,459
410,418
411,423
412,454
413,224
414,173
415,218
416,487
417,135
418,472
419,392
420,402
421,479
422,167
423,437
424,441
425,493
426,471
427,485
428,206
429,494
430,497
431,455
432,452
433,480
434,478
435,304
436,169
437,270
438,496
439,479
440,472
441,421
442,479
443,490
444,478
445,405
446,480
447,364
448,147
449,493
450,497
451,474
452,492
453,409
454,217
455,440
456,491
457,493
458,494
459,459
460,206
461,160
462,475
463,229
464,449
465,482
466,392
467,453
468,438
469,441
470,452
471,486
472,484
473,410
474,481
475,498
476,480
477,216
478,459
479,227
480,282
481,414
482,467
483,478
484,407
485,285
486,336
487,406
488,431
489,281
490,174
491,203
492,483
493,427
494,173
495,424
496,154
497,473
498,167
499,294
500,475
501,476
502,317
503,471
504,203
505,419
506,270
507,441
508,471
509,318
510,319
511,345
