,0
0,196
1,477
2,444
3,409
4,374
5,464
6,441
7,461
8,279
9,264
10,489
11,473
12,478
13,268
14,301
15,466
16,493
17,482
18,455
19,379
20,360
21,273
22,294
23,394
24,442
25,469
26,228
27,451
28,267
29,236
30,245
31,431
32,451
33,488
34,363
35,350
36,302
37,474
38,250
39,354
40,475
41,469
42,471
43,251
44,461
45,353
46,467
47,395
48,481
49,447
50,398
51,371
52,379
53,446
54,229
55,462
56,476
57,227
58,162
59,443
60,226
61,446
62,418
63,489
64,406
65,324
66,434
67,270
68,444
69,432
70,460
71,442
72,260
73,416
74,392
75,494
76,292
77,445
78,474
79,407
80,443
81,453
82,383
83,368
84,245
85,471
86,367
87,429
88,281
89,262
90,226
91,470
92,272
93,381
94,448
95,481
96,472
97,428
98,234
99,415
100,445
101,469
102,425
103,456
104,432
105,356
106,407
107,486
108,473
109,491
110,431
111,429
112,483
113,479
114,237
115,470
116,485
117,472
118,452
119,200
120,321
121,200
122,300
123,377
124,414
125,472
126,488
127,491
128,404
129,204
130,339
131,451
132,448
133,489
134,277
135,256
136,311
137,394
138,343
139,481
140,398
141,469
142,452
143,284
144,416
145,465
146,276
147,338
148,463
149,305
150,489
151,438
152,441
153,304
154,230
155,313
156,474
157,365
158,464
159,353
160,446
161,326
162,490
163,357
164,465
165,360
166,320
167,482
168,164
169,302
170,407
171,337
172,363
173,342
174,386
175,471
176,442
177,485
178,466
179,462
180,465
181,275
182,267
183,390
184,375
185,430
186,438
187,327
188,458
189,297
190,490
191,476
192,332
193,457
194,189
195,483
196,365
197,448
198,285
199,481
200,359
201,281
202,476
203,406
204,490
205,489
206,467
207,467
208,265
209,439
210,441
211,329
212,413
213,475
214,266
215,321
216,489
217,485
218,483
219,438
220,473
221,404
222,261
223,412
224,490
225,467
226,463
227,439
228,276
229,321
230,301
231,471
232,169
233,474
234,485
235,429
236,178
237,389
238,489
239,254
240,493
241,456
242,476
243,484
244,296
245,305
246,485
247,453
248,367
249,231
250,287
251,464
252,209
253,326
254,397
255,477
256,455
257,437
258,432
259,402
260,303
261,477
262,387
263,481
264,151
265,476
266,458
267,441
268,396
269,276
270,308
271,372
272,287
273,451
274,437
275,467
276,209
277,444
278,226
279,454
280,474
281,311
282,480
283,486
284,216
285,390
286,442
287,472
288,278
289,474
290,377
291,291
292,480
293,357
294,420
295,307
296,476
297,316
298,277
299,230
300,442
301,292
302,469
303,368
304,351
305,461
306,462
307,493
308,227
309,473
310,453
311,472
312,392
313,409
314,467
315,450
316,471
317,462
318,458
319,361
320,479
321,190
322,478
323,409
324,328
325,402
326,471
327,399
328,489
329,387
330,464
331,375
332,447
333,456
334,471
335,392
336,175
337,325
338,431
339,452
340,228
341,193
342,461
343,365
344,490
345,483
346,458
347,131
348,379
349,314
350,398
351,455
352,477
353,471
354,354
355,420
356,434
357,456
358,190
359,170
360,379
361,386
362,455
363,468
364,487
365,326
366,307
367,442
368,166
369,454
370,309
371,299
372,351
373,401
374,354
375,422
376,407
377,282
378,427
379,440
380,487
381,398
382,420
383,441
384,436
385,286
386,483
387,405
388,488
389,284
390,461
391,204
392,334
393,476
394,488
395,465
396,477
397,263
398,397
399,485
400,293
401,445
402,471
403,329
404,496
405,419
406,287
407,474
408,436
409,417
410,408
411,387
412,429
413,253
414,214
415,288
416,473
417,217
418,432
419,373
420,399
421,473
422,253
423,401
424,398
425,484
426,425
427,452
428,257
429,486
430,493
431,439
432,412
433,472
434,466
435,361
436,245
437,302
438,487
439,461
440,452
441,406
442,466
443,483
444,456
445,382
446,474
447,371
448,198
449,483
450,493
451,432
452,480
453,406
454,220
455,415
456,486
457,473
458,482
459,441
460,216
461,179
462,464
463,297
464,420
465,469
466,407
467,418
468,435
469,403
470,430
471,475
472,454
473,379
474,440
475,490
476,474
477,250
478,446
479,287
480,287
481,428
482,433
483,476
484,408
485,319
486,355
487,412
488,388
489,322
490,201
491,278
492,469
493,424
494,248
495,404
496,230
497,461
498,209
499,324
500,473
501,464
502,339
503,449
504,265
505,395
506,308
507,445
508,466
509,335
510,371
511,361
