,0
0,0.21167706
1,0.29334527
2,0.31669134
3,0.2771574
4,0.26378202
5,0.37242603
6,0.24277169
7,0.27064925
8,0.17074358
9,0.14414203
10,0.40237856
11,0.39694297
12,0.29921216
13,0.26344448
14,0.20552072
15,0.2715621
16,0.42559743
17,0.32732874
18,0.3187046
19,0.23071322
20,0.21567197
21,0.17472693
22,0.22597638
23,0.21639623
24,0.21150413
25,0.42798096
26,0.1903493
27,0.30139908
28,0.17051473
29,0.20881546
30,0.18202831
31,0.22006947
32,0.33416152
33,0.488249
34,0.21637313
35,0.19839561
36,0.22706702
37,0.33729362
38,0.23698278
39,0.26088417
40,0.32423455
41,0.31379035
42,0.32855368
43,0.21329543
44,0.29382285
45,0.2411586
46,0.31729525
47,0.2644559
48,0.3244492
49,0.324599
50,0.22110206
51,0.24351884
52,0.18692249
53,0.2770484
54,0.24741824
55,0.3462425
56,0.309511
57,0.1937105
58,0.26460975
59,0.292988
60,0.23338059
61,0.28813365
62,0.3288383
63,0.46340242
64,0.21055855
65,0.23689188
66,0.31110024
67,0.19969906
68,0.2919755
69,0.2727933
70,0.30198753
71,0.26867843
72,0.18542758
73,0.22200005
74,0.27105546
75,0.4322226
76,0.23903643
77,0.31037256
78,0.31883964
79,0.19431342
80,0.29381377
81,0.37125546
82,0.22623624
83,0.19998208
84,0.20002687
85,0.27401808
86,0.21288833
87,0.30330658
88,0.2167369
89,0.20201866
90,0.18679835
91,0.38463944
92,0.24442834
93,0.20915702
94,0.22876231
95,0.43124276
96,0.4205442
97,0.20832472
98,0.199147
99,0.2363069
100,0.25821495
101,0.44419664
102,0.3373496
103,0.30114245
104,0.3136372
105,0.21353543
106,0.20978618
107,0.44019324
108,0.30120206
109,0.46698993
110,0.2935507
111,0.25604343
112,0.4050672
113,0.4169851
114,0.19900644
115,0.30715615
116,0.5011176
117,0.4310934
118,0.3203042
119,0.2451691
120,0.19126722
121,0.22875473
122,0.20586842
123,0.19292456
124,0.25556612
125,0.30033118
126,0.47874165
127,0.4608286
128,0.2439811
129,0.18606432
130,0.21974236
131,0.31212252
132,0.36159736
133,0.3657223
134,0.25735468
135,0.18228759
136,0.22087488
137,0.2519381
138,0.17793131
139,0.3528933
140,0.17792615
141,0.41783208
142,0.271301
143,0.22459108
144,0.3063746
145,0.39643383
146,0.2647191
147,0.20766187
148,0.22023256
149,0.1895061
150,0.33637863
151,0.33383727
152,0.38514426
153,0.2699855
154,0.2234315
155,0.17104834
156,0.4130728
157,0.24299498
158,0.3198455
159,0.23273176
160,0.2982642
161,0.21840751
162,0.49575257
163,0.24925748
164,0.35693103
165,0.21938252
166,0.22658911
167,0.39763024
168,0.25098437
169,0.13884819
170,0.31496096
171,0.28416765
172,0.20559177
173,0.21646702
174,0.28974178
175,0.448519
176,0.32601142
177,0.42599562
178,0.41629463
179,0.25348407
180,0.39284563
181,0.2430889
182,0.18254101
183,0.29325938
184,0.24421626
185,0.24411336
186,0.32967412
187,0.2515588
188,0.26225194
189,0.1753443
190,0.4002816
191,0.3735587
192,0.20580682
193,0.27546343
194,0.2641336
195,0.30772573
196,0.26724467
197,0.19444594
198,0.18971102
199,0.4067695
200,0.22027418
201,0.21077463
202,0.37535524
203,0.27354032
204,0.34133947
205,0.40573746
206,0.34978533
207,0.31673726
208,0.16820961
209,0.25693607
210,0.3779581
211,0.20069256
212,0.30755302
213,0.31820238
214,0.20796214
215,0.24731879
216,0.34989986
217,0.4385047
218,0.42981654
219,0.28802627
220,0.3809441
221,0.31311387
222,0.2306985
223,0.23950452
224,0.49137682
225,0.36864102
226,0.37870556
227,0.30381358
228,0.23100863
229,0.17511964
230,0.21275765
231,0.30101508
232,0.2288566
233,0.34360737
234,0.39059886
235,0.2845033
236,0.26150677
237,0.31798595
238,0.38494235
239,0.2051095
240,0.4297546
241,0.28937602
242,0.32499313
243,0.44404578
244,0.25029844
245,0.20834318
246,0.4387217
247,0.33090478
248,0.26056644
249,0.2330127
250,0.24517894
251,0.28444248
252,0.27915424
253,0.22133644
254,0.17770185
255,0.24980882
256,0.384117
257,0.32349995
258,0.26083988
259,0.2760229
260,0.1579296
261,0.2683444
262,0.1856741
263,0.33854344
264,0.28038383
265,0.36933362
266,0.3153016
267,0.3351252
268,0.19196513
269,0.23598179
270,0.2590341
271,0.1899469
272,0.14872092
273,0.31808513
274,0.3128485
275,0.416853
276,0.24733081
277,0.2617781
278,0.18822174
279,0.37296373
280,0.39458206
281,0.23424514
282,0.35166302
283,0.39205378
284,0.24609889
285,0.20368215
286,0.20880139
287,0.31970787
288,0.18758889
289,0.44680822
290,0.20499618
291,0.19752976
292,0.35157195
293,0.18108279
294,0.2862125
295,0.21078524
296,0.36937118
297,0.23686308
298,0.22698008
299,0.18017347
300,0.28277707
301,0.23063199
302,0.34327406
303,0.21346557
304,0.22998586
305,0.33189726
306,0.33983898
307,0.4494694
308,0.27350646
309,0.32727838
310,0.31398046
311,0.34733537
312,0.20143452
313,0.19334666
314,0.41847277
315,0.37387088
316,0.354203
317,0.35996157
318,0.35736936
319,0.2335556
320,0.3065002
321,0.24407625
322,0.35464534
323,0.30560046
324,0.17681092
325,0.22964309
326,0.32503048
327,0.2591725
328,0.39657015
329,0.16683766
330,0.33099777
331,0.14594552
332,0.27880126
333,0.27184844
334,0.44214517
335,0.2637903
336,0.37510264
337,0.26705426
338,0.34000045
339,0.26925763
340,0.19895653
341,0.20648833
342,0.32370216
343,0.17684655
344,0.39870352
345,0.44076318
346,0.34319168
347,0.24448183
348,0.2304664
349,0.21537496
350,0.23714186
351,0.42649466
352,0.413569
353,0.29045272
354,0.17523864
355,0.22482562
356,0.32134113
357,0.292629
358,0.21591833
359,0.18929055
360,0.21177916
361,0.26934358
362,0.3725104
363,0.37551117
364,0.37745845
365,0.18260944
366,0.1719929
367,0.25732523
368,0.29483593
369,0.36188668
370,0.21857017
371,0.22454976
372,0.2594136
373,0.24155056
374,0.25037953
375,0.3648532
376,0.23583752
377,0.15365005
378,0.29841596
379,0.32790172
380,0.3554584
381,0.25867268
382,0.29612076
383,0.2978779
384,0.25727805
385,0.2041553
386,0.45103037
387,0.22862494
388,0.42941156
389,0.17268452
390,0.42055827
391,0.17332765
392,0.1733987
393,0.35891816
394,0.4430572
395,0.37435293
396,0.3841288
397,0.23292038
398,0.25075355
399,0.4036914
400,0.21445939
401,0.40302724
402,0.34794974
403,0.2724415
404,0.43350124
405,0.3210495
406,0.17025787
407,0.3612616
408,0.36543834
409,0.26028556
410,0.18854865
411,0.30011755
412,0.26448786
413,0.17654768
414,0.19497383
415,0.19731489
416,0.2848509
417,0.20710617
418,0.36186135
419,0.19793446
420,0.22995898
421,0.3169458
422,0.1606152
423,0.27031243
424,0.25433752
425,0.37464264
426,0.2630741
427,0.39684334
428,0.15669365
429,0.39219138
430,0.43060058
431,0.2514631
432,0.23872629
433,0.2945709
434,0.3003664
435,0.14049192
436,0.228735
437,0.1985794
438,0.41863728
439,0.27869907
440,0.37142634
441,0.27853677
442,0.38809282
443,0.37589544
444,0.39341545
445,0.20347345
446,0.34744588
447,0.21949428
448,0.20649941
449,0.4701913
450,0.4074641
451,0.29560018
452,0.48415357
453,0.24631798
454,0.22729251
455,0.28988802
456,0.4362325
457,0.39484555
458,0.42633095
459,0.23710197
460,0.19625054
461,0.2583407
462,0.25043476
463,0.22857305
464,0.27359855
465,0.38390377
466,0.18407306
467,0.33821446
468,0.31041268
469,0.26063997
470,0.34989893
471,0.3903544
472,0.35437793
473,0.26463866
474,0.35890812
475,0.4644265
476,0.3941061
477,0.30475813
478,0.2963184
479,0.17003304
480,0.1611564
481,0.20596309
482,0.34662846
483,0.4254948
484,0.29215017
485,0.2256409
486,0.19840656
487,0.2847501
488,0.23035
489,0.2414894
490,0.24929406
491,0.18700285
492,0.32813203
493,0.26269674
494,0.1904821
495,0.23773158
496,0.17234632
497,0.27579242
498,0.21097285
499,0.19937706
500,0.29119012
501,0.2635565
502,0.18984976
503,0.3023908
504,0.27182162
505,0.26845604
506,0.19758612
507,0.22800282
508,0.3574372
509,0.2507757
510,0.21919192
511,0.17384642
