,0
0,0.23211019
1,0.26421374
2,0.31944382
3,0.27077392
4,0.21990642
5,0.3512426
6,0.2536124
7,0.27718505
8,0.18742988
9,0.16418387
10,0.38748747
11,0.35592574
12,0.280676
13,0.22612855
14,0.2450347
15,0.286477
16,0.39077443
17,0.28933734
18,0.31088394
19,0.22633001
20,0.2254825
21,0.17748544
22,0.19711441
23,0.23589379
24,0.21867956
25,0.4266931
26,0.17222333
27,0.25821584
28,0.17757037
29,0.22756678
30,0.16277617
31,0.19784486
32,0.27592814
33,0.43430707
34,0.2439353
35,0.22702238
36,0.19904584
37,0.31193775
38,0.18314351
39,0.24484695
40,0.29498005
41,0.32244432
42,0.30272707
43,0.21343495
44,0.2587769
45,0.243354
46,0.26385763
47,0.25103295
48,0.30600703
49,0.29667693
50,0.21607094
51,0.21327269
52,0.20384595
53,0.25394818
54,0.22422194
55,0.3229078
56,0.25790814
57,0.20739931
58,0.1899084
59,0.2841181
60,0.23313804
61,0.2610778
62,0.2738142
63,0.36984807
64,0.19196415
65,0.25171003
66,0.25869894
67,0.24602982
68,0.23839179
69,0.23898305
70,0.27929854
71,0.24592686
72,0.18782628
73,0.21207595
74,0.25994202
75,0.32261425
76,0.19698742
77,0.29151925
78,0.3116304
79,0.21563075
80,0.25454327
81,0.36257172
82,0.22223727
83,0.20361643
84,0.21567747
85,0.27294007
86,0.22285435
87,0.25050563
88,0.20299307
89,0.16707149
90,0.18619052
91,0.28779754
92,0.2678206
93,0.2082009
94,0.2357038
95,0.36691308
96,0.3735304
97,0.22381645
98,0.18796492
99,0.20612444
100,0.24536878
101,0.36245108
102,0.32141483
103,0.27725005
104,0.31109002
105,0.21803987
106,0.25084388
107,0.4079417
108,0.2715841
109,0.40046525
110,0.26353675
111,0.24680023
112,0.32210773
113,0.3855592
114,0.19776875
115,0.23788571
116,0.46057373
117,0.36339727
118,0.25215852
119,0.24759446
120,0.19427733
121,0.23331021
122,0.18167646
123,0.21065733
124,0.23030427
125,0.24065152
126,0.4346972
127,0.3695263
128,0.21535227
129,0.17452416
130,0.25901362
131,0.23849767
132,0.35263819
133,0.37118575
134,0.25835654
135,0.21925387
136,0.23950674
137,0.24957836
138,0.16605547
139,0.32048014
140,0.17796297
141,0.38398713
142,0.2643078
143,0.239914
144,0.26489145
145,0.3429407
146,0.21680972
147,0.2077909
148,0.2145848
149,0.1712651
150,0.31600052
151,0.30554605
152,0.3693846
153,0.28343856
154,0.22147578
155,0.13992673
156,0.3414408
157,0.2112245
158,0.27811545
159,0.22796923
160,0.26183933
161,0.23669791
162,0.4607345
163,0.23907892
164,0.28625727
165,0.22144745
166,0.2620648
167,0.35908124
168,0.21753299
169,0.13779476
170,0.31551012
171,0.23909391
172,0.23226358
173,0.23493734
174,0.24099933
175,0.40442577
176,0.28453466
177,0.4118836
178,0.33073187
179,0.23763523
180,0.3397687
181,0.20142902
182,0.19354245
183,0.29810864
184,0.23194462
185,0.23572955
186,0.2832725
187,0.24688095
188,0.22985563
189,0.17033717
190,0.37857085
191,0.34346673
192,0.20437585
193,0.25843203
194,0.23241875
195,0.29329658
196,0.24392349
197,0.20034072
198,0.19994855
199,0.3839895
200,0.20808837
201,0.20086004
202,0.32955882
203,0.23781577
204,0.3381846
205,0.3904437
206,0.33186543
207,0.3074413
208,0.15686122
209,0.23557307
210,0.32729992
211,0.20983863
212,0.2539112
213,0.28472072
214,0.2158224
215,0.2525321
216,0.30978662
217,0.3464637
218,0.37414005
219,0.29731476
220,0.35998267
221,0.27523488
222,0.18850055
223,0.21076322
224,0.46171242
225,0.36896473
226,0.3247081
227,0.30750906
228,0.2611735
229,0.19970167
230,0.2021124
231,0.277445
232,0.19330928
233,0.31357238
234,0.3252111
235,0.24830872
236,0.30025005
237,0.28625065
238,0.33293533
239,0.2054091
240,0.38198996
241,0.2565343
242,0.31391165
243,0.388601
244,0.22703709
245,0.19833066
246,0.4138329
247,0.29944116
248,0.24719608
249,0.20230675
250,0.27690616
251,0.23937881
252,0.25020304
253,0.2446076
254,0.16831297
255,0.24391046
256,0.31946486
257,0.28599074
258,0.2741952
259,0.2597366
260,0.2037116
261,0.27973074
262,0.24009958
263,0.31695828
264,0.2644341
265,0.33752933
266,0.34622598
267,0.28786793
268,0.19620767
269,0.24568471
270,0.24484009
271,0.1979157
272,0.14993712
273,0.27211267
274,0.2965184
275,0.397388
276,0.22456941
277,0.25485978
278,0.17942467
279,0.35308728
280,0.33355886
281,0.24705775
282,0.34684563
283,0.36518997
284,0.18959403
285,0.17125052
286,0.22315565
287,0.27621067
288,0.19040048
289,0.4116766
290,0.20732458
291,0.1982631
292,0.32928148
293,0.22858141
294,0.23379502
295,0.23663142
296,0.29432476
297,0.21757784
298,0.21933359
299,0.18525997
300,0.2332665
301,0.22539434
302,0.3112918
303,0.21778975
304,0.23840791
305,0.3356697
306,0.28753734
307,0.43126273
308,0.274097
309,0.3034413
310,0.2993828
311,0.2928252
312,0.20076135
313,0.18361403
314,0.3803921
315,0.35031825
316,0.31175104
317,0.32399178
318,0.29171318
319,0.25841135
320,0.28702182
321,0.22420678
322,0.36573443
323,0.2736062
324,0.19188401
325,0.1900417
326,0.31948453
327,0.2506789
328,0.3774817
329,0.15912065
330,0.29916012
331,0.15344307
332,0.2207188
333,0.27256078
334,0.36085072
335,0.2559271
336,0.23711894
337,0.29752952
338,0.30458802
339,0.25359985
340,0.21342152
341,0.24552909
342,0.2970308
343,0.18009418
344,0.37565202
345,0.39750057
346,0.31255078
347,0.23089434
348,0.21435934
349,0.19421253
350,0.21576175
351,0.36388093
