,0
0,312
1,239
2,343
3,416
4,485
5,372
6,481
7,410
8,491
9,427
10,480
11,370
12,345
13,470
14,496
15,242
16,489
17,289
18,489
19,282
20,469
21,432
22,405
23,270
24,336
25,479
26,297
27,494
28,290
29,457
30,478
31,393
32,448
33,362
34,430
35,397
36,433
37,434
38,371
39,464
40,441
41,459
42,378
43,465
44,374
45,443
46,265
47,437
48,464
49,471
50,398
51,318
52,306
53,458
54,329
55,386
56,428
57,443
58,395
59,460
60,458
61,320
62,339
63,327
64,266
65,258
66,418
67,496
68,498
69,465
70,495
71,483
72,248
73,429
74,484
75,447
76,191
77,427
78,312
79,414
80,489
81,459
82,437
83,359
84,454
85,492
86,476
87,373
88,445
89,248
90,490
91,343
92,482
93,396
94,498
95,363
96,390
97,378
98,464
99,434
100,469
101,392
102,413
103,441
104,447
105,350
106,229
107,497
108,494
109,495
110,449
111,390
112,391
113,327
114,304
115,470
116,465
117,454
118,458
119,426
120,348
121,401
122,499
123,410
124,447
125,438
126,453
127,364
128,449
129,204
130,195
131,385
132,353
133,471
134,389
135,451
136,435
137,443
138,383
139,447
140,466
141,423
142,414
143,440
144,308
145,464
146,345
147,209
148,468
149,356
150,487
151,489
152,190
153,461
154,450
155,423
156,297
157,261
158,487
159,432
160,441
161,472
162,442
163,311
164,478
165,484
166,454
167,263
168,375
169,466
170,370
171,353
172,305
173,417
174,469
175,485
176,477
177,489
178,447
179,471
180,473
181,271
182,439
183,420
184,478
185,422
186,423
187,444
188,427
189,169
190,489
191,374
192,439
193,475
194,483
195,478
196,396
197,384
198,281
199,426
200,473
201,247
202,342
203,254
204,408
205,482
206,477
207,392
208,130
209,480
210,471
211,290
212,333
213,495
214,478
215,274
216,448
217,399
218,470
219,360
220,483
221,449
222,447
223,174
224,487
225,381
226,358
227,330
228,364
229,386
230,418
231,334
232,421
233,276
234,472
235,439
236,410
237,279
238,457
239,354
240,379
241,379
242,473
243,465
244,490
245,445
246,439
247,472
248,480
249,458
250,490
251,348
252,360
253,405
254,481
255,413
256,373
257,490
258,433
259,484
260,485
261,409
262,290
263,498
264,339
265,199
266,448
267,404
268,305
269,493
270,476
271,385
272,380
273,416
274,447
275,335
276,430
277,430
278,500
279,435
280,475
281,477
282,477
283,447
284,482
285,348
286,249
287,496
288,309
289,406
290,429
291,463
292,437
293,484
294,229
295,428
296,389
297,324
298,400
299,437
300,441
301,485
302,333
303,442
304,471
305,469
306,472
307,450
308,410
309,393
310,468
311,291
312,441
313,449
314,484
315,381
316,472
317,435
318,348
319,433
320,450
321,404
322,474
323,492
324,371
325,379
326,429
327,374
328,359
329,406
330,442
331,342
332,376
333,354
334,314
335,482
336,469
337,362
338,451
339,286
340,486
341,463
342,273
343,454
344,500
345,494
346,471
347,342
348,443
349,452
350,380
351,460
352,468
353,448
354,400
355,477
356,447
357,496
358,422
359,364
360,482
361,377
362,365
363,320
364,419
365,479
366,495
367,409
368,468
369,381
370,392
371,416
372,494
373,498
374,495
375,223
376,401
377,373
378,377
379,290
380,484
381,415
382,244
383,496
384,251
385,313
386,382
387,455
388,423
389,252
390,472
391,383
392,395
393,473
394,372
395,422
396,205
397,431
398,438
399,440
400,468
401,286
402,424
403,492
404,498
405,364
406,491
407,464
408,264
409,224
410,455
411,455
412,314
413,495
414,298
415,307
416,249
417,336
418,392
419,279
420,469
421,359
422,222
423,481
424,421
425,488
426,420
427,489
428,338
429,489
430,469
431,353
432,259
433,495
434,417
435,473
436,499
437,439
438,376
439,392
440,417
441,260
442,487
443,231
444,412
445,422
446,441
447,433
448,414
449,149
450,402
451,438
452,479
453,474
454,417
455,250
456,411
457,481
458,372
459,335
460,425
461,429
462,411
463,442
464,491
465,469
466,424
467,279
468,415
469,452
470,458
471,480
472,497
473,375
474,297
475,485
476,441
477,477
478,439
479,406
480,493
481,401
482,335
483,373
484,454
485,411
486,456
487,493
488,425
489,321
490,487
491,358
492,273
493,174
494,460
495,372
496,498
497,315
498,352
499,286
500,297
501,224
502,467
503,440
504,472
505,243
506,497
507,405
508,450
509,340
510,199
511,418
