,0
0,318
1,393
2,467
3,497
4,497
5,271
6,490
7,346
8,500
9,463
10,497
11,338
12,253
13,495
14,494
15,331
16,486
17,389
18,493
19,260
20,496
21,298
22,479
23,304
24,392
25,481
26,288
27,497
28,299
29,425
30,499
31,394
32,482
33,410
34,262
35,341
36,480
37,498
38,353
39,457
40,498
41,499
42,387
43,396
44,426
45,498
46,382
47,281
48,499
49,496
50,261
51,438
52,284
53,348
54,290
55,266
56,489
57,486
58,271
59,498
60,399
61,286
62,191
63,351
64,390
65,309
66,228
67,499
68,404
69,498
70,422
71,287
72,386
73,497
74,496
75,446
76,364
77,495
78,222
79,411
80,497
81,495
82,350
83,487
84,497
85,498
86,500
87,322
88,499
89,396
90,481
91,316
92,494
93,397
94,500
95,293
96,307
97,389
98,449
99,498
100,421
101,478
102,271
103,474
104,493
105,284
106,296
107,438
108,496
109,392
110,238
111,306
112,252
113,474
114,226
115,465
116,500
117,490
118,490
119,282
120,362
121,262
122,441
123,410
124,488
125,244
126,485
127,217
128,288
129,215
130,293
131,345
132,351
133,463
134,336
135,476
136,370
137,495
138,457
139,495
140,277
141,487
142,455
143,458
144,361
145,497
146,480
147,306
148,491
149,186
150,496
151,493
152,319
153,499
154,495
155,416
156,248
157,460
158,494
159,496
160,463
161,497
162,497
163,233
164,225
165,490
166,341
167,438
168,323
169,496
170,319
171,316
172,201
173,484
174,497
175,499
176,492
177,239
178,277
179,499
180,494
181,238
182,492
183,489
184,495
185,483
186,493
187,500
188,481
189,367
190,489
191,220
192,471
193,500
194,496
195,498
196,337
197,336
198,393
199,500
200,499
201,279
202,327
203,227
204,338
205,498
206,499
207,371
208,225
209,391
210,496
211,293
212,381
213,441
214,494
215,385
216,381
217,312
218,475
219,329
220,500
221,373
222,498
223,317
224,494
225,238
226,225
227,348
228,312
229,412
230,405
231,481
232,362
233,448
234,289
235,497
236,275
237,342
238,499
239,240
240,283
241,464
242,497
243,497
244,495
245,479
246,490
247,498
248,489
249,279
250,308
251,439
252,329
253,263
254,499
255,498
256,243
257,499
258,286
259,376
260,500
261,274
262,411
263,489
264,387
265,286
266,498
267,303
268,457
269,500
270,500
271,436
272,480
273,315
274,430
275,228
276,237
277,499
278,500
279,388
280,498
281,495
282,419
283,490
284,482
285,262
286,296
287,476
288,385
289,334
290,359
291,499
292,447
293,496
294,332
295,383
296,243
297,185
298,270
299,490
300,287
301,499
302,471
303,498
304,498
305,468
306,499
307,494
308,348
309,494
310,486
311,252
312,499
313,495
314,498
315,464
316,263
317,489
318,421
319,259
320,287
321,340
322,500
323,499
324,353
325,256
326,455
327,279
328,438
329,432
330,241
331,210
332,423
333,475
334,269
335,491
336,499
337,274
338,452
339,484
340,498
341,424
342,344
343,347
344,500
345,499
346,492
347,467
348,280
349,249
350,224
351,351
352,376
353,492
354,340
355,496
356,438
357,499
358,350
359,282
360,499
361,327
362,474
363,294
364,406
365,352
366,499
367,473
368,467
369,409
370,221
371,480
372,499
373,499
374,499
375,351
376,331
377,267
378,425
379,321
380,498
381,489
382,280
383,500
384,329
385,226
386,482
387,485
388,500
389,366
390,496
391,200
392,253
393,477
394,318
395,480
396,252
397,488
398,485
399,307
400,487
401,371
402,495
403,499
404,498
405,400
406,451
407,401
408,450
409,333
410,498
411,473
412,290
413,497
414,327
415,274
416,425
417,479
418,405
419,275
420,489
421,452
422,258
423,500
424,457
425,445
426,419
427,498
428,349
429,496
430,498
431,278
432,160
433,499
434,387
435,498
436,498
437,414
438,422
439,222
440,476
441,230
442,499
443,354
444,336
445,492
446,305
447,463
448,489
449,367
450,346
451,495
452,500
453,497
454,382
455,408
456,441
457,498
458,454
459,431
460,498
461,445
462,279
463,408
464,497
465,491
466,496
467,381
468,478
469,495
470,313
471,499
472,499
473,307
474,253
475,390
476,466
477,408
478,470
479,374
480,461
481,479
482,249
483,357
484,414
485,426
486,498
487,496
488,335
489,378
490,496
491,491
492,281
493,356
494,499
495,440
496,499
497,345
498,353
499,405
500,262
501,302
502,498
503,498
504,494
505,250
506,408
507,313
508,497
509,455
510,235
511,431
