,0
0,0.21703899
1,0.21973327
2,0.23362263
3,0.29991996
4,0.4034262
5,0.25698796
6,0.32456177
7,0.24529517
8,0.45540664
9,0.26341164
10,0.39077038
11,0.19451126
12,0.21428081
13,0.43345228
14,0.46134248
15,0.27879524
16,0.35025975
17,0.22419578
18,0.42171037
19,0.26162994
20,0.32899028
21,0.30201405
22,0.26581213
23,0.22271562
24,0.1849916
25,0.2680603
26,0.2193252
27,0.46860707
28,0.22390462
29,0.2902941
30,0.28987342
31,0.16879916
32,0.27218154
33,0.16446897
34,0.25725675
35,0.21554716
36,0.23666877
37,0.24003246
38,0.20636208
39,0.29527283
40,0.29214877
41,0.32553884
42,0.18808605
43,0.21653888
44,0.20196602
45,0.2963202
46,0.24169934
47,0.23495504
48,0.34858525
49,0.38606054
50,0.2256723
51,0.18521696
52,0.18572268
53,0.34878096
54,0.27086318
55,0.29749435
56,0.3038748
57,0.23404896
58,0.27470773
59,0.32051316
60,0.18470158
61,0.23688123
62,0.27012587
63,0.22229618
64,0.17730711
65,0.2459355
66,0.22098094
67,0.49234417
68,0.37677687
69,0.3216251
70,0.33718157
71,0.29782706
72,0.17654102
73,0.29524982
74,0.4130856
75,0.27400827
76,0.18376902
77,0.24316779
78,0.2515036
79,0.25562704
80,0.43423575
81,0.40831292
82,0.20555118
83,0.20995298
84,0.22051454
85,0.4451843
86,0.3592005
87,0.16512951
88,0.24161947
89,0.2510159
90,0.40250582
91,0.18523706
92,0.32226914
93,0.31800318
94,0.43109256
95,0.19604973
96,0.24224618
97,0.24437128
98,0.3267473
99,0.31517917
100,0.29409358
101,0.1857724
102,0.22238699
103,0.24888615
104,0.2917875
105,0.25497144
106,0.23722947
107,0.45057508
108,0.43358344
109,0.36745858
110,0.25164345
111,0.22249547
112,0.2782352
113,0.20783687
114,0.22512604
115,0.35322696
116,0.41359073
117,0.36587214
118,0.36684865
119,0.24474448
120,0.1868511
121,0.266621
122,0.47379458
123,0.2556305
124,0.26978236
125,0.27916026
126,0.24265005
127,0.21656784
128,0.2162062
129,0.23773041
130,0.21256015
131,0.22837928
132,0.17718041
133,0.32109195
134,0.21017438
135,0.29454356
136,0.27045143
137,0.38303852
138,0.20152763
139,0.3529564
140,0.32110834
141,0.28644633
142,0.2607326
143,0.36481637
144,0.22132298
145,0.3263865
146,0.2816651
147,0.24998713
148,0.36501834
149,0.2214905
150,0.4022733
151,0.38937283
152,0.20545033
153,0.40369588
154,0.3644364
155,0.24281493
156,0.20317051
157,0.20757854
158,0.39636025
159,0.3475008
160,0.26122943
161,0.39227837
162,0.36449936
163,0.2751631
164,0.28311226
165,0.34351897
166,0.31629497
167,0.22084954
168,0.27212298
169,0.33038783
170,0.19490996
171,0.28688547
172,0.21724516
173,0.33071333
174,0.3401363
175,0.30972692
176,0.37924415
177,0.34756023
178,0.22742927
179,0.30562764
180,0.33709136
181,0.21716341
182,0.34199756
183,0.2819171
184,0.3573566
185,0.27256176
186,0.26774782
187,0.33801997
188,0.3264398
189,0.25989348
190,0.29968566
191,0.22394243
192,0.23719543
193,0.31138384
194,0.37254488
195,0.36822677
196,0.26392615
197,0.25615865
198,0.1895557
199,0.33241937
200,0.38238367
201,0.2369118
202,0.21698111
203,0.26498324
204,0.22930685
205,0.39821917
206,0.33124077
207,0.19883169
208,0.22111642
209,0.34522188
210,0.41237807
211,0.22381237
212,0.23972833
213,0.34257984
214,0.3354048
215,0.15915608
216,0.21559316
217,0.33097333
218,0.3028317
219,0.22050685
220,0.31609976
221,0.22497901
222,0.30101132
223,0.22486717
224,0.31862468
225,0.18979487
226,0.2764364
227,0.250781
228,0.21874253
229,0.22659047
230,0.26340455
231,0.17034528
232,0.22611934
233,0.16306178
234,0.36801547
235,0.25756443
236,0.20674923
237,0.26935387
238,0.3971253
239,0.28588545
240,0.18856049
241,0.25936824
242,0.46202257
243,0.4101372
244,0.4110457
245,0.2798196
246,0.31625712
247,0.29711962
248,0.36027643
249,0.3099785
250,0.38413513
251,0.2123491
252,0.16790128
253,0.20158868
254,0.37588635
255,0.26279187
256,0.23270552
257,0.50553006
258,0.27744502
259,0.326554
260,0.34603754
261,0.2623707
262,0.24662045
263,0.33742082
264,0.20705892
265,0.20527741
266,0.2878372
267,0.32314065
268,0.23249558
269,0.38501
270,0.40428874
271,0.20729908
272,0.24870226
273,0.22084121
274,0.26288325
275,0.27460364
276,0.3525895
277,0.21180187
278,0.49522054
279,0.28990832
280,0.35614276
281,0.40729272
282,0.31266832
283,0.32224473
284,0.20740843
285,0.19841437
286,0.29151762
287,0.27402818
288,0.2674991
289,0.1927435
290,0.25966084
291,0.30609274
292,0.25049934
293,0.3522063
294,0.14094293
295,0.2829748
296,0.1842103
297,0.24508497
298,0.1747705
299,0.30821526
300,0.25241414
301,0.3949414
302,0.27334726
303,0.2719318
304,0.24154997
305,0.30829585
306,0.32153046
307,0.28053832
308,0.2781794
309,0.21859448
310,0.3555659
311,0.23937465
312,0.29191166
313,0.34113452
314,0.33547425
315,0.23300923
316,0.3852083
317,0.23385656
318,0.254423
319,0.24801476
320,0.27136552
321,0.25797537
322,0.35861665
323,0.40572304
324,0.28757322
325,0.23165634
326,0.23228106
327,0.2519002
328,0.17330225
329,0.24343684
330,0.23773196
331,0.24582104
332,0.25818264
333,0.24136773
334,0.2365156
335,0.3428747
336,0.2842621
337,0.30414078
338,0.27116233
339,0.20642096
340,0.33247316
341,0.26579309
342,0.19877464
343,0.29863876
344,0.50510997
345,0.3568011
346,0.31765383
347,0.2472015
348,0.19931501
349,0.28876323
350,0.19796741
351,0.24431394
352,0.2831974
353,0.28610402
354,0.30672264
355,0.35571578
356,0.30673802
357,0.41943136
358,0.22349572
359,0.25902474
360,0.39438105
361,0.2258921
362,0.23184073
363,0.1606457
364,0.18217137
365,0.29930273
366,0.49877578
367,0.20068733
368,0.2750316
369,0.19481364
370,0.27314222
371,0.2981275
372,0.39418465
373,0.49570453
374,0.43406194
375,0.20348665
376,0.26864907
377,0.19195625
378,0.15493429
379,0.24320939
380,0.34644502
381,0.26326305
382,0.18649717
383,0.4762984
384,0.26208344
385,0.22937611
386,0.27247107
387,0.31668532
388,0.3290232
389,0.18583941
390,0.3964622
391,0.30470616
392,0.34192476
393,0.3160076
394,0.21378002
395,0.31044322
396,0.25201887
397,0.2743501
398,0.3254814
399,0.28398502
400,0.3131007
401,0.17981912
402,0.33843333
403,0.27884877
404,0.4933643
405,0.16012639
406,0.34015077
407,0.27837375
408,0.15215074
409,0.19775023
410,0.29417437
411,0.27035913
412,0.2660165
413,0.31354296
414,0.16194996
415,0.21296987
416,0.1944691
417,0.25919008
418,0.25009322
419,0.21346709
420,0.2880453
421,0.21455231
422,0.24376702
423,0.3336553
424,0.20018251
425,0.32386443
426,0.21175417
427,0.3114062
428,0.24469195
429,0.40285796
430,0.35065466
431,0.25164914
432,0.21887839
433,0.4301203
434,0.22274254
435,0.33909994
436,0.3447901
437,0.165479
438,0.18048541
439,0.2163446
440,0.3396247
441,0.20107809
442,0.38268906
443,0.23944199
444,0.21791273
445,0.33767593
446,0.21901065
447,0.26849884
448,0.3258227
449,0.20678926
450,0.19493626
451,0.22028846
452,0.3113259
453,0.4690572
454,0.27676922
455,0.20722094
456,0.22018093
457,0.39405274
458,0.23973317
459,0.22764064
460,0.25947875
461,0.20652843
462,0.31765348
463,0.21453187
464,0.35248137
465,0.2619213
466,0.26805782
467,0.17564417
468,0.27352896
469,0.2704532
470,0.30395624
471,0.34557277
472,0.34048963
473,0.21605195
474,0.22382751
475,0.28335497
476,0.26684958
477,0.25565264
478,0.2816258
479,0.19957879
480,0.3299331
481,0.26920837
482,0.25390854
483,0.24401735
484,0.25279462
485,0.27791506
486,0.32345834
487,0.37841403
488,0.19384865
489,0.22797528
490,0.36021835
491,0.19574785
492,0.1669656
493,0.21103854
494,0.2840267
495,0.2879405
496,0.39348236
497,0.25663915
498,0.1946024
499,0.20216954
500,0.24945039
501,0.22758123
502,0.25267172
503,0.29400623
504,0.3509101
505,0.23298235
506,0.4092821
507,0.305107
508,0.3239765
509,0.25220644
510,0.25701213
511,0.17538819
