,0
0,0.18686488
1,0.24046351
2,0.2649644
3,0.41694194
4,0.477103
5,0.21209766
6,0.40502802
7,0.2136339
8,0.58100104
9,0.34719962
10,0.46344805
11,0.23655263
12,0.18512529
13,0.49880788
14,0.35482413
15,0.21337748
16,0.45721218
17,0.2635972
18,0.4275533
19,0.22540423
20,0.4382879
21,0.1912556
22,0.35473394
23,0.21159753
24,0.2272912
25,0.25256073
26,0.22390267
27,0.5071907
28,0.19105999
29,0.24981631
30,0.486839
31,0.2245731
32,0.37150508
33,0.25094634
34,0.18196926
35,0.16957772
36,0.32068187
37,0.39847404
38,0.17358282
39,0.27982768
40,0.41965467
41,0.46903414
42,0.21681118
43,0.18514264
44,0.23910603
45,0.3913209
46,0.26039332
47,0.22777198
48,0.57108116
49,0.56753767
50,0.21380407
51,0.2410303
52,0.22412962
53,0.21590103
54,0.19057499
55,0.20108283
56,0.38279957
57,0.31371763
58,0.19258237
59,0.56509364
60,0.18487138
61,0.1799562
62,0.1882368
63,0.23537236
64,0.21553679
65,0.2104941
66,0.19478695
67,0.5465412
68,0.199843
69,0.55060446
70,0.2438849
71,0.18194564
72,0.24731733
73,0.45884794
74,0.44905096
75,0.24518795
76,0.24394453
77,0.37003648
78,0.19584598
79,0.21441534
80,0.52145284
81,0.47551095
82,0.21117571
83,0.30445904
84,0.3358824
85,0.4485426
86,0.4760263
87,0.22761825
88,0.38687366
89,0.23478231
90,0.31554377
91,0.22530404
92,0.4694836
93,0.24803196
94,0.51824194
95,0.2804652
96,0.18314284
97,0.2732722
98,0.3102051
99,0.4699326
100,0.22233619
101,0.31420574
102,0.18315125
103,0.26888058
104,0.40335822
105,0.24450663
106,0.2144109
107,0.29595515
108,0.5039735
109,0.24872212
110,0.18573657
111,0.23784149
112,0.20580854
113,0.30382887
114,0.18562797
115,0.35818285
116,0.5464263
117,0.40501603
118,0.35421836
119,0.17541422
120,0.21667616
121,0.20862508
122,0.20080978
123,0.18808447
124,0.3217852
125,0.22518022
126,0.28417778
127,0.19507483
128,0.19539319
129,0.20571062
130,0.23429203
131,0.2523684
132,0.19357875
133,0.24664696
134,0.21621136
135,0.36911562
136,0.24775155
137,0.5293392
138,0.24457899
139,0.40992096
140,0.2117641
141,0.42926902
142,0.32981038
143,0.33806634
144,0.20921832
145,0.33773124
146,0.36098003
147,0.23092246
148,0.40333635
149,0.21041307
150,0.45123127
151,0.5145643
152,0.20015544
153,0.48297527
154,0.4060227
155,0.23895831
156,0.17154013
157,0.3462767
158,0.50867593
159,0.4956944
160,0.2854095
161,0.46289548
162,0.4668072
163,0.22729072
164,0.20934136
165,0.35057056
166,0.29586294
167,0.23826781
168,0.21112722
169,0.38853052
170,0.19525117
171,0.28614327
172,0.22478656
173,0.37753844
174,0.42480057
175,0.40885484
176,0.40281734
177,0.19006488
178,0.19923754
179,0.37924105
180,0.43685764
181,0.23951906
182,0.43677416
183,0.41985634
184,0.44770095
185,0.36179036
186,0.41906774
187,0.4091633
188,0.38172525
189,0.25183237
190,0.41947967
191,0.1896522
192,0.32056105
193,0.53699213
194,0.38299817
195,0.45221388
196,0.22433457
197,0.2254312
198,0.19358566
199,0.4505096
200,0.49213094
201,0.20792845
202,0.15993643
203,0.3101272
204,0.19180253
205,0.5390902
206,0.45130372
207,0.23389092
208,0.22030263
209,0.27043217
210,0.55834794
211,0.24676952
212,0.22331816
213,0.2253753
214,0.45444524
215,0.22421831
216,0.24311873
217,0.26677507
218,0.3421974
219,0.1904074
220,0.5411836
221,0.21315376
222,0.46752393
223,0.2222523
224,0.4039145
225,0.15344511
226,0.1831145
227,0.25051838
228,0.18779477
229,0.27557284
230,0.23307768
231,0.31303436
232,0.18967542
233,0.2629034
234,0.20221144
235,0.31314462
236,0.18450542
237,0.24047232
238,0.43931323
239,0.22999682
240,0.19748577
241,0.37226516
242,0.5288332
243,0.4897809
244,0.4248157
245,0.3860803
246,0.4322517
247,0.45177835
248,0.32873344
249,0.15791646
250,0.20467627
251,0.22225471
252,0.24640459
253,0.17974156
254,0.37974092
255,0.4299104
256,0.20178977
257,0.58143127
258,0.17504235
259,0.22320357
260,0.5233197
261,0.20202926
262,0.24439745
263,0.267197
264,0.21283628
265,0.22976702
266,0.47819987
267,0.20747378
268,0.32760778
269,0.56087124
270,0.5662955
271,0.26216924
272,0.33139658
273,0.2073515
274,0.20894997
275,0.26500505
276,0.18829158
277,0.3475451
278,0.46864235
279,0.21695176
280,0.52210885
281,0.47300336
282,0.24416238
283,0.40016288
284,0.27775943
285,0.21346685
286,0.21530056
287,0.2690636
288,0.20387265
289,0.17871913
290,0.23353869
291,0.45913053
292,0.23508292
293,0.4586983
294,0.19754434
295,0.24153686
296,0.19266558
297,0.23774031
298,0.17699143
299,0.50600654
300,0.1936222
301,0.49441075
302,0.31379426
303,0.49423113
304,0.3832905
305,0.260055
306,0.50058705
307,0.38937476
308,0.1994136
309,0.3287875
310,0.38315213
311,0.25042263
312,0.54339564
313,0.37040836
314,0.5503503
315,0.28464574
316,0.21628588
317,0.40563887
318,0.2713524
319,0.18492895
320,0.1970096
321,0.20745057
322,0.50708866
323,0.50010437
324,0.24473523
325,0.19522682
326,0.3103131
327,0.22544777
328,0.19611539
329,0.25806984
330,0.20486873
331,0.24536526
332,0.22239426
333,0.3447498
334,0.2043734
335,0.41093528
336,0.43957123
337,0.22103557
338,0.22667137
339,0.31267357
340,0.43799356
341,0.24501428
342,0.21142511
343,0.23503469
344,0.5341314
345,0.39501065
346,0.46031237
347,0.22515321
348,0.17064644
349,0.17611264
350,0.25695387
351,0.17163552
352,0.19740024
353,0.44105667
354,0.22647095
355,0.44029498
356,0.22082496
357,0.5212425
358,0.19841526
359,0.22449401
360,0.47266942
361,0.21138908
362,0.36679292
