,0
0,0.24431404
1,0.20165938
2,0.41227722
3,0.34536767
4,0.23705396
5,0.36634284
6,0.25972694
7,0.33321998
8,0.31790406
9,0.2773837
10,0.288808
11,0.24897474
12,0.3914031
13,0.23662259
14,0.36339468
15,0.20475967
16,0.32004827
17,0.24258378
18,0.47689062
19,0.27290058
20,0.28451937
21,0.3291366
22,0.20003793
23,0.24750882
24,0.17935947
25,0.22734833
26,0.2868069
27,0.25147682
28,0.2361064
29,0.2277356
30,0.2782085
31,0.38070017
32,0.39753473
33,0.21080734
34,0.24670073
35,0.20570898
36,0.25274152
37,0.34484017
38,0.27236956
39,0.29185984
40,0.44459876
41,0.3009677
42,0.20300293
43,0.20821628
44,0.26727942
45,0.20724319
46,0.26657134
47,0.25678277
48,0.28887403
49,0.37257856
50,0.2318095
51,0.2549984
52,0.25449795
53,0.24358553
54,0.20218995
55,0.3757972
56,0.25782105
57,0.18908972
58,0.23934668
59,0.3582582
60,0.28049704
61,0.2722755
62,0.2631058
63,0.2768271
64,0.2083516
65,0.25563383
66,0.2758655
67,0.3509009
68,0.25184584
69,0.22961141
70,0.28391075
71,0.2752881
72,0.28992814
73,0.24909791
74,0.27819484
75,0.29930726
76,0.36258668
77,0.40783906
78,0.2406854
79,0.36175883
80,0.22959271
81,0.24908923
82,0.1855104
83,0.28641224
84,0.26279202
85,0.24026701
86,0.3327518
87,0.23415396
88,0.31142408
89,0.32875457
90,0.28642464
91,0.4093369
92,0.24597085
93,0.27831292
94,0.3116548
95,0.3974679
96,0.18869379
97,0.2774095
98,0.23910871
99,0.31280142
100,0.24870144
101,0.22262526
102,0.22421768
103,0.25707483
104,0.27746588
105,0.23132676
106,0.23024163
107,0.34168205
108,0.23682043
109,0.2840166
110,0.24403214
111,0.23817661
112,0.2407973
113,0.15070915
114,0.2657008
115,0.2782759
116,0.25094134
117,0.26421213
118,0.2926187
119,0.42572638
120,0.40674648
121,0.33043984
122,0.3290468
123,0.28831452
124,0.32616794
125,0.35982338
126,0.24513789
127,0.36309922
128,0.22829363
129,0.23667878
130,0.19135262
131,0.35966593
132,0.41397142
133,0.2587288
134,0.23467138
135,0.40341902
136,0.21814367
137,0.2809424
138,0.28900206
139,0.3299098
140,0.25810903
141,0.21626157
142,0.22421968
143,0.32823062
144,0.19677347
145,0.23829734
146,0.16653496
147,0.3367049
148,0.28208578
149,0.23974329
150,0.2258181
151,0.24225399
152,0.18321747
153,0.23235777
154,0.35018218
155,0.24678478
156,0.36558318
157,0.1959857
158,0.27048564
159,0.2815091
160,0.2427641
161,0.43000543
162,0.23742382
163,0.28003636
164,0.2958391
165,0.41857904
166,0.29076916
167,0.22401175
168,0.3237754
169,0.27392682
170,0.4074505
171,0.3739283
172,0.19796906
173,0.45351446
174,0.28401345
175,0.18338874
176,0.31193092
177,0.28671935
178,0.33463717
179,0.35098183
180,0.40309536
181,0.44077307
182,0.33816135
183,0.30201358
184,0.2733069
185,0.34832132
186,0.2339255
187,0.26541546
188,0.34461173
189,0.3488695
190,0.22501826
191,0.22733283
192,0.4088251
193,0.3965538
194,0.2458357
195,0.25769162
196,0.29150215
197,0.22432503
198,0.31211925
199,0.22633877
200,0.2874176
201,0.35807204
202,0.2028121
203,0.24122858
204,0.28750688
205,0.2282354
206,0.24111763
207,0.39924765
208,0.15707394
209,0.34564835
210,0.30384153
211,0.2552566
212,0.46220353
213,0.2674011
214,0.26189426
215,0.21047851
216,0.22352478
217,0.31360742
218,0.22098368
219,0.22280183
220,0.36018872
221,0.29700768
222,0.46043885
223,0.19652703
224,0.38004366
225,0.26091182
226,0.2799511
227,0.39724743
228,0.48814952
229,0.22691932
230,0.32695496
231,0.36891377
232,0.20828393
233,0.38565564
234,0.32485652
235,0.2858565
236,0.23374404
237,0.24025556
238,0.40213436
239,0.47956893
240,0.19811842
241,0.1909158
242,0.27990893
243,0.32845503
244,0.29114106
245,0.48557276
246,0.40341365
247,0.23615003
248,0.21076557
249,0.24035016
250,0.27728814
251,0.38771617
252,0.262654
253,0.19379523
254,0.26152158
255,0.23638692
256,0.26880014
257,0.27176237
258,0.2706189
259,0.28895116
260,0.17565973
261,0.30150825
262,0.44738823
263,0.28851587
264,0.23905763
265,0.30893603
266,0.38730872
267,0.35155928
268,0.21495828
269,0.2182289
270,0.23550613
271,0.21989426
272,0.34422934
273,0.20878112
274,0.23483285
275,0.27497602
276,0.22206306
277,0.27334082
278,0.29362014
279,0.25641638
280,0.24243772
281,0.21499267
282,0.23389411
283,0.2988434
284,0.26125157
285,0.27699947
286,0.26513097
287,0.29559144
288,0.42320102
289,0.24487308
290,0.24694145
291,0.29363954
292,0.47110227
293,0.26675656
294,0.20749196
295,0.34946918
296,0.17192414
297,0.2691065
298,0.20547312
299,0.34731826
300,0.27428478
301,0.24640727
302,0.24220219
303,0.28477606
304,0.25546226
305,0.16611135
306,0.33986196
307,0.39421892
308,0.3824786
309,0.2526502
310,0.26839963
311,0.442528
312,0.23901677
313,0.2850815
314,0.2335538
315,0.44162437
316,0.2771573
317,0.21225534
318,0.24856834
319,0.19403926
320,0.22364861
321,0.32861295
322,0.2457383
323,0.26971084
324,0.39690316
325,0.4842338
326,0.22995937
327,0.2978561
328,0.24049532
329,0.23941982
330,0.28016892
331,0.2757269
332,0.49125305
333,0.2591617
334,0.22731274
335,0.22340107
336,0.40761366
337,0.41728833
338,0.28195146
339,0.2900643
340,0.23252475
341,0.265659
342,0.37614602
343,0.2707677
344,0.29442236
345,0.32244366
346,0.30420396
347,0.3771606
348,0.23263213
349,0.27578944
350,0.25412816
351,0.28851956
352,0.23956609
353,0.26755342
354,0.29136264
355,0.3191846
356,0.24113733
357,0.29972118
358,0.26079604
359,0.24855831
360,0.26136512
361,0.24053356
362,0.29452246
363,0.18227115
364,0.39041042
365,0.20858091
366,0.27425417
367,0.33848548
368,0.23065265
369,0.40654403
370,0.23244666
371,0.40879327
372,0.30396158
373,0.2921588
374,0.20295903
375,0.31601787
376,0.52824247
377,0.2839036
378,0.18214154
379,0.39945093
380,0.22844546
381,0.23984842
382,0.2078674
383,0.23887497
384,0.20189583
385,0.37050968
386,0.2778098
387,0.31619766
388,0.32702422
389,0.36097628
390,0.261267
391,0.48063272
392,0.25876188
393,0.24646288
394,0.42148596
395,0.36837232
396,0.21606222
397,0.21982051
398,0.25972062
399,0.26324755
400,0.26553395
401,0.1772674
402,0.24598555
403,0.22583394
404,0.25905594
405,0.24544577
406,0.26731923
407,0.25695476
408,0.18061788
409,0.19667336
410,0.25897115
411,0.27180722
412,0.2550383
413,0.24968943
414,0.4146434
415,0.30280086
416,0.2028377
417,0.21079797
418,0.48057243
419,0.21776369
420,0.28058138
421,0.25228715
422,0.20658092
423,0.21702565
424,0.22391132
425,0.25081146
426,0.26496953
427,0.2891194
428,0.23442736
429,0.24183053
430,0.19167723
431,0.24557066
432,0.24671915
433,0.2247574
434,0.2421563
435,0.2691149
436,0.29773188
437,0.36848506
438,0.2182951
439,0.21497294
440,0.25494695
441,0.22464225
442,0.2526573
443,0.38674527
444,0.323621
445,0.40098238
446,0.22772965
447,0.27745408
448,0.3020082
449,0.34368384
450,0.35519296
451,0.2527266
452,0.207331
453,0.2533921
454,0.2944044
455,0.20774916
456,0.27815026
457,0.26231435
458,0.38743505
459,0.23755872
460,0.21905896
461,0.19935052
462,0.25194857
463,0.39420915
464,0.30274814
465,0.21827808
466,0.2493741
467,0.40248945
468,0.2567773
469,0.40199476
470,0.20192155
471,0.25575268
472,0.26292473
473,0.24305692
474,0.3239513
475,0.52567494
476,0.21452099
477,0.18092984
478,0.40530965
479,0.25504115
480,0.28862453
481,0.33192748
482,0.29841447
483,0.4038219
484,0.42603973
485,0.3919136
486,0.22693661
487,0.20995986
488,0.38563216
489,0.408513
490,0.25962168
491,0.24409765
492,0.16201508
493,0.3336791
494,0.24543437
495,0.33844927
496,0.2557205
497,0.40403193
498,0.21503365
499,0.2742469
500,0.279507
501,0.31730855
502,0.36138025
