,0
0,0.28575867
1,0.37531137
2,0.61464137
3,0.55403
4,0.26024175
5,0.21354748
6,0.2992965
7,0.50252986
8,0.2268607
9,0.4639124
10,0.23423669
11,0.19611108
12,0.4766893
13,0.21380474
14,0.49027294
15,0.3205709
16,0.43129224
17,0.22677098
18,0.6037022
19,0.2368072
20,0.21569265
21,0.19244419
22,0.26787934
23,0.29314256
24,0.24902822
25,0.19874233
26,0.16600016
27,0.26518327
28,0.19323012
29,0.26373038
30,0.24407525
31,0.548453
32,0.5204412
33,0.23961905
34,0.28986344
35,0.20137063
36,0.32241207
37,0.6383492
38,0.3177803
39,0.24192515
40,0.55199945
41,0.4766799
42,0.22201851
43,0.20282412
44,0.30190128
45,0.24146879
46,0.25672138
47,0.28393272
48,0.17011073
49,0.52662075
50,0.2954381
51,0.20509498
52,0.24453825
53,0.20988224
54,0.2522263
55,0.44589424
56,0.34360597
57,0.3017646
58,0.23449834
59,0.4375241
60,0.20710315
61,0.19889972
62,0.2693079
63,0.25688112
64,0.24772924
65,0.1991413
66,0.21085738
67,0.38825372
68,0.23441082
69,0.17292808
70,0.25653714
71,0.17274867
72,0.42931294
73,0.23105986
74,0.23952231
75,0.1925956
76,0.5513536
77,0.58547556
78,0.26589945
79,0.38993096
80,0.2953307
81,0.22892524
82,0.23046434
83,0.5893045
84,0.28953093
85,0.20620485
86,0.47788525
87,0.2719641
88,0.5066556
89,0.5865818
90,0.17105615
91,0.56458914
92,0.23110053
93,0.3481241
94,0.17369503
95,0.5826155
96,0.24440509
97,0.16778444
98,0.25244316
99,0.17300394
100,0.19885242
101,0.21070868
102,0.22087526
103,0.21861088
104,0.22599012
105,0.2490395
106,0.27079117
107,0.16117284
108,0.25088534
109,0.26854375
110,0.23306313
111,0.24402015
112,0.20605764
113,0.29535288
114,0.32743502
115,0.17970365
116,0.23607916
117,0.26078582
118,0.17299685
119,0.4469347
120,0.6447693
121,0.26271492
122,0.20041235
123,0.16622794
124,0.48652953
125,0.26236093
126,0.27117246
127,0.54326415
128,0.21351734
129,0.2386872
130,0.18908201
131,0.59480214
132,0.6396823
133,0.35563022
134,0.20081271
135,0.5876247
136,0.22024724
137,0.3870946
138,0.18911935
139,0.42351037
140,0.21240538
141,0.23679897
142,0.24155672
143,0.43079257
144,0.24385525
145,0.19651046
146,0.20162752
147,0.5157807
148,0.265792
149,0.23767883
150,0.23834498
151,0.28685778
152,0.29069215
153,0.18161356
154,0.16113502
155,0.25520533
156,0.43113118
157,0.25383615
158,0.2494371
159,0.1683025
160,0.20342082
161,0.5792031
162,0.25806272
163,0.24698552
164,0.20633309
165,0.6434026
166,0.27496126
167,0.3757344
168,0.41242248
169,0.23709872
170,0.6370261
171,0.42013335
172,0.23599026
173,0.56076276
174,0.19300485
175,0.22350433
176,0.2610546
177,0.15595919
178,0.36116222
179,0.13675387
180,0.6152644
181,0.5751328
182,0.16082303
183,0.158041
184,0.19134566
185,0.58322704
186,0.20428059
187,0.20417544
188,0.43957523
189,0.5308081
190,0.27712786
191,0.19190653
192,0.5735877
193,0.5279576
194,0.20980437
195,0.28507185
196,0.20723256
197,0.2465128
198,0.5454128
199,0.34008703
200,0.22641346
201,0.5039778
202,0.36041844
203,0.25438792
204,0.33808762
205,0.19785415
206,0.1943011
207,0.59211123
208,0.27152395
209,0.36588776
210,0.17745358
211,0.28460315
212,0.5524855
213,0.21010308
214,0.16013686
215,0.16368246
216,0.18107997
217,0.2715416
218,0.27639592
219,0.22381335
220,0.45934117
221,0.21502778
222,0.5667814
223,0.3951878
224,0.4621416
225,0.3061459
226,0.26905912
227,0.5027983
228,0.57815164
229,0.24226956
230,0.28568363
231,0.58191234
232,0.20562463
233,0.6475763
234,0.18786037
235,0.3587901
236,0.26956528
237,0.18403096
238,0.45318073
239,0.6291381
240,0.21330595
241,0.25644892
242,0.19796464
243,0.27046406
244,0.19511026
245,0.59262574
246,0.49403846
247,0.26254937
248,0.25681263
249,0.221744
250,0.20099038
251,0.5908275
252,0.2605729
253,0.15703091
254,0.22689025
255,0.281802
256,0.25464654
257,0.22337763
258,0.30704287
259,0.30868527
260,0.20072827
261,0.36961943
262,0.62655234
263,0.15761359
264,0.28908652
265,0.56077963
266,0.4606232
267,0.5543801
268,0.24456435
269,0.23383668
270,0.22844146
271,0.36236042
272,0.41285208
273,0.19612682
274,0.3154307
275,0.17637366
276,0.20185688
277,0.5488229
278,0.19555147
279,0.24229768
280,0.17774174
281,0.15030196
282,0.20120054
283,0.16105853
284,0.32379836
285,0.18694636
286,0.23690684
287,0.2992217
288,0.6316854
289,0.27370054
290,0.19129497
291,0.16300312
292,0.60969985
293,0.18445522
294,0.17315468
295,0.34994963
296,0.21146473
297,0.22890526
298,0.20170416
299,0.56526875
300,0.23792112
301,0.18560736
302,0.33687085
303,0.21360007
304,0.2477976
305,0.2223162
306,0.46928757
307,0.54047626
308,0.22111556
309,0.49827945
310,0.30545187
311,0.5575396
312,0.1334392
313,0.25535426
314,0.24911311
315,0.6376
316,0.22752208
317,0.12663507
318,0.2116422
319,0.20390269
320,0.2248033
321,0.3495555
322,0.15885346
323,0.3051588
324,0.5334903
325,0.66656804
326,0.29325753
327,0.17469278
328,0.3277104
329,0.18555069
330,0.17814407
331,0.1855719
332,0.647074
333,0.1931969
334,0.24438107
335,0.19483905
336,0.5359422
337,0.4268554
338,0.2650656
339,0.2659659
340,0.25406104
