,0
0,391
1,221
2,351
3,296
4,429
5,324
6,484
7,375
8,458
9,459
10,477
11,384
12,441
13,478
14,438
15,406
16,488
17,207
18,477
19,446
20,407
21,458
22,291
23,291
24,390
25,477
26,292
27,481
28,271
29,437
30,471
31,363
32,307
33,435
34,486
35,349
36,332
37,239
38,457
39,386
40,300
41,423
42,454
43,463
44,330
45,287
46,329
47,487
48,427
49,456
50,474
51,211
52,418
53,483
54,329
55,412
56,338
57,366
58,462
59,420
60,466
61,303
62,464
63,343
64,202
65,255
66,493
67,488
68,500
69,418
70,500
71,492
72,156
73,214
74,339
75,374
76,275
77,375
78,439
79,395
80,475
81,438
82,484
83,263
84,370
85,423
86,400
87,454
88,282
89,250
90,471
91,399
92,428
93,316
94,493
95,346
96,477
97,466
98,455
99,261
100,408
101,240
102,483
103,353
104,347
105,327
106,286
107,495
108,493
109,497
110,460
111,358
112,471
113,195
114,422
115,361
116,394
117,271
118,462
119,436
120,390
121,476
122,500
123,351
124,446
125,434
126,371
127,469
128,490
129,326
130,294
131,353
132,426
133,483
134,430
135,302
136,393
137,456
138,282
139,388
140,500
141,441
142,368
143,476
144,307
145,374
146,201
147,253
148,458
149,450
150,460
151,385
152,286
153,448
154,279
155,341
156,382
157,193
158,416
159,292
160,436
161,451
162,292
163,465
164,496
165,469
166,392
167,369
168,337
169,460
170,400
171,311
172,439
173,214
174,349
175,448
176,487
177,500
178,478
179,405
180,334
181,344
182,265
183,251
184,486
185,468
186,299
187,309
188,269
189,179
190,479
191,463
192,341
193,397
194,375
195,478
196,464
197,317
198,376
199,465
200,335
201,252
202,293
203,290
204,362
205,486
206,305
207,342
208,252
209,487
210,304
211,275
212,284
213,483
214,349
215,242
216,420
217,467
218,477
219,383
220,401
221,426
222,257
223,322
224,385
225,385
226,376
227,451
228,440
229,452
230,430
231,275
232,457
233,260
234,497
235,414
236,475
237,305
238,444
239,297
240,419
241,276
242,470
243,460
244,364
245,361
246,245
247,388
248,392
249,493
250,499
251,344
252,433
253,454
254,478
255,199
256,376
257,461
258,487
259,470
260,483
261,369
262,376
263,438
264,263
265,355
266,293
267,405
268,219
269,471
270,472
271,296
272,242
273,372
274,468
275,445
276,475
277,375
278,490
279,434
280,324
281,345
282,396
283,299
284,482
285,300
286,220
287,488
288,238
289,398
290,485
291,280
292,457
293,476
294,244
295,473
296,381
297,470
298,395
299,413
300,491
301,473
302,284
303,239
304,448
305,471
306,370
307,342
308,474
309,269
310,304
311,431
312,262
313,376
314,337
315,297
316,499
317,330
318,274
319,484
320,467
321,319
322,358
323,484
324,481
325,451
326,339
327,358
328,325
329,307
330,491
331,366
332,369
333,248
334,448
335,469
336,388
337,443
338,294
339,244
340,488
341,464
342,308
343,357
344,497
345,480
346,369
347,317
348,465
349,494
350,326
351,486
352,498
353,377
354,492
355,468
356,320
357,479
358,450
359,332
360,429
361,450
362,443
363,430
364,420
365,486
366,474
367,301
368,472
369,368
370,470
371,269
372,463
373,484
374,479
375,257
376,362
377,453
378,329
379,399
380,424
381,374
382,398
383,471
384,249
385,423
386,395
387,292
388,378
389,294
390,470
391,438
392,490
393,499
394,462
395,356
396,200
397,455
398,259
399,474
400,333
401,235
402,286
403,465
404,449
405,386
406,423
407,482
408,255
409,196
410,476
411,379
412,435
413,488
414,333
415,290
416,277
417,203
418,427
419,256
420,338
421,311
422,267
423,454
424,363
425,488
426,442
427,389
428,406
429,391
430,486
431,326
432,434
433,380
434,457
435,480
436,494
437,424
438,426
439,482
440,329
441,294
442,450
443,309
444,419
445,211
446,483
447,470
448,322
449,210
450,340
451,306
452,467
453,450
454,398
455,267
456,350
457,447
458,248
459,222
460,266
461,452
462,495
463,418
464,446
465,417
466,317
467,318
468,337
469,302
470,417
471,465
472,498
473,450
474,442
475,490
476,432
477,470
478,457
479,472
480,500
481,336
482,415
483,359
484,354
485,436
486,448
487,479
488,372
489,411
490,489
491,276
492,278
493,231
494,426
495,300
496,493
497,357
498,300
499,263
500,340
501,244
502,305
503,398
504,448
505,393
506,494
507,477
508,395
509,328
510,221
511,386
