,0
0,0.3380113
1,0.18570858
2,0.217566
3,0.19641295
4,0.3894282
5,0.24300101
6,0.37665308
7,0.2681075
8,0.34727067
9,0.30394393
10,0.3884652
11,0.28359956
12,0.2484932
13,0.3178136
14,0.24657467
15,0.3517323
16,0.3386923
17,0.2188313
18,0.42990118
19,0.3344644
20,0.27203906
21,0.27984613
22,0.22744179
23,0.2091641
24,0.23282313
25,0.24529782
26,0.2663421
27,0.40154767
28,0.20200719
29,0.2660821
30,0.36300462
31,0.17203046
32,0.2463673
33,0.2927097
34,0.32958913
35,0.19556476
36,0.18680398
37,0.23896512
38,0.28389013
39,0.27920306
40,0.23047322
41,0.20019644
42,0.21396196
43,0.2997191
44,0.22069265
45,0.23614179
46,0.24058045
47,0.3909638
48,0.36286402
49,0.34543997
50,0.3577741
51,0.2016924
52,0.3021205
53,0.40720832
54,0.21372265
55,0.2496551
56,0.19134268
57,0.17433658
58,0.36326557
59,0.21082598
60,0.32240626
61,0.2766519
62,0.28537953
63,0.22016719
64,0.17664593
65,0.22409096
66,0.3913446
67,0.397155
68,0.38833675
69,0.21008146
70,0.42062277
71,0.36998302
72,0.21063861
73,0.2599389
74,0.2775874
75,0.29184395
76,0.15653437
77,0.20120937
78,0.22980866
79,0.21118656
80,0.4740178
81,0.3194031
82,0.25914186
83,0.17377728
84,0.23621707
85,0.29797435
86,0.24901864
87,0.24161899
88,0.23856573
89,0.21895517
90,0.33595824
91,0.22744879
92,0.325728
93,0.28871852
94,0.4318058
95,0.18454817
96,0.30184248
97,0.33549532
98,0.3170293
99,0.26405865
100,0.30810428
101,0.24204925
102,0.3438811
103,0.2288276
104,0.31172538
105,0.26415572
106,0.20080449
107,0.3946671
108,0.40362436
109,0.33764607
110,0.37114394
111,0.28225315
112,0.3906891
113,0.16542941
114,0.24011576
115,0.26661128
116,0.36555326
117,0.22229439
118,0.3499128
119,0.31554806
120,0.169993
121,0.34979987
122,0.44637597
123,0.19295776
124,0.25966805
125,0.2264368
126,0.26784092
127,0.3205189
128,0.40984336
129,0.21219751
130,0.16998692
131,0.22561586
132,0.2703201
133,0.49736157
134,0.28431696
135,0.2515316
136,0.25353536
137,0.348783
138,0.23309186
139,0.28754467
140,0.47674316
141,0.33131915
142,0.28090996
143,0.44530615
144,0.2887558
145,0.2160708
146,0.25590342
147,0.24197465
148,0.29728398
149,0.3793677
150,0.33724117
151,0.2710026
152,0.16789523
153,0.39021203
154,0.29047436
155,0.19596906
156,0.21038075
157,0.22323868
158,0.36029696
159,0.26111528
160,0.23799066
161,0.2867885
162,0.2831638
163,0.401233
164,0.3429653
165,0.29313055
166,0.28695908
167,0.19640669
168,0.2089417
169,0.28749666
170,0.24935187
171,0.28016803
172,0.34469008
173,0.28353912
174,0.272206
175,0.27266848
176,0.4775318
177,0.46021158
178,0.39212173
179,0.26187027
180,0.24109119
181,0.21257958
182,0.27898556
183,0.2799936
184,0.38685068
185,0.31434196
186,0.2051742
187,0.28247505
188,0.23843984
189,0.21062544
190,0.42359334
191,0.30804035
192,0.24389145
193,0.26789296
194,0.21448772
195,0.3168131
196,0.3079952
197,0.22389121
198,0.25175697
199,0.38216555
200,0.29689294
201,0.22283727
202,0.21961415
203,0.23969369
204,0.30841994
205,0.39191478
206,0.2376639
207,0.22585294
208,0.18198967
209,0.35865998
210,0.27323824
211,0.2642222
212,0.2678671
213,0.28339458
214,0.2324147
215,0.17683634
216,0.17530231
217,0.41799992
218,0.31392837
219,0.21487062
220,0.26029578
221,0.2041328
222,0.2559569
223,0.24112383
224,0.21209759
225,0.21066573
226,0.23732509
227,0.3523969
228,0.2965635
229,0.31612062
230,0.2572775
231,0.15219223
232,0.29133654
233,0.1908448
234,0.43321925
235,0.22307655
236,0.3215671
237,0.24067691
238,0.34031832
239,0.24180563
240,0.22736321
241,0.23381051
242,0.4499235
243,0.43677413
244,0.35111618
245,0.2556041
246,0.20798051
247,0.23743051
248,0.2612722
249,0.3357271
250,0.4739814
251,0.2377269
252,0.30172676
253,0.26627916
254,0.29512233
255,0.2790137
256,0.26243016
257,0.4501709
258,0.35342735
259,0.29606384
260,0.32706633
261,0.25192803
262,0.21573552
263,0.25217682
264,0.22758293
265,0.23163395
266,0.21518965
267,0.34201565
268,0.23050994
269,0.32196623
270,0.35607463
271,0.19191372
272,0.26270166
273,0.2581072
274,0.2566625
275,0.36020976
276,0.39613342
277,0.16885771
278,0.30394894
279,0.27325404
280,0.24056816
281,0.27439517
282,0.26585093
283,0.27636558
284,0.28811067
285,0.24561298
286,0.25209826
287,0.3289671
288,0.26605433
289,0.22829959
290,0.32076073
291,0.29162484
292,0.30382088
293,0.3766175
294,0.16884056
295,0.3281034
296,0.17124286
297,0.3664046
298,0.17894101
299,0.259792
300,0.3224926
301,0.39617175
302,0.18339327
303,0.19370513
304,0.2360506
305,0.2909677
306,0.2327725
307,0.19769171
308,0.431415
309,0.17072967
310,0.23765665
311,0.27221376
312,0.24397685
313,0.2842129
314,0.21271628
315,0.25529203
316,0.48633453
317,0.17300703
318,0.24210712
319,0.3239419
320,0.34634155
321,0.2709669
322,0.29900432
323,0.34572172
324,0.4791624
325,0.24187884
326,0.1869807
327,0.3253073
