,0
0,0.2935567
1,0.22599599
2,0.26702252
3,0.22908989
4,0.2358227
5,0.28330055
6,0.26446137
7,0.4161297
8,0.37182888
9,0.2711227
10,0.36721557
11,0.20627695
12,0.2701237
13,0.38017297
14,0.290631
15,0.32307485
16,0.31255224
17,0.21909145
18,0.3652353
19,0.2682973
20,0.31239522
21,0.31268883
22,0.22301519
23,0.2473262
24,0.25372776
25,0.22322634
26,0.27765644
27,0.32477894
28,0.29603112
29,0.3667732
30,0.3042547
31,0.20226863
32,0.29341632
33,0.25250494
34,0.30100173
35,0.32120702
36,0.19129202
37,0.22704293
38,0.26311117
39,0.37653553
40,0.2664402
41,0.1242806
42,0.21551105
43,0.17332114
44,0.29644746
45,0.32554388
46,0.20136589
47,0.34959435
48,0.26970792
49,0.24226467
50,0.32293364
51,0.20335639
52,0.2571126
53,0.46345973
54,0.26506424
55,0.3546845
56,0.29536474
57,0.22583158
58,0.3082155
59,0.32136017
60,0.30186093
61,0.2599515
62,0.3213701
63,0.26948148
64,0.16981503
65,0.2400719
66,0.36444607
67,0.39114597
68,0.37769145
69,0.25159097
70,0.32696652
71,0.39623094
72,0.2039369
73,0.22469682
74,0.3641839
75,0.41539803
76,0.184354
77,0.20538327
78,0.27173537
79,0.23452038
80,0.33288914
81,0.28136668
82,0.24924308
83,0.192801
84,0.19611096
85,0.301287
86,0.32991427
87,0.18995151
88,0.26295775
89,0.25810435
90,0.45730633
91,0.2684347
92,0.2666155
93,0.45098674
94,0.30928195
95,0.24509427
96,0.35269177
97,0.25718623
98,0.39458746
99,0.2564248
100,0.35223928
101,0.2199294
102,0.3400507
103,0.3441927
104,0.31795546
105,0.30212194
106,0.2655108
107,0.5051965
108,0.38963172
109,0.40226257
110,0.39300245
111,0.31031328
112,0.33408433
113,0.19411948
114,0.2679613
115,0.33771276
116,0.28172803
117,0.22674379
118,0.3014385
119,0.26377267
120,0.20658872
121,0.39564458
122,0.5247855
123,0.26965094
124,0.22285205
125,0.33401266
126,0.24778548
127,0.3311954
128,0.36804974
129,0.2447755
130,0.21066007
131,0.25745177
132,0.22197098
133,0.42239577
134,0.23391852
135,0.35931394
136,0.4307447
137,0.3030401
138,0.18605429
139,0.40413386
140,0.45729828
141,0.2919115
142,0.29407054
143,0.39737582
144,0.31473833
145,0.24084803
146,0.221488
147,0.28102183
148,0.34801722
149,0.32148802
150,0.34041345
151,0.20364586
152,0.17784327
153,0.36605883
154,0.27896678
155,0.21424162
156,0.20109436
157,0.2225436
158,0.21079251
159,0.24089436
160,0.35739514
161,0.3338659
162,0.31665695
163,0.30785468
164,0.38647872
165,0.35558975
166,0.43420625
167,0.19985607
168,0.26286215
169,0.21694809
170,0.34827358
171,0.4022566
172,0.25685456
173,0.26477596
174,0.36446434
175,0.1904551
176,0.4283706
177,0.44842786
178,0.28412217
179,0.3206391
180,0.30671084
181,0.32758608
182,0.32369736
183,0.23889881
184,0.35901636
185,0.25744653
186,0.22825205
187,0.32224065
188,0.2398324
189,0.30502903
190,0.3022769
191,0.30383003
192,0.2801774
193,0.24578165
194,0.24166939
195,0.28740245
196,0.27050644
197,0.20652515
198,0.20483887
199,0.29579684
200,0.3134759
201,0.20993243
202,0.29884475
203,0.30171552
204,0.39030766
205,0.2757882
206,0.21839267
207,0.2887751
208,0.19183984
209,0.38087845
210,0.37436897
211,0.2680936
212,0.2606159
213,0.3399345
214,0.26284605
215,0.2290003
216,0.18515179
217,0.38786715
218,0.27732056
219,0.3042834
220,0.27383423
221,0.2750039
222,0.24431217
223,0.21466601
224,0.2501929
225,0.23505908
226,0.31801242
227,0.2575466
228,0.2121206
229,0.31881246
230,0.40285408
231,0.19566575
232,0.26428968
233,0.2052182
234,0.5257283
235,0.23480673
236,0.32003424
237,0.25269812
238,0.35704666
239,0.317438
240,0.19398284
241,0.31181288
242,0.37787074
243,0.42616755
244,0.30732012
245,0.31996852
246,0.19584377
247,0.25221992
248,0.2852404
249,0.3706252
250,0.47285068
251,0.19602054
252,0.2523117
253,0.21447282
254,0.2744074
255,0.256921
256,0.38285893
257,0.32756615
258,0.33469832
259,0.4580804
260,0.2262309
261,0.3358185
262,0.300535
263,0.25143817
264,0.28904724
265,0.2284987
266,0.20909533
267,0.46584797
268,0.2777282
269,0.29304126
270,0.31049863
271,0.2432625
272,0.3005145
273,0.34848213
274,0.36477214
275,0.32212868
276,0.3895959
277,0.22362712
278,0.30021465
279,0.40893716
280,0.25678724
281,0.32232952
282,0.32401252
283,0.31235498
284,0.23216856
285,0.27119327
286,0.22263953
287,0.24360166
288,0.2934425
289,0.2492001
290,0.3845427
291,0.24799736
292,0.36331475
293,0.3077141
294,0.18176758
295,0.26538453
296,0.16442955
297,0.28642246
298,0.19670151
299,0.26646775
300,0.45235407
301,0.23671177
302,0.25832486
303,0.23625615
304,0.26257837
305,0.26774687
306,0.20520765
307,0.2683555
308,0.36215597
309,0.22339915
310,0.30108944
311,0.3323568
312,0.25727928
313,0.32352072
314,0.20548996
315,0.31069496
316,0.5679092
317,0.18877378
318,0.28920135
319,0.28488633
320,0.36044073
321,0.38387322
322,0.34040946
323,0.33669552
324,0.3815784
325,0.27731904
326,0.24385163
327,0.3744056
328,0.25790924
329,0.28609863
330,0.383589
331,0.35812098
332,0.29913652
333,0.2509821
334,0.27346992
335,0.33659884
336,0.2507852
337,0.35111654
338,0.2309685
339,0.22371766
340,0.26905632
341,0.26371396
342,0.2443534
343,0.37148297
344,0.38968056
345,0.333559
346,0.30403736
347,0.24722748
348,0.28700557
349,0.39809036
350,0.29927734
351,0.33282304
