,0
0,-0.060458653
1,-0.08445139
2,0.026046222
3,-0.028202707
4,-0.04725919
5,-0.03584769
6,0.07235
7,0.094560474
8,-0.01381514
9,-0.16093832
10,0.18315375
11,-0.05691638
12,0.1215629
13,0.1923336
14,-0.10643227
15,-0.105958
16,-0.1344934
17,-0.02024428
18,-0.1999554
19,0.4021755
20,-0.16440916
21,0.05638363
22,-0.09228054
23,0.27698874
24,-0.27074254
25,0.23161153
26,0.04955371
27,0.1017922
28,-0.10203606
29,0.32569295
30,-0.12858777
31,-0.3129124
32,-0.097255945
33,-0.13460845
34,-0.11896488
35,0.49101698
36,0.21001306
37,-0.37903917
38,-0.28659117
39,-0.024171785
40,-0.85656404
41,-0.08749239
42,0.08612607
43,-0.10516774
44,0.080049016
45,-0.07106787
46,-0.048446957
47,0.039554354
48,-0.21802863
49,-0.19892642
50,-0.060614213
51,0.020024087
52,-0.025587218
53,-0.14896819
54,0.16971752
55,-0.0068139844
56,0.015212622
57,-0.077334866
58,0.04428542
59,0.064036965
60,0.061778277
61,0.4316733
62,0.23819914
63,0.06469872
64,0.08942573
65,0.058530506
66,0.14343572
67,-0.17542493
68,0.10507366
69,0.024736527
70,0.1588479
71,0.23129082
72,0.014965647
73,-0.54480195
74,-0.016758695
75,0.0932404
76,-0.06286311
77,-0.05309971
78,0.42763352
79,0.029891828
80,0.109176554
81,0.1747891
82,0.23677169
83,-0.11625723
84,-0.08290185
85,0.032497518
86,0.08375445
87,-0.089824684
88,-0.058516704
89,0.07667903
90,0.47272518
91,-0.0404072
92,-0.48249123
93,-0.034689166
94,-0.027575307
95,-0.042705975
96,0.44690576
97,0.0475931
98,-0.22412705
99,-0.41977334
100,0.18078506
101,-0.20779385
102,0.18174183
103,0.14661191
104,0.43972433
105,0.33103877
106,0.00852745
107,-0.02773636
108,0.10359195
109,0.17849413
110,0.2047883
111,0.49557662
112,0.14011994
113,-0.085025534
114,-0.29106826
115,-0.08345939
116,-0.30693364
117,0.09655978
118,-0.24064903
119,-0.2081024
120,-0.24389456
121,0.09561241
122,0.07743006
123,0.13950963
124,-0.17935377
125,0.09147361
126,-0.027212465
127,0.24789897
128,0.14277679
129,0.322339
130,0.0098237535
131,0.026744228
132,-0.19640434
133,0.2783484
134,-0.058685273
135,0.060507312
136,0.16002792
137,-0.24086797
138,0.02996652
139,0.19025883
140,0.35815126
141,-0.3652645
142,0.015008806
143,0.36489084
144,0.9166443
145,-0.19483197
146,0.19520438
147,0.051957928
148,0.17319676
149,-0.19695643
150,0.2463006
151,-0.29682776
152,-0.02146528
153,0.09459188
154,-0.16950014
155,-0.152924
156,-0.2185976
157,0.13756022
158,-0.3102499
159,-0.3339625
160,-0.017028628
161,-0.1371641
162,-0.2503411
163,0.4971279
164,0.03998866
165,0.1342757
166,0.14252566
167,-0.0056949984
168,-0.15667225
169,-0.19831106
170,0.14235198
171,0.36664248
172,0.2412766
173,-0.6198702
174,0.26126742
175,0.033496127
176,0.47815087
177,0.11608738
178,-0.0026247632
179,0.086258784
180,-0.02344826
181,-0.041827798
182,-0.20010673
183,-0.035399295
184,-0.048571266
185,-0.03378197
186,-0.27144167
187,0.1419735
188,0.067652136
189,-0.06024218
190,0.20009363
191,-0.047358017
192,0.09984738
193,-0.4459156
194,0.081622794
195,0.13145168
196,-0.07075526
197,-0.25569546
198,0.051469896
199,-0.09125261
200,-0.019305605
201,0.026833808
202,0.1665681
203,-0.3201999
204,0.79816043
205,-0.1718781
206,-0.09687028
207,0.22767854
208,0.04502356
209,-0.092884794
210,-0.066209786
211,0.011990926
212,-0.39767587
213,0.066594526
214,-0.15449435
215,0.00434839
216,-0.2138452
217,-0.21384622
218,0.022589697
219,0.2372291
220,-0.35317558
221,-0.06720918
222,-0.62318414
223,0.0012091901
224,-0.009148008
225,0.13339518
226,0.21391723
227,0.02065238
228,-0.12144473
229,-0.37313306
230,0.35392058
231,-0.17124493
232,0.05201514
233,-0.114728674
234,0.033651497
235,0.016608668
236,0.09627612
237,0.19851732
238,0.04245529
239,-0.10993194
240,0.030813813
241,0.07346159
242,0.28606534
243,0.23772642
244,-0.07760201
245,-0.34507006
246,-0.23158234
247,-0.038909826
248,0.18267773
249,-0.007523358
250,0.20350733
251,-0.14128938
252,-0.14131609
253,0.18871912
254,0.26401857
255,-0.30117154
256,0.029471427
257,-0.22595793
258,0.088865146
259,0.050560817
260,-0.12905534
261,-0.06312296
262,0.22605698
263,-0.060694654
264,0.085164666
265,0.017579362
266,-0.008661159
267,0.30633175
268,0.20685375
269,-0.1714131
270,-0.06790139
271,-0.24854535
272,-0.17488319
273,0.2972074
274,0.479123
275,-0.23922378
276,-0.08975832
277,-0.14439875
278,-0.031703133
279,0.43960333
280,-0.07170597
281,-0.028235128
282,0.20976488
283,-0.036534924
284,-0.22817892
285,0.08384148
286,-0.27598947
287,-0.08171441
288,-0.13902569
289,-0.03292248
290,0.34418827
291,-0.26353428
292,0.08248468
293,-0.028126601
294,0.5799947
295,-0.21465434
296,-0.15574972
297,0.51688683
298,0.15067732
299,-0.18255818
300,0.3278473
301,-0.13036372
302,-0.05678686
303,-0.28550035
304,0.1588315
305,-0.23635207
306,-0.34918097
307,-0.0849807
308,0.25739425
309,-0.09032448
310,-0.05264938
311,0.2747952
312,-0.14349082
313,0.089834824
314,-0.27808318
315,0.24729672
316,1.0689198
317,-0.06749794
318,0.23453158
319,-0.13756429
320,-0.0074217953
321,0.13933456
322,0.39587104
323,0.26349062
324,0.49254513
325,0.0027371533
326,-0.34471554
327,0.6828518
328,0.053680815
329,-0.06870748
330,0.03132412
331,0.04047983
332,-0.21610153
333,-0.19546443
334,0.053141363
335,0.29281694
336,-0.29070437
337,0.28008574
338,-0.02991141
339,-0.07246459
340,0.12736169
341,-0.14606377
342,-0.19423491
343,0.15755849
344,-0.20182723
345,-0.14307109
346,-0.14363378
347,0.057438187
348,0.36862653
349,0.035704553
350,0.1325013
351,0.3262989
352,0.0652543
353,0.021970076
354,0.81451523
355,-0.024359927
356,-0.197491
357,-0.12802327
358,-0.094826475
359,0.546522
360,-0.15062386
361,0.14181924
362,0.16731125
363,-0.052913323
364,0.044429068
365,-0.082051545
366,-0.2305637
367,0.027336923
368,-0.12674005
369,-0.095552206
370,-0.09438372
371,-0.22193706
372,-0.07803161
373,-0.18721014
374,-0.10723761
375,-0.06634263
376,-0.070547394
377,0.09362613
378,0.13112018
379,0.095858715
380,-0.018404678
381,-0.004628777
382,0.046142016
383,-0.22863287
384,0.042845786
385,-0.17217988
386,-0.27944773
387,-0.025169749
388,-0.18798774
389,-0.31128138
390,-0.29213166
391,0.03767943
392,0.6781825
393,0.006919481
394,-0.24588999
395,-0.024408722
396,-0.098060474
397,0.025302796
398,-0.10109922
399,0.25332862
400,-0.013871845
401,0.45533502
402,-0.17022221
403,-0.11723375
404,0.20976898
405,0.010496376
406,-0.03458665
407,0.044067577
408,-0.30281186
409,-0.07126783
410,0.26169467
411,0.12127367
412,0.07957523
413,-0.051938497
414,0.017026145
415,-0.095917344
416,0.32747135
417,-0.036991034
418,-0.08664091
419,0.040983316
420,0.024401367
421,0.09242441
422,-0.121417694
423,-0.19106866
424,-0.032672048
425,0.04614835
426,-0.2442239
427,-0.16279265
428,-0.30948716
429,0.16781333
430,-0.050909303
431,-0.26399374
432,0.23681916
433,-0.05077879
434,-0.06370632
435,-0.052331444
436,-0.12434091
437,-0.04166586
438,-0.003854636
439,0.10771881
440,0.11931868
441,-0.20883949
442,-0.48580733
443,-0.16729599
444,0.08070885
445,-0.4215222
446,-0.14020991
447,-0.023451284
448,-0.37056768
449,-0.42732048
450,-0.057988446
451,-0.110569224
452,-0.16098517
453,0.27923754
454,-0.033536132
455,-0.1426329
456,0.30774534
457,0.16834843
458,0.1089804
459,0.09446329
460,0.17510593
461,-0.18104054
462,0.8959891
463,0.06417721
464,-0.15627736
465,0.20158972
466,-0.07740091
467,-0.18921459
468,-0.10946705
469,-0.0168362
470,0.23630172
471,-0.3032402
472,-0.15897858
473,-0.032436825
474,-0.14056781
475,0.062022507
476,0.21969102
477,0.017797995
478,-0.07482836
479,-0.014449338
480,0.03312901
481,-0.17532948
482,0.12413501
483,-0.011985678
484,0.035122074
485,-0.11235225
486,0.3705459
487,-0.08078486
488,-0.17128044
489,-0.06620225
490,-0.11507938
491,-0.06906369
492,0.11440262
493,-0.19261678
494,-0.21567374
495,-0.0632348
496,-0.067954935
497,0.12837985
498,0.0894821
499,-0.13937768
500,0.16698834
501,0.10878976
502,-0.2254962
503,0.0044867704
504,-0.36364588
505,-0.2588718
506,0.0968049
507,0.23063782
508,0.31134564
509,-0.0027201138
510,0.088347495
511,0.26884377
