,0
0,256
1,411
2,356
3,450
4,326
5,451
6,406
7,479
8,335
9,315
10,376
11,264
12,387
13,481
14,475
15,454
16,462
17,167
18,408
19,378
20,460
21,423
22,423
23,340
24,454
25,492
26,277
27,490
28,426
29,476
30,377
31,465
32,446
33,295
34,497
35,485
36,356
37,340
38,473
39,397
40,218
41,398
42,443
43,422
44,479
45,262
46,445
47,430
48,394
49,325
50,442
51,365
52,275
53,488
54,428
55,420
56,297
57,452
58,462
59,385
60,364
61,442
62,480
63,313
64,330
65,300
66,496
67,493
68,500
69,277
70,497
71,488
72,172
73,206
74,454
75,482
76,268
77,367
78,377
79,367
80,374
81,460
82,485
83,251
84,303
85,461
86,417
87,380
88,294
89,342
90,494
91,317
92,444
93,463
94,463
95,462
96,391
97,339
98,476
99,342
100,488
101,389
102,378
103,384
104,303
105,351
106,418
107,495
108,429
109,498
110,455
111,388
112,441
113,166
114,463
115,466
116,248
117,285
118,349
119,364
120,265
121,400
122,500
123,432
124,343
125,494
126,427
127,424
128,426
129,327
130,243
131,462
132,271
133,488
134,290
135,469
136,489
137,444
138,198
139,465
140,499
141,445
142,381
143,374
144,323
145,393
146,204
147,428
148,477
149,464
150,383
151,325
152,207
153,466
154,399
155,468
156,312
157,160
158,276
159,378
160,340
161,490
162,403
163,365
164,496
165,492
166,488
167,360
168,305
169,352
170,472
171,332
172,322
173,238
174,396
175,402
176,389
177,498
178,485
179,365
180,468
181,284
182,407
183,398
184,483
185,342
186,455
187,450
188,256
189,349
190,385
191,461
192,452
193,381
194,465
195,375
196,400
197,443
198,283
199,466
200,360
201,293
202,427
203,374
204,383
205,484
206,433
207,309
208,165
209,486
210,442
211,231
212,348
213,499
214,463
215,365
216,379
217,464
218,439
219,447
220,275
221,484
222,201
223,237
224,332
225,435
226,457
227,343
228,373
229,451
230,434
231,400
232,479
233,398
234,498
235,408
236,495
237,332
238,321
239,430
240,438
241,265
242,389
243,473
244,473
245,292
246,385
247,402
248,485
249,497
250,500
251,261
252,340
253,384
254,352
255,187
256,434
257,453
258,422
259,499
260,475
261,480
262,364
263,472
264,319
265,217
266,365
267,496
268,212
269,474
270,448
271,434
272,299
273,365
274,453
275,450
276,481
277,410
278,495
279,475
280,465
281,439
282,485
283,386
284,487
285,308
286,184
287,459
288,316
289,306
290,498
291,262
292,408
293,378
294,298
295,446
296,317
297,366
298,414
299,257
300,455
301,372
302,410
303,296
304,449
305,471
306,265
307,409
308,397
309,225
310,457
311,365
312,211
313,263
314,345
315,274
316,497
317,454
318,281
319,437
320,447
321,417
322,345
323,461
324,437
325,411
326,436
327,436
328,479
329,270
330,497
331,461
332,293
333,401
334,481
335,405
336,306
337,464
338,350
339,279
340,417
341,355
342,431
343,472
344,491
345,390
346,329
347,278
348,477
349,487
350,482
351,443
352,499
353,377
354,497
355,355
356,433
357,477
358,487
359,381
360,386
361,327
362,303
363,378
364,473
365,482
366,373
367,443
368,442
369,467
370,470
371,249
372,495
373,454
374,465
375,345
376,368
377,385
378,309
379,297
380,271
381,303
382,321
383,402
384,298
385,337
386,357
387,461
388,206
389,379
390,474
391,471
392,496
393,499
394,419
395,358
396,418
397,324
398,402
399,466
400,465
401,339
402,246
403,480
404,487
405,490
406,495
407,401
408,191
409,401
410,419
411,477
412,332
413,388
414,461
415,436
416,241
417,361
418,464
419,441
420,406
421,366
422,430
423,468
424,453
425,480
426,443
427,463
428,442
429,450
430,484
431,371
432,276
433,466
434,467
435,473
436,495
437,477
438,401
439,378
440,338
441,420
442,434
443,345
444,468
445,268
446,493
447,354
448,411
449,181
450,457
451,269
452,385
453,471
454,362
455,423
456,395
457,351
458,351
459,233
460,228
461,476
462,437
463,482
464,486
465,455
466,213
467,437
468,292
469,257
470,469
471,463
472,497
473,438
474,306
475,472
476,476
477,484
478,440
479,394
480,498
481,308
482,358
483,292
484,371
485,337
486,326
487,466
488,332
489,300
490,495
491,267
492,259
493,352
494,357
495,427
496,455
497,443
498,445
499,434
500,274
501,437
502,363
503,392
504,464
505,302
506,499
507,435
508,320
509,304
510,411
511,464
