,0
0,273
1,497
2,405
3,500
4,251
5,490
6,294
7,500
8,331
9,209
10,292
11,284
12,386
13,500
14,491
15,500
16,420
17,209
18,286
19,334
20,496
21,292
22,499
23,328
24,497
25,499
26,230
27,500
28,499
29,500
30,292
31,500
32,498
33,307
34,498
35,499
36,449
37,488
38,496
39,329
40,223
41,366
42,484
43,402
44,499
45,332
46,499
47,405
48,472
49,260
50,449
51,487
52,260
53,500
54,492
55,433
56,247
57,496
58,500
59,331
60,326
61,487
62,457
63,244
64,468
65,306
66,500
67,499
68,499
69,268
70,481
71,463
72,277
73,293
74,486
75,500
76,396
77,456
78,273
79,340
80,362
81,500
82,485
83,382
84,262
85,492
86,406
87,328
88,328
89,401
90,499
91,296
92,495
93,499
94,455
95,498
96,277
97,196
98,498
99,476
100,500
101,478
102,277
103,412
104,235
105,374
106,498
107,495
108,357
109,495
110,492
111,405
112,422
113,293
114,495
115,497
116,231
117,344
118,276
119,359
120,310
121,298
122,498
123,389
124,359
125,496
126,470
127,377
128,305
129,339
130,383
131,497
132,232
133,500
134,303
135,498
136,499
137,495
138,286
139,500
140,500
141,498
142,397
143,321
144,293
145,479
146,333
147,497
148,500
149,478
150,388
151,348
152,291
153,500
154,489
155,498
156,322
157,257
158,190
159,488
160,331
161,500
162,465
163,249
164,499
165,499
166,500
167,406
168,375
169,339
170,500
171,249
172,293
173,323
174,477
175,432
176,284
177,497
178,500
179,381
180,499
181,320
182,485
183,486
184,497
185,300
186,500
187,499
188,289
189,492
190,296
191,498
192,499
193,464
194,499
195,306
196,370
197,491
198,345
199,500
200,435
201,441
202,497
203,486
204,283
205,500
206,490
207,317
208,306
209,498
210,495
211,266
212,363
213,498
214,498
215,488
216,353
217,494
218,404
219,488
220,248
221,484
222,195
223,395
224,356
225,468
226,418
227,277
228,425
229,495
230,392
231,500
232,500
233,499
234,496
235,490
236,496
237,361
238,246
239,451
240,476
241,236
242,376
243,499
244,494
245,276
246,471
247,309
248,499
249,499
250,500
251,326
252,427
253,373
254,240
255,249
256,441
257,493
258,327
259,499
260,496
261,499
262,349
263,454
264,327
265,246
266,406
267,500
268,272
269,496
270,469
271,499
272,303
273,281
274,484
275,497
276,498
277,447
278,500
279,499
280,498
281,485
282,487
283,445
284,498
285,312
286,252
287,371
288,396
289,296
290,499
291,294
292,394
293,268
294,383
295,437
296,348
297,271
298,411
299,207
300,378
301,281
302,497
303,465
304,447
305,488
306,334
307,442
308,288
309,265
310,499
311,285
312,288
313,209
314,433
315,232
316,498
317,500
318,364
319,413
320,467
321,410
322,371
323,445
324,443
325,354
326,492
327,407
328,500
329,299
330,494
331,500
332,223
333,496
334,500
335,376
336,342
337,423
338,336
339,392
340,324
341,274
342,498
343,485
344,497
345,264
346,337
347,271
348,424
349,448
350,500
351,330
352,500
353,400
354,500
355,358
356,494
357,499
358,499
359,333
360,430
361,323
362,277
363,404
364,500
365,497
366,302
367,499
368,438
369,499
370,497
371,374
372,500
373,471
374,478
375,471
376,277
377,272
378,373
379,323
380,197
381,371
382,379
383,335
384,351
385,389
386,460
387,498
388,220
389,496
390,500
391,474
392,500
393,500
394,484
395,267
396,497
397,280
398,492
399,492
400,496
401,486
402,269
403,497
404,499
405,500
406,499
407,304
408,352
409,498
410,409
411,500
412,310
413,267
414,499
415,500
416,289
417,496
418,499
419,497
420,396
421,389
422,498
423,499
424,500
425,469
426,497
427,499
428,495
429,498
430,499
431,470
432,183
433,499
434,484
435,499
436,498
437,500
438,471
439,276
440,275
441,493
442,485
443,484
444,443
445,386
446,500
447,272
448,497
449,385
450,498
451,262
452,430
453,500
454,358
455,498
456,455
457,261
458,460
459,358
460,287
461,495
462,340
463,500
464,498
465,492
466,215
467,500
468,343
469,252
470,499
471,499
472,500
473,468
474,247
475,376
476,500
477,492
478,470
479,346
480,500
481,317
482,378
483,294
484,326
485,353
486,336
487,476
488,384
489,255
490,500
491,250
492,365
493,492
494,439
495,493
496,402
497,411
498,498
499,498
500,234
501,497
502,479
503,482
504,498
505,372
506,497
507,435
508,248
509,314
510,497
511,479
