,0
0,0.21133372
1,0.30216256
2,0.2150451
3,0.28282788
4,0.20332843
5,0.35379535
6,0.29372218
7,0.3991462
8,0.3111775
9,0.22580951
10,0.31718367
11,0.18605395
12,0.19982675
13,0.36549294
14,0.37128776
15,0.34721586
16,0.26092958
17,0.26620573
18,0.33563662
19,0.28681242
20,0.31616285
21,0.30150807
22,0.24322778
23,0.22762105
24,0.330962
25,0.2735427
26,0.23156524
27,0.35769764
28,0.33350468
29,0.36945644
30,0.2852222
31,0.2387601
32,0.33553457
33,0.20807473
34,0.3635639
35,0.35501385
36,0.19003537
37,0.22511046
38,0.2936378
39,0.27366418
40,0.28046876
41,0.21922162
42,0.27120143
43,0.19089729
44,0.34498212
45,0.28119108
46,0.2458398
47,0.25835055
48,0.30606043
49,0.2869052
50,0.2615156
51,0.29858816
52,0.19446021
53,0.42624792
54,0.25131845
55,0.23493263
56,0.22993849
57,0.24874863
58,0.29035258
59,0.26579243
60,0.24187481
61,0.3208519
62,0.2959695
63,0.20567946
64,0.19112054
65,0.24645904
66,0.35966298
67,0.47939464
68,0.40296823
69,0.23240869
70,0.31740218
71,0.354455
72,0.25952893
73,0.24654526
74,0.42621303
75,0.36532778
76,0.165349
77,0.19818436
78,0.22598635
79,0.23941034
80,0.33176923
81,0.3136807
82,0.32605028
83,0.23080073
84,0.22278777
85,0.2781316
86,0.24033052
87,0.17818668
88,0.24536872
89,0.2500013
90,0.44583356
91,0.26458114
92,0.30061382
93,0.42020687
94,0.30555856
95,0.26700923
96,0.21380664
97,0.27200934
98,0.38867164
99,0.26087683
100,0.43444368
101,0.18007973
102,0.25105605
103,0.25050682
104,0.25637436
105,0.21884273
106,0.25610846
107,0.5106822
108,0.33679834
109,0.387474
110,0.3088341
111,0.21044734
112,0.26537627
113,0.22880062
114,0.2858029
115,0.36932552
116,0.239181
117,0.19052035
118,0.27579883
119,0.22594425
120,0.21376736
121,0.3256691
122,0.5251
123,0.21539041
124,0.25923356
125,0.3764264
126,0.23315088
127,0.20185038
128,0.2973619
129,0.22298062
130,0.21882668
131,0.3065166
132,0.23194584
133,0.45078117
134,0.2021427
135,0.43181983
136,0.41816008
137,0.33901548
138,0.22761714
139,0.3921849
140,0.4691897
141,0.30861986
142,0.30241495
143,0.33098435
144,0.21874496
145,0.2657953
146,0.22819291
147,0.3107599
148,0.39501452
149,0.28922552
150,0.26077506
151,0.22113553
152,0.22158436
153,0.34629428
154,0.29215103
155,0.2859584
156,0.19660255
157,0.24251053
158,0.24856739
159,0.24097145
160,0.2266191
161,0.42650506
162,0.32369393
163,0.2695797
164,0.42703447
165,0.41011572
166,0.44351652
167,0.18881355
168,0.24527828
169,0.23509224
170,0.3282172
171,0.2903406
172,0.20902795
173,0.2506164
174,0.23487248
175,0.19733432
176,0.39126748
177,0.44889408
178,0.3632713
179,0.24093807
180,0.33291233
181,0.28098175
182,0.33477277
183,0.22267094
184,0.38875157
185,0.22045667
186,0.28174472
187,0.2756834
188,0.23002513
189,0.24502902
190,0.26379746
191,0.29195428
192,0.32440364
193,0.26164728
194,0.2593298
195,0.2810998
196,0.2874953
197,0.285675
198,0.19108605
199,0.3309601
200,0.20884994
201,0.22719598
202,0.26366514
203,0.2634825
204,0.2657403
205,0.402088
206,0.26191056
207,0.16053604
208,0.20296398
209,0.406654
210,0.34424892
211,0.24732429
212,0.21486309
213,0.44210595
214,0.33359128
215,0.24787652
216,0.18978588
217,0.3365631
218,0.2776496
219,0.26270398
220,0.22602585
221,0.28027564
222,0.26137945
223,0.27006447
224,0.21580178
225,0.23493016
226,0.31375298
227,0.24865074
228,0.19847137
229,0.35904396
230,0.30210942
231,0.19606307
232,0.34439436
233,0.22189718
234,0.5461147
235,0.22018793
236,0.40853786
237,0.2853348
238,0.27934045
239,0.2549215
240,0.2397495
241,0.27841276
242,0.3433642
243,0.37602383
244,0.44473475
245,0.23176554
246,0.24890265
247,0.32421035
248,0.3688649
249,0.4192725
250,0.5269604
251,0.17177704
252,0.20862214
253,0.22069496
254,0.23284967
255,0.32659787
256,0.27052918
257,0.35302228
258,0.25409138
259,0.49173695
260,0.27734768
261,0.38401783
262,0.2668699
263,0.2854324
264,0.24167159
265,0.21627088
266,0.19650292
267,0.44118917
268,0.23592058
