,0
0,409
1,362
2,356
3,358
4,398
5,412
6,373
7,473
8,320
9,325
10,351
11,331
12,466
13,472
14,420
15,420
16,435
17,322
18,390
19,467
20,342
21,424
22,351
23,424
24,351
25,487
26,318
27,472
28,424
29,482
30,352
31,373
32,318
33,386
34,472
35,465
36,390
37,230
38,394
39,401
40,286
41,418
42,468
43,442
44,448
45,296
46,411
47,449
48,290
49,392
50,391
51,399
52,413
53,454
54,419
55,409
56,343
57,332
58,456
59,444
60,432
61,472
62,465
63,379
64,329
65,335
66,492
67,413
68,496
69,408
70,498
71,426
72,318
73,244
74,347
75,470
76,261
77,392
78,471
79,410
80,408
81,449
82,456
83,295
84,406
85,447
86,460
87,422
88,304
89,375
90,493
91,357
92,312
93,382
94,434
95,387
96,485
97,403
98,368
99,311
100,486
101,240
102,431
103,433
104,423
105,442
106,418
107,463
108,464
109,469
110,488
111,463
112,417
113,220
114,342
115,388
116,352
117,379
118,406
119,455
120,340
121,431
122,491
123,455
124,316
125,479
126,409
127,467
128,423
129,426
130,380
131,448
132,364
133,482
134,395
135,370
136,481
137,330
138,379
139,460
140,498
141,292
142,411
143,466
144,468
145,280
146,344
147,415
148,481
149,372
150,458
151,230
152,371
153,449
154,285
155,443
156,345
157,300
158,312
159,357
160,364
161,392
162,311
163,474
164,476
165,487
166,433
167,402
168,351
169,311
170,479
171,444
172,468
173,223
174,456
175,453
176,454
177,493
178,480
179,459
180,386
181,330
182,277
183,382
184,394
185,351
186,275
187,413
188,331
189,346
190,422
191,422
192,446
193,243
194,460
195,365
196,380
197,339
198,393
199,418
200,386
201,397
202,453
203,284
204,480
205,375
206,318
207,438
208,351
209,458
210,348
211,321
212,330
213,487
214,404
215,402
216,422
217,387
218,471
219,484
220,252
221,450
222,241
223,374
224,363
225,449
226,458
227,422
228,378
229,339
230,471
231,307
232,467
233,359
234,452
235,417
236,430
237,373
238,376
239,346
240,435
241,308
242,450
243,461
244,354
245,317
246,324
247,388
248,471
249,471
250,481
251,348
252,451
253,466
254,459
255,177
256,391
257,349
258,449
259,454
260,418
261,445
262,443
263,436
264,357
265,371
266,327
267,487
268,369
269,375
270,374
271,322
272,289
273,458
274,489
275,404
276,459
277,359
278,462
279,484
280,395
281,367
282,408
283,342
284,401
285,383
286,289
287,490
288,344
289,408
290,496
291,281
292,450
293,373
294,419
295,411
296,388
297,463
298,447
299,290
300,493
301,388
302,334
303,246
304,478
305,415
306,330
307,347
308,481
309,267
310,386
311,464
312,312
313,430
314,295
315,403
316,479
317,396
318,420
319,419
320,447
321,381
322,462
323,438
324,491
325,406
326,331
327,486
328,442
329,310
330,479
331,394
332,302
333,329
334,481
335,467
336,319
337,478
338,350
339,311
340,445
341,387
342,347
343,429
344,450
345,408
346,357
347,301
348,490
349,454
350,432
351,449
352,499
353,338
354,499
355,393
356,353
357,393
358,465
359,469
360,347
361,450
362,416
363,441
364,448
365,450
366,386
367,416
368,380
369,396
370,438
371,375
372,435
373,381
374,367
375,347
376,378
377,468
378,390
379,410
380,387
381,409
382,415
383,395
384,360
385,374
386,340
387,326
388,347
389,324
390,383
391,435
392,488
393,476
394,401
395,385
396,378
397,447
398,298
399,481
400,369
401,415
402,298
403,463
404,488
405,474
406,477
407,387
408,169
409,370
410,480
411,447
412,389
413,350
414,436
415,352
416,370
417,306
418,468
419,414
420,345
421,431
422,366
423,343
424,425
425,420
426,384
427,395
428,361
429,475
430,476
431,394
432,451
433,398
434,421
435,423
436,456
437,419
438,425
439,458
440,355
441,353
442,296
443,386
444,462
445,211
446,469
447,391
448,308
449,235
450,374
451,356
452,385
453,467
454,356
455,379
456,438
457,367
458,319
459,364
460,364
461,440
462,491
463,474
464,406
465,487
466,300
467,367
468,365
469,368
470,463
471,330
472,477
473,464
474,359
475,460
476,433
477,480
478,411
479,392
480,486
481,409
482,430
483,337
484,372
485,400
486,409
487,424
488,383
489,371
490,433
491,303
492,371
493,311
494,344
495,350
496,480
497,431
498,427
499,276
500,448
501,429
502,245
503,373
504,320
505,313
506,458
507,489
508,450
509,311
510,395
511,451
