,0
0,486
1,487
2,487
3,479
4,475
5,328
6,282
7,492
8,352
9,223
10,342
11,414
12,498
13,498
14,308
15,491
16,350
17,481
18,265
19,499
20,302
21,287
22,454
23,494
24,356
25,499
26,295
27,499
28,492
29,498
30,279
31,306
32,338
33,452
34,339
35,483
36,496
37,363
38,332
39,329
40,390
41,497
42,497
43,421
44,493
45,333
46,478
47,405
48,329
49,447
50,251
51,498
52,460
53,356
54,487
55,321
56,406
57,383
58,477
59,490
60,429
61,500
62,412
63,411
64,488
65,371
66,497
67,350
68,474
69,483
70,481
71,252
72,487
73,302
74,340
75,497
76,412
77,496
78,494
79,406
80,459
81,499
82,443
83,471
84,457
85,488
86,483
87,427
88,381
89,485
90,498
91,402
92,262
93,342
94,433
95,325
96,494
97,343
98,269
99,392
100,499
101,228
102,307
103,464
104,470
105,486
106,500
107,279
108,452
109,356
110,500
111,492
112,356
113,433
114,178
115,316
116,452
117,479
118,383
119,488
120,433
121,321
122,367
123,417
124,322
125,427
126,483
127,477
128,293
129,494
130,499
131,494
132,417
133,500
134,448
135,426
136,489
137,308
138,487
139,500
140,496
141,286
142,427
143,495
144,500
145,233
146,500
147,494
148,499
149,234
150,496
151,266
152,493
153,500
154,352
155,399
156,303
157,498
158,308
159,462
160,374
161,404
162,318
163,494
164,348
165,500
166,338
167,498
168,318
169,333
170,500
171,490
172,491
173,282
174,499
175,498
176,473
177,348
178,496
179,494
180,415
181,413
182,219
183,473
184,318
185,371
186,345
187,499
188,452
189,497
190,438
191,401
192,497
193,239
194,496
195,399
196,243
197,234
198,483
199,498
200,489
201,492
202,499
203,280
204,494
205,356
206,336
207,499
208,497
209,380
210,323
211,392
212,318
213,380
214,405
215,498
216,389
217,255
218,470
219,500
220,252
221,369
222,321
223,496
224,442
225,497
226,408
227,457
228,341
229,239
230,481
231,417
232,500
233,489
234,284
235,495
236,304
237,423
238,439
239,243
240,492
241,381
242,496
243,498
244,243
245,330
246,360
247,259
248,499
249,369
250,361
251,456
252,486
253,499
254,495
255,315
256,323
257,314
258,389
259,272
260,457
261,394
262,496
263,347
264,412
265,494
266,389
267,499
268,499
269,317
270,362
271,328
272,290
273,486
274,499
275,338
276,410
277,412
278,392
279,500
280,449
281,362
282,259
283,370
284,284
285,400
286,371
287,380
288,442
289,460
290,500
291,298
292,497
293,350
294,500
295,376
296,351
297,491
298,494
299,283
300,490
301,364
302,476
303,413
304,499
305,348
306,424
307,369
308,497
309,440
310,431
311,495
312,467
313,485
314,296
315,478
316,372
317,455
318,500
319,252
320,412
321,277
322,500
323,447
324,500
325,320
326,245
327,498
328,423
329,348
330,300
331,370
332,287
333,459
334,497
335,490
336,366
337,474
338,354
339,441
340,454
341,260
342,375
343,391
344,394
345,338
346,351
347,397
348,486
349,332
350,381
351,380
352,498
353,333
354,500
355,422
356,293
357,398
358,471
359,493
360,365
361,490
362,491
363,495
364,483
365,339
366,284
367,498
368,311
369,423
370,331
371,493
372,381
373,342
374,333
375,495
376,309
377,485
378,491
379,494
380,460
381,491
382,486
383,273
384,433
385,384
386,445
387,356
388,482
389,453
390,364
391,343
392,478
393,386
394,346
395,364
396,455
397,494
398,293
399,483
400,317
401,500
402,375
403,473
404,498
405,483
406,371
407,310
408,288
409,486
410,500
411,482
412,423
413,275
414,473
415,333
416,500
417,486
418,492
419,494
420,330
421,496
422,451
423,340
424,486
425,247
426,351
427,447
428,266
429,498
430,500
431,378
432,486
433,408
434,433
435,470
436,319
437,425
438,488
439,442
440,390
441,424
442,312
443,491
444,487
445,306
446,415
447,309
448,364
449,448
450,381
451,465
452,438
453,499
454,379
455,480
456,500
457,372
458,405
459,499
460,499
461,389
462,495
463,497
464,272
465,500
466,405
467,398
468,379
469,493
470,479
471,343
472,449
473,480
474,302
475,375
476,465
477,482
478,430
479,350
480,395
481,489
482,424
483,384
484,352
485,442
486,497
487,365
488,413
489,442
490,390
491,332
492,497
493,485
494,401
495,445
496,488
497,384
498,487
499,322
500,499
501,497
502,290
503,497
504,243
505,316
506,248
507,499
508,495
509,437
510,500
511,495
