,0
0,0.30776036
1,0.19740598
2,0.2151089
3,0.18000391
4,0.37335008
5,0.2665341
6,0.26084697
7,0.2900439
8,0.24506788
9,0.24129903
10,0.27419412
11,0.22104946
12,0.30711043
13,0.30537415
14,0.26802897
15,0.30931422
16,0.2433738
17,0.23371832
18,0.30317664
19,0.33979404
20,0.26296172
21,0.27945474
22,0.19311951
23,0.289472
24,0.212219
25,0.34054276
26,0.24183033
27,0.3602742
28,0.2698041
29,0.343973
30,0.27186328
31,0.20173171
32,0.24055813
33,0.24461898
34,0.2914487
35,0.35070294
36,0.17983612
37,0.1886496
38,0.24015561
39,0.3398096
40,0.2506653
41,0.20205787
42,0.23432949
43,0.32985848
44,0.39425755
45,0.25840455
46,0.17259392
47,0.29471493
48,0.24588257
49,0.24602166
50,0.25774693
51,0.2534036
52,0.29372218
53,0.29903084
54,0.2224176
55,0.27573094
56,0.23079878
57,0.16024205
58,0.30361584
59,0.23319468
60,0.26815876
61,0.34904075
62,0.31216946
63,0.22335795
64,0.22868735
65,0.22290067
66,0.41312718
67,0.29910678
68,0.35965508
69,0.2413952
70,0.32679152
71,0.37532276
72,0.24826023
73,0.20989117
74,0.3061944
75,0.32501584
76,0.18828799
77,0.266717
78,0.3146507
79,0.2453618
80,0.29347244
81,0.34209615
82,0.288346
83,0.15617438
84,0.18992186
85,0.28158844
86,0.2767948
87,0.29446197
88,0.17201093
89,0.24566537
90,0.37965772
91,0.21969032
92,0.24277294
93,0.35604557
94,0.2630676
95,0.22203098
96,0.317676
97,0.26730868
98,0.3004101
99,0.25572276
100,0.4127986
101,0.2131503
102,0.32619596
103,0.28185427
104,0.29532748
105,0.24972591
106,0.2694634
107,0.38459933
108,0.24681383
109,0.3143978
110,0.38085294
111,0.27047396
112,0.30483645
113,0.1926445
114,0.23464051
115,0.2739163
116,0.24127138
117,0.20767984
118,0.30494654
119,0.30277756
120,0.21520802
121,0.34313285
122,0.39586878
123,0.24966092
124,0.20171413
125,0.31927145
126,0.22386742
127,0.27921063
128,0.35596505
129,0.30341557
130,0.26095182
131,0.25009173
132,0.18337859
133,0.4167459
134,0.22927515
135,0.2520836
136,0.304219
137,0.3310021
138,0.30782375
139,0.36609107
140,0.4171877
141,0.25250176
142,0.23945065
143,0.36146116
144,0.36402887
145,0.27244112
146,0.23982227
147,0.24662504
148,0.35182548
149,0.31795558
150,0.31713915
151,0.27047017
152,0.25534993
153,0.28924477
154,0.2950837
155,0.20669025
156,0.16672996
157,0.21822515
158,0.2517827
159,0.27074754
160,0.23362234
161,0.22679585
162,0.2577172
163,0.3817773
164,0.33966416
165,0.36474615
