,0
0,0.4100315
1,0.33174586
2,0.36109298
3,0.23888183
4,0.3598213
5,0.22034734
6,0.21971917
7,0.33077478
8,0.22883675
9,0.21647546
10,0.21630561
11,0.29152876
12,0.48367423
13,0.41262972
14,0.21670386
15,0.4273479
16,0.2259067
17,0.37841913
18,0.22225116
19,0.47556466
20,0.20426604
21,0.22156477
22,0.2881183
23,0.4490573
24,0.16838999
25,0.496237
26,0.21837124
27,0.43896958
28,0.38214085
29,0.48658836
30,0.22230422
31,0.20020513
32,0.18501854
33,0.28002554
34,0.1934388
35,0.36229992
36,0.29439437
37,0.22096133
38,0.20824507
39,0.1995239
40,0.30219668
41,0.37451977
42,0.4048011
43,0.30094802
44,0.3399549
45,0.22354954
46,0.31855953
47,0.2374559
48,0.21146032
49,0.2925996
50,0.23259102
51,0.44666263
52,0.3572559
53,0.20774913
54,0.33158958
55,0.20102495
56,0.24648938
57,0.15130247
58,0.31692496
59,0.36933953
60,0.28409922
61,0.54840374
62,0.19731262
63,0.26595944
64,0.32002425
65,0.22964215
66,0.453781
67,0.21982047
68,0.276345
69,0.40818933
70,0.2914884
71,0.22684959
72,0.39563558
73,0.21304667
74,0.2245677
75,0.3990674
76,0.23185533
77,0.4451749
78,0.47342777
79,0.25747916
80,0.3309257
81,0.48564976
82,0.22667173
83,0.28676987
84,0.25723195
85,0.28896537
86,0.32462263
87,0.22153367
88,0.20363745
89,0.31522435
90,0.44112507
91,0.21146892
92,0.19683015
93,0.21131262
94,0.25176978
95,0.23571518
96,0.46835375
97,0.21511798
98,0.21087503
99,0.15027428
100,0.42591324
101,0.19678733
102,0.24772419
103,0.26560035
104,0.36656415
105,0.3779095
106,0.4313925
107,0.20966497
108,0.28998885
109,0.21635258
110,0.52821815
111,0.4045387
112,0.22262797
113,0.24281412
114,0.19042301
115,0.23293272
116,0.29440218
117,0.35755017
118,0.2589258
119,0.32667017
120,0.3038339
121,0.22523329
122,0.20715132
123,0.2302337
124,0.28689426
125,0.27076298
126,0.32502884
127,0.31327865
128,0.25258136
129,0.4791183
130,0.45569566
131,0.33749032
132,0.21333522
133,0.5250326
134,0.27502018
135,0.25701314
136,0.31780997
137,0.25044337
138,0.36408234
139,0.55886763
140,0.36904255
141,0.2390421
142,0.22515032
143,0.49091116
144,0.4671998
145,0.19836837
146,0.40110582
147,0.30783668
148,0.42377722
149,0.20570865
150,0.4020571
151,0.3078453
152,0.45953628
153,0.4323665
154,0.23177029
155,0.24705724
156,0.21860482
157,0.29453805
158,0.33259454
159,0.2892716
160,0.1979562
161,0.2238138
162,0.22506452
163,0.48304403
164,0.18812479
165,0.5465094
166,0.24301544
167,0.4327382
168,0.23470801
169,0.24206254
170,0.47751465
171,0.41728437
172,0.43834466
173,0.25993147
174,0.50841033
175,0.45159078
176,0.38602668
177,0.18704572
178,0.3833438
179,0.39539963
180,0.27445385
181,0.25143778
182,0.20093074
183,0.24273753
184,0.20332384
185,0.22680365
186,0.18134464
187,0.4571731
188,0.2944302
189,0.41264024
190,0.26380593
191,0.19719565
192,0.38832048
193,0.22882572
194,0.32633463
195,0.22421093
196,0.23143646
197,0.23698068
198,0.4176226
199,0.46642372
200,0.34929854
201,0.38440394
202,0.5532913
203,0.18641797
204,0.3738467
205,0.24280365
206,0.20095858
207,0.49980435
208,0.4737528
209,0.2418787
210,0.21375339
211,0.2942858
212,0.19820473
213,0.22525546
214,0.19008951
215,0.47322237
216,0.21634361
217,0.2036159
218,0.2799315
219,0.5015114
220,0.19913721
221,0.19491604
222,0.19296554
223,0.43618238
224,0.25944883
225,0.45767373
226,0.2245959
227,0.29598194
228,0.22791114
229,0.15656908
230,0.34329003
231,0.20711264
232,0.47670373
233,0.28188443
234,0.19135153
235,0.36631066
236,0.1727713
237,0.2520125
238,0.23910135
239,0.21264577
240,0.44106254
241,0.2151531
242,0.34233093
243,0.45047098
244,0.24027185
245,0.1955727
246,0.19761029
247,0.19164005
248,0.45312893
249,0.1647459
250,0.2292078
251,0.31178322
252,0.3383368
253,0.45784622
