,0
0,0.07461426
1,0.18984523
2,0.01935149
3,-0.03333248
4,0.004021149
5,-0.17751336
6,-0.10904162
7,0.025328826
8,-0.059176542
9,-0.13905399
10,0.026181698
11,0.1642738
12,0.08613519
13,0.174862
14,-0.41180417
15,0.31764674
16,-0.05387265
17,0.085503764
18,-0.3873693
19,0.47177294
20,-0.16732615
21,-0.23740838
22,-0.06717585
23,0.066957556
24,0.059656315
25,0.059094325
26,0.16673575
27,0.055104032
28,0.20496953
29,0.24914591
30,-0.03699571
31,-0.36848366
32,-0.11378424
33,0.15784377
34,-0.041818827
35,-0.11382385
36,0.29011965
37,-0.041636825
38,-0.26331437
39,-0.043137953
40,-0.9768546
41,-0.05840184
42,0.0783612
43,-0.12639058
44,-0.018221851
45,0.011156347
46,0.023370937
47,0.2981059
48,-0.18088065
49,-0.015808675
50,-0.0020002536
51,0.07062775
52,0.040474564
53,0.075676575
54,0.29842263
55,0.021106185
56,0.080932714
57,-0.1758914
58,0.3401451
59,0.13949333
60,0.19696328
61,0.4245215
62,-0.07620617
63,0.14598316
64,0.25387812
65,0.09826753
66,0.15766485
67,-0.25413135
68,0.0559488
69,0.22631656
70,0.082930155
71,0.0036018323
72,0.06398459
73,-0.19198869
74,-0.23955692
75,0.21118131
76,0.07866041
77,-0.027431075
78,0.21001193
79,0.014128709
80,0.04026195
81,0.1305637
82,-0.09095429
83,-0.20973699
84,-0.037025616
85,0.002003504
86,0.07318802
87,0.013704276
88,0.021460563
89,0.0059406795
90,0.15348957
91,0.003338215
92,-0.31711727
93,-0.05170903
94,-0.15111889
95,-0.1351567
96,0.38597876
97,0.105009064
98,-0.14360932
99,-0.24321632
100,0.036941662
101,-0.06666945
102,0.231012
103,0.13007532
104,0.20869714
105,0.50629973
106,0.17638248
107,-0.23402444
108,0.0046006124
109,0.062797904
110,0.26882952
111,0.62419736
112,0.21516734
113,-0.12564294
114,-0.3204888
115,-0.06891662
116,-0.14495872
117,0.11070594
118,-0.4146073
119,-0.29206774
120,-0.051382184
121,0.0014674903
122,-0.11377063
123,-0.104884915
124,-0.1724248
125,-0.3030304
126,-0.069725856
127,0.2919818
128,0.21356072
129,0.06632477
130,0.1397301
131,0.057362378
132,-0.09699635
133,0.73912364
134,0.10828066
135,-0.111140504
136,0.031102015
137,-0.20828263
138,0.09669285
139,0.14234255
140,0.28452745
141,-0.18277805
142,0.047536373
143,0.30696425
144,0.8219069
145,-0.20218346
146,0.36239463
147,0.10517962
148,0.12447439
149,0.02098688
150,0.26437452
151,-0.308595
152,0.13704854
153,0.1582526
154,-0.21088544
155,-0.15673146
156,-0.1081109
157,0.28552985
158,-0.29292193
159,-0.32289034
160,0.062717676
161,-0.039331846
162,-0.077978626
163,0.37489647
164,-0.05035936
165,0.07650015
166,-0.09074674
167,0.09969929
168,-0.25406146
169,-0.1367624
170,0.116136745
171,0.075771645
172,0.30937493
173,-0.6694297
174,0.22874908
175,0.047261577
176,0.22610836
177,0.062156875
178,0.0924508
179,-0.033345107
180,-0.00083775073
181,0.017637525
182,-0.28093553
183,0.012804627
184,-0.11401565
185,0.06670889
186,-0.027412802
187,0.20836335
188,0.069160596
189,0.12423873
190,0.19756958
191,0.0796517
192,0.028467206
193,-0.4403316
194,-0.041362226
195,0.024611061
196,-0.020091953
197,-0.21559227
198,0.12905632
199,0.12517193
200,0.0786929
201,0.11571362
202,0.35180667
203,-0.10198664
204,0.400721
205,-0.14621936
206,-0.14041346
207,0.20063132
208,0.3573803
209,0.0069044745
210,-0.066390775
211,0.12566906
212,-0.5953051
213,-0.19015287
214,-0.29410115
215,0.11438012
216,-0.23038444
217,0.042011697
218,0.026900886
219,0.07507305
220,-0.2681965
221,-0.41856226
222,-0.58232963
223,0.21025476
224,-0.041355208
225,-0.076012954
226,-0.054513
227,-0.011064384
228,-0.060579006
229,-0.046763737
230,0.115529895
231,-0.17497778
232,0.14130531
233,-0.078508765
234,-0.12497362
235,0.002779942
236,-0.21940526
237,0.17410398
238,0.12644753
239,-0.3402626
240,0.042276565
241,0.147082
242,0.60621154
243,0.46618068
