,0
0,283
1,237
2,322
3,356
4,307
5,488
6,495
7,456
8,458
9,454
10,468
11,265
12,376
13,381
14,495
15,312
16,407
17,215
18,494
19,443
20,475
21,496
22,347
23,476
24,265
25,492
26,420
27,376
28,300
29,330
30,469
31,454
32,462
33,370
34,485
35,497
36,298
37,267
38,435
39,469
40,313
41,393
42,437
43,418
44,484
45,255
46,469
47,399
48,300
49,351
50,374
51,252
52,359
53,383
54,300
55,447
56,279
57,432
58,301
59,437
60,307
61,487
62,498
63,452
64,208
65,460
66,482
67,464
68,497
69,270
70,500
71,489
72,251
73,244
74,471
75,359
76,340
77,270
78,485
79,480
80,355
81,269
82,496
83,388
84,416
85,314
86,454
87,352
88,343
89,482
90,493
91,315
92,277
93,475
94,487
95,442
96,449
97,481
98,305
99,310
100,484
101,443
102,408
103,471
104,453
105,314
106,420
107,496
108,459
109,487
110,309
111,279
112,384
113,172
114,463
115,359
116,286
117,197
118,482
119,449
120,321
121,492
122,499
123,496
124,347
125,497
126,478
127,432
128,465
129,463
130,298
131,388
132,355
133,332
134,387
135,461
136,442
137,396
138,216
139,287
140,490
141,248
142,327
143,352
144,392
145,246
146,186
147,351
148,332
149,350
150,295
151,337
152,259
153,255
154,282
155,419
156,312
157,144
158,240
159,365
160,402
161,333
162,271
163,475
164,495
165,426
166,493
167,392
168,397
169,387
170,335
171,479
172,336
173,223
174,262
175,326
176,488
177,485
178,368
179,476
180,404
181,311
182,418
183,461
184,383
185,445
186,429
187,292
188,195
189,231
190,323
191,331
192,315
193,296
194,421
195,478
196,486
197,324
198,313
199,324
200,225
201,379
202,358
203,277
204,488
205,364
206,386
207,246
208,158
209,405
210,435
211,255
212,480
213,500
214,461
215,301
216,365
217,332
218,436
219,425
220,290
221,493
222,249
223,289
224,320
225,452
226,496
227,481
228,336
229,298
230,496
231,261
232,396
233,262
234,497
235,321
236,500
237,486
238,260
239,488
240,350
241,389
242,288
243,290
244,465
245,323
246,336
247,488
248,482
249,448
250,499
251,301
252,353
253,421
254,423
255,256
256,465
257,298
258,428
259,499
260,442
261,419
262,485
263,493
264,462
265,249
266,301
267,482
268,242
269,315
270,322
271,294
272,463
273,479
274,319
275,318
276,362
277,465
278,497
279,322
280,457
281,344
282,494
283,450
284,490
285,445
286,241
287,490
288,466
289,460
290,500
291,385
292,324
293,472
294,272
295,483
296,380
297,484
298,424
299,317
300,498
301,473
302,227
303,244
304,496
305,362
306,248
307,428
308,487
309,264
310,383
311,486
312,255
313,292
314,277
315,453
316,500
317,373
318,216
319,436
320,337
321,488
322,249
323,493
324,441
325,492
326,405
327,477
328,484
329,244
330,500
331,363
332,470
333,318
334,384
335,346
336,315
337,495
338,466
339,440
340,499
341,437
342,389
343,487
344,490
345,485
346,371
347,473
348,496
349,493
350,491
351,471
352,497
353,473
354,483
355,423
356,298
357,453
358,488
359,485
360,263
361,353
362,275
363,410
364,323
365,393
366,345
367,293
368,328
369,476
370,385
371,249
372,499
373,425
374,322
375,283
376,493
377,459
378,358
379,325
380,293
381,340
382,283
383,371
384,481
385,381
386,332
387,316
388,231
389,296
390,359
391,498
392,434
393,494
394,336
395,475
396,335
397,379
398,282
399,321
400,478
401,179
402,287
403,467
404,492
405,480
406,498
407,459
408,258
409,275
410,424
411,490
412,435
413,493
414,440
415,358
416,365
417,210
418,364
419,292
420,465
421,463
422,244
423,393
424,413
425,498
426,323
427,415
428,314
429,292
430,411
431,332
432,327
433,303
434,420
435,355
436,497
437,423
438,287
439,398
440,468
441,250
442,278
443,355
444,490
445,227
446,422
447,425
448,374
449,208
450,308
451,438
452,415
453,290
454,299
455,272
456,261
457,474
458,326
459,213
460,221
461,436
462,491
463,415
464,477
465,297
466,211
467,328
468,377
469,266
470,342
471,318
472,451
473,462
474,407
475,497
476,289
477,441
478,377
479,448
480,500
481,356
482,340
483,248
484,479
485,299
486,322
487,404
488,310
489,417
490,362
491,398
492,226
493,282
494,365
495,333
496,467
497,493
498,375
499,252
500,306
501,438
502,362
503,255
504,336
505,304
506,500
507,427
508,447
509,467
510,225
511,482
