,0
0,336
1,341
2,421
3,440
4,288
5,497
6,500
7,494
8,499
9,476
10,494
11,326
12,376
13,398
14,500
15,373
16,370
17,256
18,500
19,497
20,500
21,499
22,398
23,500
24,236
25,500
26,472
27,339
28,358
29,260
30,499
31,467
32,499
33,398
34,453
35,499
36,340
37,344
38,429
39,485
40,350
41,393
42,466
43,448
44,500
45,346
46,497
47,365
48,276
49,326
50,347
51,351
52,383
53,313
54,300
55,461
56,317
57,476
58,238
59,463
60,281
61,498
62,500
63,498
64,246
65,499
66,488
67,459
68,496
69,267
70,499
71,499
72,375
73,268
74,497
75,395
76,460
77,327
78,500
79,498
80,394
81,265
82,500
83,451
84,460
85,218
86,480
87,309
88,390
89,499
90,498
91,347
92,208
93,497
94,497
95,479
96,490
97,498
98,247
99,368
100,498
101,495
102,364
103,500
104,494
105,367
106,495
107,497
108,479
109,484
110,242
111,247
112,385
113,255
114,487
115,310
116,247
117,190
118,499
119,488
120,362
121,499
122,498
123,499
124,363
125,499
126,495
127,400
128,467
129,499
130,413
131,411
132,328
133,241
134,457
135,491
136,469
137,469
138,267
139,234
140,499
141,190
142,326
143,348
144,485
145,202
146,235
147,442
148,285
149,268
150,289
151,375
152,384
153,174
154,341
155,433
156,290
157,235
158,195
159,438
160,448
161,328
162,289
163,498
164,493
165,443
166,499
167,474
168,431
169,364
170,347
171,499
172,356
173,161
174,234
175,302
176,499
177,433
178,281
179,500
180,447
181,366
182,483
183,498
184,384
185,496
186,494
187,358
188,171
189,368
190,312
191,306
192,318
193,261
194,453
195,500
196,496
197,312
198,386
199,390
200,217
201,443
202,423
203,251
204,499
205,324
206,449
207,307
208,248
209,331
210,485
211,285
212,497
213,500
214,488
215,373
216,353
217,251
218,424
219,466
220,280
221,499
222,231
223,426
224,372
225,495
226,499
227,499
228,284
229,268
230,499
231,282
232,407
233,352
234,499
235,374
236,498
237,500
238,224
239,499
240,389
241,465
242,242
243,204
244,498
245,318
246,358
247,500
248,499
249,404
250,498
251,345
252,328
253,466
254,458
255,338
256,492
257,208
258,445
259,500
260,438
261,426
262,500
263,498
264,496
265,346
266,361
267,499
268,336
269,246
270,310
271,329
272,499
273,497
274,318
275,213
276,252
277,498
278,499
279,277
280,493
281,320
282,497
283,495
284,498
285,491
286,245
287,486
288,496
289,498
290,500
291,463
292,309
293,498
294,354
295,497
296,438
297,499
298,476
299,279
300,500
301,491
302,275
303,261
304,500
305,371
306,226
307,473
308,499
309,356
310,425
311,499
312,290
313,263
314,257
315,499
316,498
317,430
318,241
319,419
320,297
321,497
322,260
323,500
324,487
325,500
326,430
327,496
328,499
329,244
330,498
331,391
332,498
333,357
334,420
335,343
336,337
337,499
338,498
339,498
340,500
341,457
342,421
343,497
344,486
345,499
346,400
347,500
348,499
349,489
350,498
351,467
352,496
353,500
354,499
355,431
356,232
357,474
358,499
359,498
360,235
361,401
362,295
363,417
364,329
365,327
366,313
367,317
368,327
369,497
370,348
371,222
372,500
373,441
374,313
375,324
376,499
377,483
378,472
379,424
380,306
381,386
382,329
383,300
384,499
385,370
386,345
387,365
388,205
389,379
390,338
391,500
392,454
393,500
394,257
395,495
396,399
397,407
398,297
399,231
400,499
401,242
402,330
403,477
404,500
405,498
406,496
407,493
408,325
409,405
410,482
411,500
412,467
413,500
414,479
415,368
416,483
417,256
418,368
419,329
420,497
421,497
422,292
423,436
424,488
425,500
426,263
427,439
428,269
429,253
430,409
431,318
432,351
433,240
434,434
435,370
436,498
437,460
438,245
439,364
440,500
441,192
442,237
443,442
444,499
445,158
446,387
447,453
448,438
449,360
450,289
451,493
452,451
453,238
454,244
455,366
456,298
457,500
458,425
459,217
460,286
461,437
462,497
463,454
464,498
465,269
466,227
467,392
468,426
469,259
470,271
471,297
472,422
473,496
474,426
475,498
476,249
477,470
478,392
479,472
480,500
481,392
482,373
483,264
484,499
485,310
486,402
487,423
488,327
489,489
490,328
491,466
492,293
493,391
494,383
495,417
496,454
497,499
498,411
499,349
500,316
501,497
502,443
503,307
504,303
505,270
506,500
507,442
508,495
509,499
510,306
511,499
