,0
0,0.2673781
1,0.24362198
2,0.21852115
3,0.25878352
4,0.26009628
5,0.4092527
6,0.43171012
7,0.353676
8,0.40704608
9,0.24295872
10,0.34283546
11,0.19274142
12,0.24809507
13,0.2673918
14,0.47508323
15,0.24955976
16,0.22180906
17,0.19738102
18,0.48734176
19,0.29108813
20,0.41472113
21,0.43675655
22,0.24392188
23,0.3850566
24,0.23282164
25,0.33521128
26,0.19785053
27,0.29499942
28,0.25016892
29,0.32310787
30,0.34479034
31,0.25835937
32,0.34929293
33,0.17573562
34,0.2717591
35,0.47375506
36,0.16992442
37,0.19685446
38,0.2271207
39,0.3421839
40,0.27045816
41,0.18645933
42,0.20404099
43,0.21250662
44,0.40666658
45,0.249864
46,0.34079683
47,0.23170131
48,0.28843784
49,0.25479573
50,0.23300122
51,0.24528074
52,0.22039282
53,0.31090826
54,0.21669978
55,0.28832448
56,0.2252014
57,0.2075447
58,0.28719246
59,0.26393843
60,0.23441027
61,0.36233598
62,0.41529873
63,0.2779962
64,0.15309972
65,0.3206496
66,0.3316872
67,0.30752486
68,0.34069556
69,0.23071478
70,0.4067958
71,0.3790655
72,0.19793785
73,0.22210982
74,0.39098617
75,0.3189197
76,0.18904318
77,0.17864037
78,0.30367902
79,0.38287765
80,0.27394134
81,0.3147586
82,0.43539163
83,0.19621292
84,0.25372243
85,0.28654635
86,0.2868517
87,0.14765093
88,0.23579276
89,0.3500228
90,0.40296686
91,0.2307235
92,0.26150578
93,0.40811238
94,0.4377017
95,0.230532
96,0.26728207
97,0.31417757
98,0.34754217
99,0.2289122
100,0.38531423
101,0.30331743
102,0.27339643
103,0.32639056
104,0.244948
105,0.21960351
106,0.27817374
107,0.504473
108,0.28944293
109,0.34637964
110,0.27290064
111,0.2197414
112,0.22674567
113,0.1979459
114,0.26065052
115,0.27846244
116,0.2320401
117,0.20818453
118,0.40991694
119,0.28279358
120,0.22111014
121,0.4460504
122,0.4234349
123,0.39791113
124,0.23241755
125,0.45533982
126,0.33608943
127,0.24034783
128,0.24573317
129,0.3318804
130,0.1770193
131,0.20157477
132,0.2179349
133,0.32045084
134,0.20173892
135,0.35653222
136,0.35454744
137,0.2931329
138,0.21735463
139,0.3632114
140,0.38204443
141,0.30000424
142,0.25656992
143,0.30088055
144,0.21345371
145,0.2393636
146,0.18410194
147,0.24217322
148,0.27771667
149,0.2921444
150,0.28440335
151,0.27013758
152,0.16658738
153,0.2663009
154,0.2619661
155,0.21106014
156,0.2467803
157,0.22822985
158,0.30332142
159,0.25799268
160,0.20036307
161,0.35614204
162,0.2455463
163,0.35450247
164,0.35615164
165,0.2912705
166,0.43745595
167,0.18147072
168,0.31958696
169,0.22302103
170,0.273226
171,0.38042724
172,0.24249801
173,0.36299598
174,0.3114788
175,0.18908663
176,0.44792527
177,0.31091312
178,0.24635954
179,0.39845926
180,0.22225872
181,0.28716192
182,0.32839248
183,0.27439415
184,0.3203802
185,0.26609102
186,0.25569198
187,0.20097286
188,0.20653239
189,0.24523373
190,0.2982419
191,0.27212062
192,0.27344227
193,0.21647312
194,0.2663799
195,0.41557842
196,0.3300621
197,0.22129029
198,0.17820722
199,0.24671607
200,0.25773335
201,0.1757707
202,0.16989145
203,0.2578795
204,0.35871083
205,0.26713604
206,0.21624063
207,0.25270438
208,0.2376252
209,0.27816615
210,0.34034503
211,0.20355412
212,0.38216248
213,0.4683314
214,0.28114617
215,0.19148037
216,0.2161127
217,0.32517588
218,0.23069473
219,0.20024899
220,0.22075911
221,0.40227205
222,0.29795635
223,0.19180769
224,0.19855283
225,0.29408568
226,0.4108964
227,0.41376424
228,0.22293079
229,0.2942114
230,0.45148674
231,0.24821417
232,0.20030841
233,0.24176033
234,0.490426
235,0.14922291
236,0.4696688
237,0.34484723
238,0.28251737
239,0.41074166
240,0.19346248
241,0.1974033
242,0.29350552
243,0.28831667
244,0.37595743
245,0.29898703
246,0.19973026
247,0.34750378
248,0.31999886
249,0.2794541
250,0.44878682
251,0.2182804
252,0.21403386
253,0.22995132
254,0.19563964
255,0.20954296
256,0.31944448
257,0.2923806
258,0.2415223
259,0.54724234
260,0.21225831
261,0.30003142
262,0.41567782
263,0.364216
264,0.30377746
265,0.22272685
266,0.18620878
267,0.408975
268,0.2093013
269,0.26281422
270,0.26702654
271,0.23344316
272,0.36221892
273,0.37568372
274,0.2333008
275,0.29992503
276,0.34113798
277,0.249407
278,0.44992316
279,0.31949466
280,0.28053957
281,0.29388928
282,0.35610497
283,0.32276142
284,0.31556767
285,0.2741719
286,0.2286998
287,0.33331412
288,0.29720992
289,0.36030588
290,0.49618945
291,0.2420235
292,0.3173251
293,0.3416158
294,0.15906641
295,0.40557885
296,0.1820461
297,0.31064278
298,0.21480402
299,0.22990541
300,0.4628706
301,0.40289202
302,0.21961921
303,0.22927642
304,0.38494974
305,0.25292382
306,0.19412681
307,0.23312816
308,0.38078958
309,0.2261275
310,0.29342455
311,0.3703366
312,0.17389855
313,0.26910472
314,0.17649356
315,0.3249513
316,0.490074
317,0.20758438
318,0.21718425
319,0.21899453
320,0.25276372
321,0.44993043
322,0.25165686
323,0.47446388
324,0.31421727
325,0.38698578
326,0.27820826
327,0.31981492
328,0.39626536
329,0.27527753
330,0.50325423
331,0.3120503
332,0.3497609
333,0.2514613
334,0.21148331
335,0.25934517
336,0.27405578
337,0.42627323
338,0.35964584
339,0.27008235
340,0.43012697
341,0.26037687
342,0.20843732
343,0.3771718
344,0.3143953
345,0.44352403
346,0.27507758
347,0.35929394
348,0.408992
349,0.34525216
350,0.4517672
351,0.24684009
352,0.3599616
353,0.31469026
354,0.4050733
355,0.2647342
356,0.32914358
357,0.3088581
358,0.31703067
359,0.41329345
360,0.24875435
361,0.24625298
362,0.24555525
363,0.1931749
364,0.2516013
365,0.25120765
366,0.2732072
367,0.30040288
368,0.23394448
369,0.37335396
370,0.28943226
371,0.26415098
372,0.47838852
373,0.28175053
374,0.28661817
375,0.22953492
376,0.4363088
377,0.26305777
378,0.17476861
379,0.19185403
380,0.26475555
381,0.2188175
382,0.24892321
383,0.21487284
384,0.3042193
385,0.21453258
386,0.2255258
387,0.28731915
388,0.25613993
389,0.2554155
390,0.35148653
391,0.39435506
392,0.31418663
393,0.36466378
394,0.2460026
395,0.40193748
396,0.225563
397,0.21426073
398,0.2706319
399,0.2489412
400,0.42438734
401,0.2737887
402,0.2124291
403,0.28347203
404,0.35579517
405,0.27812058
406,0.4303155
407,0.3232358
408,0.17026234
409,0.24843717
410,0.21971498
411,0.36290964
412,0.24268505
413,0.42220634
414,0.23719025
415,0.26539043
416,0.17848441
417,0.28211257
418,0.2804939
419,0.26885456
420,0.34694147
421,0.29950917
422,0.21853043
423,0.25767067
424,0.28507212
425,0.4768201
426,0.24617964
427,0.22538641
428,0.29074004
429,0.32108858
430,0.24054936
431,0.2349017
432,0.22512111
433,0.3040102
434,0.21377003
435,0.25733554
436,0.4206699
437,0.22454019
438,0.21767557
439,0.20012599
440,0.3658675
441,0.23464182
442,0.28280523
443,0.1977335
