,0
0,0.26149756
1,0.3189941
2,0.2073853
3,0.2255095
4,0.24579778
5,0.21372801
6,0.25902706
7,0.30269337
8,0.30493647
9,0.29120973
10,0.2781345
11,0.2733987
12,0.33383334
13,0.30939057
14,0.25115913
15,0.40292734
16,0.22798614
17,0.33174688
18,0.29584074
19,0.3759557
20,0.32441637
21,0.2177884
22,0.24650723
23,0.23771703
24,0.34321442
25,0.2611517
26,0.31533393
27,0.29877073
28,0.35153502
29,0.34078735
30,0.34450608
31,0.20575984
32,0.37630218
33,0.30171156
34,0.31385458
35,0.23743376
36,0.24979043
37,0.30337983
38,0.30030662
39,0.30638427
40,0.27842242
41,0.20538607
42,0.22153339
43,0.20349853
44,0.26519087
45,0.3971026
46,0.2540892
47,0.36131424
48,0.304881
49,0.3056213
50,0.22244483
51,0.24964765
52,0.22834551
53,0.35841122
54,0.24613482
55,0.33080387
56,0.34023497
57,0.21204299
58,0.32858294
59,0.32942358
60,0.34401006
61,0.39348012
62,0.21582146
63,0.2892835
64,0.20255597
65,0.35088053
66,0.29605353
67,0.31181633
68,0.3224845
69,0.32262772
70,0.29340988
71,0.2586385
72,0.2881838
73,0.27181125
74,0.2959478
75,0.32653022
76,0.2755848
77,0.20981556
78,0.2430529
79,0.28878713
80,0.28576416
81,0.26735905
82,0.20893674
83,0.15142748
84,0.25404692
85,0.30381298
86,0.24157846
87,0.25713426
88,0.2925135
89,0.29295254
90,0.36930615
91,0.26185346
92,0.3396483
93,0.37653884
94,0.32723352
95,0.23059751
96,0.21350761
97,0.30655533
98,0.2809941
99,0.3229126
100,0.33105665
101,0.29679048
102,0.26054513
103,0.344259
104,0.2689588
105,0.36494595
106,0.32487738
107,0.30594966
108,0.2709607
109,0.27876514
110,0.265839
111,0.25550833
112,0.3070072
113,0.1505986
114,0.2873418
115,0.26014638
116,0.3395092
117,0.2115752
118,0.26937324
119,0.27485767
120,0.31608996
121,0.30857122
122,0.32800508
123,0.17712295
124,0.2917531
125,0.2466058
126,0.26079386
127,0.21925607
128,0.32496294
129,0.24745235
130,0.24020003
131,0.2177631
132,0.25333455
133,0.5411363
134,0.2884755
135,0.28000823
136,0.3000811
137,0.3064468
138,0.1622077
139,0.3370874
140,0.3380739
141,0.28073406
142,0.26906502
143,0.345735
144,0.25616524
145,0.26867485
146,0.28996775
147,0.32874763
148,0.32116407
149,0.30673483
150,0.26888525
151,0.24860874
152,0.2754965
153,0.3490271
154,0.30218244
155,0.21720308
156,0.24395972
157,0.32636708
158,0.23985535
159,0.27668902
160,0.35742998
161,0.3023864
162,0.30876577
163,0.2774628
164,0.25328332
165,0.31388417
166,0.2998432
167,0.29257035
168,0.20691068
169,0.25740445
170,0.34362054
171,0.30861384
172,0.24163103
173,0.26910773
174,0.2960966
175,0.24122584
176,0.29652882
177,0.30111557
178,0.31809574
179,0.24570194
180,0.32070994
181,0.3706686
182,0.31774476
183,0.2810036
184,0.2848658
185,0.33224973
186,0.3255803
187,0.23997091
188,0.19343522
189,0.30248725
190,0.2700526
191,0.26053262
192,0.2650302
193,0.27241766
194,0.23357704
195,0.30770203
196,0.3898226
197,0.17486218
198,0.216827
199,0.3988394
200,0.30171663
201,0.30271477
202,0.3621881
203,0.30658615
204,0.28181246
205,0.26543334
206,0.22538275
207,0.21441868
208,0.30066782
209,0.3386659
210,0.3434527
211,0.34298098
212,0.22794764
213,0.2760966
214,0.28368723
215,0.20348144
216,0.18060619
217,0.34805
218,0.23497295
219,0.27633905
220,0.19395757
221,0.21565941
222,0.2930237
223,0.3429529
224,0.22972037
225,0.2837562
226,0.20101821
227,0.29619277
228,0.26431578
229,0.3313706
230,0.29258227
231,0.23995389
232,0.23614807
233,0.22917154
234,0.3553512
235,0.1938352
236,0.26748878
237,0.34321102
238,0.3476201
239,0.2175652
240,0.22265711
241,0.34453607
242,0.37779552
243,0.2963522
244,0.33571994
245,0.29104435
246,0.2230727
247,0.32301408
248,0.28167588
249,0.286128
250,0.31270295
251,0.29772305
252,0.3385302
253,0.25632104
254,0.24605443
255,0.26977775
256,0.22408223
257,0.27380103
258,0.2460244
259,0.29743734
260,0.21129154
261,0.3225407
262,0.23473364
263,0.23413065
264,0.33554977
265,0.33580136
266,0.22878926
267,0.46870083
268,0.34682253
269,0.27494836
270,0.2846287
271,0.34388512
272,0.22899842
273,0.23863567
274,0.26622552
275,0.35997123
276,0.32216543
277,0.16341683
278,0.2717515
279,0.33045316
280,0.24608774
281,0.3101985
282,0.25955015
283,0.2972058
284,0.24892738
285,0.29495862
286,0.30228716
287,0.31769806
288,0.31934017
289,0.37559366
290,0.2890883
291,0.25077885
292,0.283081
