,0
0,448
1,308
2,166
3,272
4,496
5,486
6,451
7,410
8,490
9,451
10,378
11,479
12,320
13,336
14,500
15,229
16,498
17,301
18,491
19,328
20,473
21,497
22,220
23,334
24,412
25,494
26,365
27,420
28,310
29,430
30,441
31,472
32,422
33,381
34,490
35,461
36,380
37,444
38,292
39,433
40,474
41,464
42,352
43,497
44,446
45,419
46,316
47,486
48,293
49,345
50,482
51,444
52,371
53,491
54,389
55,385
56,331
57,309
58,432
59,367
60,490
61,354
62,390
63,468
64,351
65,338
66,484
67,471
68,495
69,321
70,498
71,499
72,427
73,468
74,496
75,423
76,184
77,311
78,391
79,490
80,406
81,320
82,480
83,214
84,465
85,491
86,423
87,443
88,307
89,288
90,459
91,485
92,481
93,405
94,493
95,478
96,372
97,395
98,499
99,475
100,482
101,446
102,471
103,487
104,385
105,362
106,234
107,500
108,452
109,496
110,498
111,379
112,370
113,150
114,273
115,492
116,476
117,483
118,398
119,489
120,313
121,450
122,500
123,464
124,421
125,498
126,475
127,355
128,492
129,264
130,184
131,468
132,302
133,447
134,484
135,406
136,465
137,368
138,484
139,338
140,481
141,280
142,310
143,333
144,297
145,497
146,355
147,231
148,418
149,393
150,446
151,488
152,219
153,340
154,488
155,494
156,330
157,184
158,497
159,455
160,448
161,365
162,285
163,335
164,500
165,467
166,490
167,265
168,493
169,310
170,399
171,480
172,383
173,480
174,431
175,497
176,417
177,500
178,493
179,494
180,468
181,236
182,477
183,403
184,370
185,316
186,287
187,357
188,471
189,198
190,475
191,475
192,445
193,463
194,485
195,344
196,478
197,498
198,308
199,220
200,475
201,409
202,444
203,445
204,474
205,368
206,493
207,414
208,171
209,500
210,486
211,442
212,385
213,500
214,451
215,260
216,496
217,406
218,414
219,381
220,475
221,485
222,463
223,159
224,476
225,480
226,475
227,356
228,352
229,413
230,393
231,250
232,475
233,186
234,484
235,366
236,411
237,352
238,451
239,475
240,491
241,291
242,391
243,345
244,498
245,464
246,477
247,444
248,458
249,468
250,495
251,439
252,384
253,463
254,489
255,452
256,493
257,496
258,490
259,498
260,358
261,456
262,261
263,500
264,427
265,202
266,450
267,406
268,227
269,452
270,345
271,459
272,439
273,490
274,430
275,356
276,492
277,343
278,499
279,399
280,485
281,477
282,460
283,463
284,436
285,472
286,426
287,500
288,430
289,482
290,445
291,493
292,348
293,422
294,259
295,402
296,479
297,395
298,484
299,269
300,452
301,398
302,256
303,399
304,424
305,498
306,491
307,475
308,485
309,227
310,495
311,377
312,475
313,484
314,490
315,353
316,488
317,456
318,457
319,499
320,496
321,492
322,363
323,401
324,325
325,450
326,482
327,435
328,448
329,493
330,480
331,496
332,454
333,264
334,362
335,446
336,492
337,403
338,485
339,256
340,416
341,491
342,357
343,497
344,499
345,499
346,444
347,241
348,498
349,500
350,467
351,491
352,480
353,313
354,365
355,385
356,494
357,484
358,493
359,488
360,498
361,477
362,232
363,394
364,457
365,500
366,499
367,415
368,468
369,350
370,490
371,478
372,484
373,498
374,441
375,246
376,482
377,427
378,370
379,235
380,494
381,310
382,264
383,500
384,378
385,346
386,206
387,445
388,445
389,265
390,350
391,492
392,371
393,402
394,438
395,350
396,368
397,389
398,483
399,445
400,486
401,238
402,272
403,483
404,499
405,427
406,499
407,498
408,131
409,353
410,379
411,413
412,301
413,393
414,365
415,469
416,197
417,204
418,310
419,444
420,452
421,375
422,306
423,410
424,365
425,438
426,459
427,485
428,479
429,482
430,373
431,481
432,308
433,500
434,487
435,332
436,489
437,463
438,365
439,484
440,320
441,363
442,454
443,354
444,474
445,474
446,428
447,361
448,461
449,134
450,469
451,449
452,367
453,334
454,409
455,246
456,356
457,409
458,352
459,445
460,253
461,470
462,406
463,399
464,492
465,442
466,451
467,265
468,324
469,467
470,491
471,399
472,491
473,464
474,343
475,493
476,356
477,500
478,357
479,409
480,492
481,287
482,319
483,463
484,493
485,451
486,289
487,500
488,492
489,312
490,436
491,207
492,348
493,190
494,238
495,395
496,476
497,341
498,459
499,231
500,479
501,322
502,476
503,258
504,490
505,250
506,498
507,357
508,309
509,404
510,274
511,464
