,0
0,0.46344447
1,0.24391007
2,0.19918138
3,0.15834257
4,0.5441183
5,0.5056242
6,0.2643711
7,0.18377209
8,0.46356273
9,0.30385777
10,0.18241313
11,0.5120837
12,0.2705325
13,0.23312044
14,0.50685525
15,0.21397229
16,0.5322896
17,0.19044834
18,0.4990179
19,0.19619235
20,0.33257568
21,0.47692698
22,0.27037722
23,0.20834273
24,0.34312755
25,0.50465906
26,0.26032707
27,0.16895965
28,0.24011475
29,0.3083803
30,0.21274412
31,0.53825533
32,0.17027509
33,0.24864687
34,0.38928956
35,0.18127482
36,0.21864247
37,0.32747585
38,0.18466464
39,0.20103744
40,0.59202814
41,0.42048153
42,0.1975523
43,0.50639844
44,0.222051
45,0.38929677
46,0.18822503
47,0.326245
48,0.24183269
49,0.2935351
50,0.44156608
51,0.52272916
52,0.21981159
53,0.3614939
54,0.22877133
55,0.20782518
56,0.21821699
57,0.19850893
58,0.26780587
59,0.19568664
60,0.49906778
61,0.18258712
62,0.24957286
63,0.50464815
64,0.35894653
65,0.22817609
66,0.27284467
67,0.26323265
68,0.2322765
69,0.21846408
70,0.29244742
71,0.5550215
72,0.52932113
73,0.5166118
74,0.5009303
75,0.21400565
76,0.23660417
77,0.21672593
78,0.17956087
79,0.5385761
80,0.22069083
81,0.258364
82,0.27893168
83,0.16416034
84,0.4047151
85,0.2194676
86,0.21889153
87,0.25353786
88,0.26351744
89,0.2727229
90,0.18756455
91,0.48219597
92,0.3312947
93,0.17472163
94,0.30116802
95,0.5170263
96,0.16248336
97,0.21853323
98,0.5445806
99,0.44577992
100,0.25788507
101,0.31501687
102,0.2517449
103,0.48500234
104,0.18356591
105,0.17622995
106,0.19506833
107,0.49452856
108,0.17259061
109,0.19161336
110,0.5395613
111,0.19292206
112,0.21206078
113,0.2052955
114,0.19697264
115,0.4861946
116,0.567982
117,0.55318826
118,0.19535983
119,0.57091
120,0.26974234
121,0.258996
122,0.43626058
123,0.2660629
124,0.22122666
125,0.48479742
126,0.36257696
127,0.23803431
128,0.42034322
129,0.19393478
130,0.202685
131,0.36539268
132,0.26046202
133,0.20743126
134,0.485931
135,0.21527347
136,0.19530962
137,0.20829813
138,0.54368865
139,0.24642323
140,0.2054539
141,0.17841744
142,0.16926412
143,0.23697697
144,0.15777335
145,0.63653356
146,0.36682665
147,0.18443656
148,0.2604557
149,0.19498086
150,0.25029168
151,0.5622877
152,0.21588992
153,0.22892201
154,0.5363964
155,0.56937873
156,0.24041492
157,0.15389684
158,0.5649819
159,0.49850094
160,0.2995955
161,0.18422773
162,0.2010568
163,0.19160905
164,0.5620217
165,0.19407174
166,0.33351892
167,0.21343678
168,0.5659793
169,0.18565303
170,0.24578737
171,0.48741797
172,0.23325682
173,0.6436131
174,0.22947502
175,0.4347728
176,0.2133805
177,0.3124488
178,0.4838228
179,0.52674806
180,0.41487893
181,0.24209376
182,0.45350653
183,0.28305554
184,0.17288923
185,0.19947208
186,0.18409553
187,0.22651823
188,0.55343986
189,0.23509967
190,0.29039395
191,0.36429763
192,0.30528235
193,0.41977912
194,0.2741269
195,0.19687583
196,0.35571772
197,0.610376
198,0.22709802
199,0.18906942
200,0.55882335
201,0.45272195
202,0.4237956
203,0.48437104
204,0.27313524
205,0.14799502
206,0.53890616
207,0.3059463
208,0.21020342
209,0.47762525
210,0.4831993
211,0.34712428
212,0.25224245
213,0.57552314
214,0.22296388
215,0.21082231
216,0.5102569
217,0.17059834
218,0.19588494
219,0.18740468
220,0.44428992
221,0.30759323
222,0.55024487
223,0.20091917
224,0.4108677
225,0.45246476
226,0.28953493
227,0.1820128
228,0.24449715
229,0.27546293
230,0.18786252
231,0.2366902
232,0.40766782
233,0.18942878
234,0.20017861
235,0.27170038
236,0.21918744
237,0.25322196
238,0.4571078
239,0.49253768
240,0.51757765
241,0.185161
242,0.24860859
243,0.20253614
244,0.47116622
245,0.43331546
246,0.51489866
247,0.21556082
248,0.21962142
249,0.2054334
250,0.22889599
251,0.477532
252,0.19533819
253,0.31378365
254,0.3344366
255,0.4922163
256,0.47675335
257,0.5968156
258,0.3504187
259,0.24877232
260,0.21095671
261,0.21716678
262,0.29426593
263,0.6459563
264,0.3005886
265,0.17918493
266,0.46211696
267,0.21825778
268,0.18181373
269,0.15371388
270,0.22954187
271,0.50213706
272,0.45833814
273,0.542688
274,0.23691577
275,0.14586534
276,0.44193876
277,0.18078005
278,0.53211886
279,0.23361784
280,0.48044038
281,0.27475274
282,0.21106276
283,0.2557022
284,0.2357268
285,0.52556455
286,0.4874849
287,0.3626148
288,0.3428439
289,0.41283506
290,0.21787904
291,0.6164266
292,0.2332592
293,0.22882757
294,0.23091017
295,0.20908107
296,0.38270307
297,0.21397491
298,0.44161433
299,0.21956182
300,0.21260327
301,0.21060285
302,0.27658498
303,0.28962088
304,0.16627328
305,0.472153
306,0.6194639
307,0.47649556
308,0.46380538
309,0.2064858
310,0.64518905
311,0.27102202
312,0.5829359
313,0.428311
314,0.503583
315,0.23928659
316,0.19418648
317,0.2574814
318,0.3848067
319,0.5184703
320,0.57384306
321,0.51704955
322,0.1845282
323,0.19651267
324,0.15694007
325,0.23966333
326,0.47447935
327,0.20339449
328,0.2258991
329,0.53067183
330,0.2669683
331,0.5289793
332,0.36380875
333,0.24065179
334,0.24605681
335,0.16425878
336,0.62248063
337,0.15735842
338,0.4785753
339,0.24349612
340,0.21628283
341,0.46659076
342,0.32625592
343,0.61250365
344,0.52827156
345,0.4492954
346,0.20067202
347,0.21611413
348,0.4864487
349,0.3760093
350,0.24983107
351,0.43724707
352,0.24473126
