,0
0,312
1,211
2,291
3,344
4,346
5,485
6,372
7,462
8,335
9,390
10,397
11,286
12,477
13,367
14,465
15,251
16,441
17,425
18,446
19,336
20,343
21,493
22,373
23,422
24,264
25,413
26,451
27,451
28,430
29,424
30,348
31,422
32,384
33,435
34,478
35,447
36,397
37,267
38,483
39,495
40,465
41,436
42,462
43,481
44,431
45,410
46,413
47,405
48,413
49,472
50,361
51,266
52,464
53,469
54,340
55,492
56,423
57,294
58,293
59,357
60,353
61,425
62,483
63,362
64,306
65,437
66,433
67,455
68,491
69,424
70,497
71,454
72,262
73,437
74,399
75,447
76,265
77,456
78,356
79,432
80,386
81,272
82,437
83,286
84,443
85,475
86,484
87,463
88,371
89,437
90,490
91,407
92,419
93,464
94,464
95,383
96,385
97,411
98,325
99,468
100,482
101,269
102,463
103,405
104,385
105,431
106,413
107,495
108,488
109,496
110,394
111,446
112,322
113,191
114,487
115,472
116,435
117,288
118,494
119,492
120,468
121,494
122,496
123,496
124,369
125,493
126,443
127,462
128,394
129,378
130,421
131,398
132,476
133,354
134,329
135,327
136,449
137,274
138,442
139,327
140,422
141,371
142,454
143,385
144,374
145,268
146,318
147,280
148,359
149,418
150,338
151,364
152,413
153,292
154,448
155,436
156,486
157,201
158,338
159,456
160,472
161,334
162,406
163,400
164,491
165,436
166,452
167,467
168,491
169,445
170,436
171,347
172,437
173,475
174,406
175,459
176,368
177,482
178,433
179,479
180,355
181,471
182,473
183,402
184,363
185,434
186,299
187,320
188,258
189,214
190,365
191,345
192,339
193,310
194,416
195,347
196,454
197,467
198,333
199,304
200,243
201,371
202,304
203,445
204,397
205,364
206,326
207,356
208,308
209,456
210,373
211,452
212,495
213,484
214,486
215,441
216,485
217,454
218,486
219,480
220,308
221,494
222,468
223,271
224,404
225,456
226,492
227,374
228,479
229,364
230,479
231,252
232,363
233,254
234,497
235,432
236,473
237,379
238,318
239,490
240,408
241,347
242,297
243,300
244,341
245,487
246,306
247,365
248,407
249,481
250,484
251,314
252,483
253,435
254,460
255,272
256,488
257,375
258,419
259,481
260,462
261,480
262,335
263,492
264,332
265,375
266,292
267,386
268,361
269,428
270,390
271,284
272,482
273,381
274,365
275,465
276,451
277,360
278,481
279,432
280,368
281,465
282,431
283,473
284,423
285,359
286,463
287,500
288,356
289,364
290,432
291,477
292,459
293,463
294,376
295,494
296,432
297,414
298,429
299,333
300,495
301,488
302,292
303,429
304,450
305,359
306,387
307,320
308,467
309,319
310,356
311,462
312,420
313,453
314,355
315,333
316,480
317,321
318,356
319,427
320,331
321,374
322,395
323,418
324,404
325,493
326,485
327,474
328,441
329,406
330,498
331,429
332,490
333,444
334,303
335,473
336,335
337,495
338,310
339,442
340,484
341,483
342,367
343,390
344,494
345,480
346,494
347,373
348,421
349,498
350,431
351,413
352,486
353,311
354,347
355,447
356,463
357,411
358,432
359,405
360,312
361,370
362,309
363,468
364,349
365,432
366,467
367,279
368,331
369,486
370,486
371,457
372,497
373,386
374,431
375,356
376,496
377,482
378,431
379,452
380,330
381,458
382,281
383,463
384,348
385,480
386,447
387,306
388,447
389,438
390,463
391,493
392,316
393,421
394,477
395,494
396,290
397,469
398,310
399,441
400,402
401,257
402,463
403,497
404,460
405,475
406,488
407,343
408,238
409,249
410,377
411,396
412,464
413,368
414,380
415,394
416,389
417,244
418,475
419,295
420,367
421,468
422,240
423,389
424,466
425,450
426,477
427,379
428,474
429,406
430,357
431,477
432,422
433,441
434,362
435,328
436,488
437,456
438,311
439,415
440,436
441,402
442,392
443,315
444,478
445,460
446,490
447,473
448,461
449,259
450,371
451,400
452,430
453,341
454,479
455,317
456,332
457,350
458,272
459,280
460,338
461,490
462,425
463,439
464,317
465,427
466,362
467,369
468,478
469,325
470,419
471,394
472,487
473,451
474,484
475,500
476,307
477,453
478,340
479,422
480,494
481,486
482,444
483,303
484,394
485,296
486,325
487,413
488,414
489,347
490,396
491,427
492,327
493,244
494,437
495,351
496,498
497,488
498,429
499,257
500,451
501,329
502,350
503,296
504,308
505,463
506,489
507,481
508,365
509,353
510,190
511,442
