,0
0,0.2827912
1,0.27710316
2,0.2119197
3,0.24256344
4,0.24944061
5,0.3879736
6,0.28935206
7,0.30753297
8,0.34009543
9,0.25997114
10,0.22106025
11,0.26636142
12,0.39644542
13,0.23179
14,0.29146126
15,0.25117308
16,0.26753795
17,0.42081445
18,0.3284601
19,0.2965184
20,0.27400643
21,0.44211096
22,0.19508505
23,0.22434232
24,0.20437248
25,0.2516937
26,0.24685997
27,0.2950467
28,0.36229753
29,0.24236503
30,0.2821469
31,0.2842366
32,0.25218612
33,0.28444675
34,0.2480254
35,0.2501161
36,0.16985163
37,0.25035632
38,0.3470074
39,0.38239396
40,0.24068792
41,0.21243063
42,0.23245934
43,0.2846715
44,0.27977705
45,0.22422767
46,0.26564595
47,0.259849
48,0.37768674
49,0.37793028
50,0.24841045
51,0.19697198
52,0.35919845
53,0.40281126
54,0.18413651
55,0.3852222
56,0.2631942
57,0.15956092
58,0.24216254
59,0.29940546
60,0.24199377
61,0.2945522
62,0.4273188
63,0.33024663
64,0.15511906
65,0.24678579
66,0.29186058
67,0.27058542
68,0.26988018
69,0.33713645
70,0.3833695
71,0.3087967
72,0.27902412
73,0.2846959
74,0.27657312
75,0.3928085
76,0.2371332
77,0.28521755
78,0.23430924
79,0.2954821
80,0.25394562
81,0.24196294
82,0.22418302
83,0.18743166
84,0.186427
85,0.38611546
86,0.3005628
87,0.26405132
88,0.21589884
89,0.22895366
90,0.35149625
91,0.2323587
92,0.2703064
93,0.31538033
94,0.37928694
95,0.20823583
96,0.23752181
97,0.26234972
98,0.30642182
99,0.38207713
100,0.39108193
101,0.26367298
102,0.22748318
103,0.28408992
104,0.24899194
105,0.27856085
106,0.29459995
107,0.51714087
108,0.35135397
109,0.3870921
110,0.2401759
111,0.3082171
112,0.2573532
113,0.15684962
114,0.34869203
115,0.35330883
116,0.30004755
117,0.2129401
118,0.42593244
119,0.4413057
120,0.37297732
121,0.44602928
122,0.39218193
123,0.43184847
124,0.26193038
125,0.44747293
126,0.20249276
127,0.19825289
128,0.2783572
129,0.2607333
130,0.28075084
131,0.19546568
132,0.30049795
133,0.26173586
134,0.25468215
135,0.31613246
136,0.23087019
137,0.28137815
138,0.28847766
139,0.27023393
140,0.24086136
141,0.22236106
142,0.38186854
143,0.28764835
144,0.27419496
145,0.2555064
146,0.19452873
147,0.28364116
148,0.2416521
149,0.2427346
150,0.2152817
151,0.2626276
152,0.18571606
153,0.25680956
154,0.38894057
155,0.2122709
156,0.37559468
157,0.26752695
158,0.22898431
159,0.39522892
160,0.3695048
161,0.34900326
162,0.28871936
163,0.28789124
164,0.43932107
165,0.21515991
166,0.28544056
167,0.21445689
168,0.39241192
169,0.32866013
170,0.27225164
171,0.34639233
172,0.24021807
173,0.39833787
174,0.24477786
175,0.2631145
176,0.31248367
177,0.30340302
178,0.28175774
179,0.42537254
180,0.31074584
181,0.37267947
182,0.41912657
183,0.24819328
184,0.2452788
185,0.2676345
186,0.2171312
187,0.16825795
188,0.28566974
189,0.23921962
190,0.24482425
191,0.24013144
192,0.22126317
193,0.23822473
194,0.23936608
195,0.29213583
196,0.31620628
197,0.29935145
198,0.2587251
199,0.24164225
200,0.31747758
201,0.2552264
202,0.23092417
203,0.27938563
204,0.2664098
205,0.22427508
206,0.25180927
207,0.22563152
208,0.2002797
209,0.2600832
210,0.3119013
211,0.33691442
212,0.41657555
213,0.29812217
214,0.39007974
215,0.2817444
216,0.3236295
217,0.45264745
218,0.31910425
219,0.32217792
220,0.22761542
221,0.3766591
222,0.29328838
223,0.22655267
224,0.23589003
225,0.2544815
226,0.4075936
227,0.30594563
228,0.36065456
229,0.23328598
230,0.3473728
231,0.21342945
232,0.19030577
233,0.21249473
234,0.49525958
235,0.24370578
236,0.28549173
237,0.2485299
238,0.3078925
239,0.41535294
240,0.19425553
241,0.22714806
242,0.337335
243,0.3030072
244,0.2931359
245,0.38356364
246,0.23674694
247,0.2635542
248,0.2059691
249,0.30070704
250,0.3486554
251,0.23028028
252,0.3868127
253,0.22154087
254,0.4050419
255,0.20074509
256,0.38569546
257,0.26533937
258,0.28699064
259,0.30162376
260,0.29572254
261,0.37703842
262,0.29062164
263,0.38977337
264,0.27543783
265,0.2426146
266,0.2595244
267,0.31164682
268,0.23155421
269,0.28000584
270,0.25061142
271,0.23367667
272,0.34376967
273,0.27922314
274,0.22913074
275,0.3972879
276,0.30712572
277,0.20331237
278,0.3746725
279,0.26432544
280,0.2562877
281,0.37754804
282,0.28470278
283,0.42806596
284,0.25650498
285,0.28077123
286,0.383812
287,0.41758814
288,0.28786844
289,0.2610715
290,0.23923883
291,0.35639003
292,0.38616002
293,0.267354
294,0.15617293
295,0.40081835
296,0.18223782
297,0.27501392
298,0.19755572
299,0.25583476
300,0.36641356
301,0.36012626
302,0.17938069
303,0.32958263
304,0.24534082
305,0.22066715
306,0.2148164
307,0.2580821
308,0.42100722
309,0.16881469
310,0.26480383
311,0.27208495
312,0.22453895
313,0.41644245
314,0.19699445
315,0.262704
316,0.31578708
317,0.19524896
318,0.18899933
319,0.2108312
320,0.290065
321,0.30996478
322,0.23864289
323,0.27047873
324,0.29000255
325,0.3369866
326,0.29304218
327,0.36401868
328,0.22136098
329,0.24225394
330,0.411837
331,0.29365033
332,0.3439506
333,0.30578768
334,0.22233507
335,0.3192138
336,0.24815942
337,0.48514986
338,0.2886005
339,0.28062946
340,0.27189574
341,0.34115046
342,0.23310229
343,0.31946245
344,0.27499235
345,0.40330017
346,0.42862892
347,0.2426396
348,0.2794019
349,0.3839021
350,0.25155896
351,0.27236098
352,0.35386288
353,0.24455339
354,0.32829553
355,0.25330517
356,0.32728004
357,0.2546727
358,0.26213032
359,0.28481245
360,0.2585817
361,0.28401813
362,0.24186775
363,0.1938662
364,0.23096558
365,0.23935764
366,0.4182033
367,0.28877962
368,0.2837421
369,0.39288634
370,0.3797822
371,0.31378338
372,0.35302544
373,0.26981187
374,0.24147326
375,0.1801973
376,0.48651353
377,0.35893404
378,0.27637747
379,0.25188342
380,0.23977664
381,0.33413094
382,0.25826907
383,0.3212577
384,0.24942307
385,0.38713163
386,0.34199318
387,0.30366695
388,0.33945435
389,0.34445563
390,0.37773517
391,0.37775022
392,0.30926472
393,0.22600248
394,0.44779688
395,0.41599298
396,0.21922022
397,0.25219002
398,0.28464648
399,0.25712278
400,0.2987015
401,0.18629634
402,0.38909906
403,0.37416288
404,0.32527226
405,0.28915507
406,0.36522794
407,0.3149163
408,0.16969739
409,0.2302379
410,0.24379371
411,0.24076381
412,0.23978382
413,0.27401727
414,0.22625482
415,0.24520943
416,0.17606212
417,0.21281818
418,0.41145793
419,0.2421914
420,0.28750005
421,0.36502504
422,0.23898013
423,0.24532336
424,0.3274138
425,0.24741614
426,0.36100423
427,0.20308283
428,0.3509891
429,0.23596281
430,0.20425177
431,0.36624807
432,0.22706012
433,0.23164669
434,0.23170972
435,0.22793531
436,0.43950146
437,0.2485083
438,0.2368762
439,0.25852737
440,0.2687881
441,0.26715282
442,0.20951128
443,0.17617825
444,0.2742356
445,0.3569331
446,0.355662
447,0.39710945
448,0.3859257
449,0.2194421
450,0.24249542
451,0.17016374
452,0.19733408
453,0.26676327
454,0.36978453
455,0.22928229
456,0.2390131
457,0.27161723
458,0.25894028
459,0.28427726
460,0.19237334
461,0.25490096
462,0.30521506
463,0.23783039
464,0.29290015
465,0.1651466
466,0.20564495
467,0.2906905
468,0.34576076
469,0.26667026
470,0.24436763
471,0.21011862
472,0.38428545
473,0.3115203
474,0.40882125
475,0.45108813
476,0.21399866
477,0.21824524
478,0.2693184
479,0.2555052
480,0.35995418
481,0.3767454
482,0.28814647
483,0.2183699
484,0.29576463
485,0.18667608
486,0.23945087
487,0.2464666
