,0
0,0.17208137
1,0.21173015
2,0.21385169
3,0.18625546
4,0.2195217
5,0.56797296
6,0.20818284
7,0.3735709
8,0.19573122
9,0.2073117
10,0.22884272
11,0.21665016
12,0.52659714
13,0.21708739
14,0.1895123
15,0.21720058
16,0.19767243
17,0.5585499
18,0.2127505
19,0.23998156
20,0.18383738
21,0.5842941
22,0.2392891
23,0.24345669
24,0.14954743
25,0.17341521
26,0.37326044
27,0.3700872
28,0.5410087
29,0.25772345
30,0.25183627
31,0.26216394
32,0.18196207
33,0.346956
34,0.24660699
35,0.21892115
36,0.27862108
37,0.21800831
38,0.5262804
39,0.5139361
40,0.3210366
41,0.24225625
42,0.3860307
43,0.48397237
44,0.2784301
45,0.3443765
46,0.22377469
47,0.20574534
48,0.51588964
49,0.58316314
50,0.21944746
51,0.24410701
52,0.54753304
53,0.43697566
54,0.22584891
55,0.55601895
56,0.30642444
57,0.121459365
58,0.20275363
59,0.18171394
60,0.1495589
61,0.2618901
62,0.47357187
63,0.17439303
64,0.30771732
65,0.33852628
66,0.17814872
67,0.22682032
68,0.2103352
69,0.45444897
70,0.41329274
71,0.20616075
72,0.22119859
73,0.47689378
74,0.19594467
75,0.50618243
76,0.1569591
77,0.54222155
78,0.21691991
79,0.22882414
80,0.20406285
81,0.17866561
82,0.24980022
83,0.1362125
84,0.21022305
85,0.56334746
86,0.4215346
87,0.37749004
88,0.23178351
89,0.35632282
90,0.31869167
91,0.2097305
92,0.27718621
93,0.3482017
94,0.40143114
95,0.1910395
96,0.17572704
97,0.19895914
98,0.1814084
99,0.56662077
100,0.512832
101,0.18290296
102,0.18388496
103,0.21212468
104,0.18939722
105,0.41015092
106,0.31781787
107,0.5172974
108,0.51677835
109,0.53877026
110,0.22635886
111,0.45766443
112,0.18843527
113,0.15107185
114,0.53081226
115,0.52537614
116,0.45274258
117,0.18392216
118,0.55105793
119,0.5310327
120,0.5433283
121,0.5588607
122,0.2159031
123,0.59145737
124,0.22347867
125,0.57286793
126,0.2835075
127,0.2488341
128,0.16095896
129,0.25589377
130,0.48926187
131,0.22311437
132,0.41907138
133,0.20024231
134,0.20724934
135,0.2124304
136,0.22121607
137,0.19315197
138,0.4573742
139,0.25839412
140,0.18534762
141,0.28505918
142,0.5833086
143,0.25400898
144,0.21710336
145,0.19515923
146,0.22597483
147,0.17345107
148,0.22607243
149,0.18491241
150,0.19831017
151,0.27858746
152,0.40037817
153,0.21238568
154,0.49488544
155,0.28182042
156,0.5711404
157,0.21621022
158,0.2009388
159,0.56651926
160,0.5494729
161,0.20313138
162,0.34946018
163,0.23529455
164,0.55377126
165,0.19508217
166,0.24597442
167,0.4833756
168,0.53748494
169,0.5296216
170,0.30359548
171,0.23252356
172,0.27945685
173,0.5702238
174,0.41347462
175,0.4073976
176,0.18763606
177,0.17937505
178,0.18314283
179,0.5607302
180,0.18950547
181,0.5572805
182,0.50126535
183,0.3642972
184,0.27174902
185,0.27280432
186,0.23413852
187,0.24675831
188,0.20179269
189,0.17620188
190,0.20068035
191,0.2038917
192,0.21682268
193,0.17994294
194,0.26618487
195,0.19431011
196,0.29147008
197,0.4316883
198,0.22195753
199,0.19004583
200,0.15726283
201,0.2635086
202,0.22668059
203,0.3729542
204,0.17300229
205,0.16826236
206,0.16502944
207,0.21866758
208,0.26927686
209,0.21415076
210,0.2188035
211,0.395098
212,0.63514084
213,0.20921403
214,0.5375806
215,0.51683915
216,0.5685051
217,0.5901212
218,0.5458708
219,0.5474722
220,0.18359372
221,0.5767374
222,0.48263922
223,0.2573944
224,0.25563115
225,0.32314396
226,0.5402789
227,0.21481617
228,0.5106094
229,0.25405157
230,0.4241662
231,0.14694932
232,0.18204716
233,0.179964
234,0.45815006
235,0.37315202
236,0.19442314
237,0.1981425
238,0.18292817
239,0.52877235
240,0.22480331
241,0.25556004
242,0.16834064
243,0.19282559
244,0.20723516
245,0.6117706
246,0.22977878
247,0.19073054
248,0.19274619
249,0.40302247
250,0.2014088
251,0.18256867
252,0.5260655
253,0.2704842
254,0.5609398
255,0.17261666
256,0.4632656
257,0.21959187
258,0.22345546
259,0.2555127
260,0.3801487
261,0.58486235
262,0.23535341
263,0.49460223
264,0.18186894
265,0.339605
266,0.18195552
267,0.18950139
268,0.3333285
269,0.23118605
270,0.28125826
271,0.18021274
272,0.49589902
273,0.34422222
274,0.1978904
275,0.4884752
276,0.29039928
277,0.13418165
278,0.32993504
279,0.39540362
280,0.23884754
281,0.4895031
282,0.17155442
283,0.50233424
284,0.18506849
285,0.20218319
286,0.63230395
287,0.6418625
288,0.21399684
289,0.25893828
290,0.2545916
291,0.572281
292,0.52222943
293,0.2997061
294,0.25126404
295,0.53408957
296,0.3120469
297,0.21239603
298,0.21944658
299,0.25269824
300,0.40177476
301,0.5695027
302,0.21777415
303,0.489178
304,0.22071597
305,0.1410915
306,0.20126182
307,0.18873695
308,0.43252197
309,0.19701275
310,0.20712936
311,0.23313603
312,0.4435865
313,0.5099168
314,0.22707573
315,0.21288761
316,0.17001598
317,0.19276178
318,0.24942781
319,0.16192313
320,0.15948719
321,0.27382356
322,0.28349996
323,0.20202841
324,0.286754
325,0.40935397
326,0.45570853
327,0.43179172
328,0.28196776
329,0.29613423
330,0.51352
331,0.3100046
332,0.49051532
333,0.5440682
334,0.22586356
335,0.4951647
336,0.18749452
337,0.6016959
338,0.25808704
339,0.47439048
340,0.29382724
341,0.5314169
342,0.2066561
343,0.20889261
344,0.287737
345,0.42915952
346,0.649899
347,0.20198798
348,0.23324499
349,0.35682634
350,0.24953407
351,0.1910225
352,0.55291814
353,0.19948064
354,0.18295753
355,0.30556905
356,0.46933037
357,0.23761415
358,0.23247617
359,0.22965446
360,0.17416464
361,0.18404385
362,0.19676012
363,0.36494774
364,0.15571027
365,0.19950071
366,0.49361807
367,0.20343982
368,0.13780458
369,0.5597873
370,0.48500276
371,0.442833
372,0.3701151
373,0.23065913
374,0.27171516
375,0.28222132
376,0.5796251
377,0.3662543
378,0.4392526
379,0.39700627
380,0.23157024
381,0.5599531
382,0.25779045
383,0.36227244
384,0.2120352
385,0.5994285
386,0.4700933
387,0.2614578
388,0.510654
389,0.5244685
390,0.4851461
391,0.4642617
392,0.2120871
393,0.17112857
394,0.5456692
395,0.5974189
396,0.20659514
397,0.36249536
398,0.21010327
399,0.28240758
400,0.22390547
401,0.23166235
402,0.54207706
403,0.5318656
404,0.20930263
405,0.4268331
406,0.34056413
407,0.2340715
408,0.2084734
409,0.2506783
410,0.2548117
411,0.16684571
412,0.35472602
413,0.1470478
414,0.21852411
415,0.23398659
416,0.22382721
417,0.16336922
418,0.5762547
419,0.21647546
420,0.24158669
421,0.5665015
422,0.21888283
423,0.28214568
424,0.45908546
425,0.16460589
426,0.5859693
427,0.16938092
428,0.50269604
429,0.32180455
430,0.19991633
431,0.6154848
432,0.32046247
433,0.26697892
434,0.22333476
435,0.21591935
436,0.53999186
437,0.30109173
438,0.20799251
439,0.20868024
440,0.33477956
441,0.39123467
442,0.28044364
443,0.18359557
444,0.29616305
445,0.54965085
